word_bits,batch,physical_core,weights,kernel_ms,min_ms,trials,v06_ms,speedup_vs_v06
32,1,appt-online,4-8-8,0.362496,0.362462,3,0.148002,0.4082858845338983
32,1,appt-online,5-7-8,0.359595,0.358366,3,0.148002,0.41157969382221665
32,1,appt-online,6-6-8,0.295253,0.294912,3,0.148002,0.5012717906337955
32,1,appt-online,6-8-6,0.297028,0.296789,3,0.148002,0.49827625678387216
32,1,appt-online,7-6-7,0.300066,0.299998,3,0.148002,0.49323148907240405
32,1,appt-online,7-7-6,0.298018,0.297711,3,0.148002,0.49662100946922666
32,1,appt-online,8-8-4,0.310647,0.310545,3,0.148002,0.47643144791354813
32,1,appt-online-radix4,4-8-8,0.379324,0.379324,3,0.148002,0.39017304467948244
32,1,appt-online-radix4,5-7-8,0.378846,0.378505,3,0.148002,0.3906653363107964
32,1,appt-online-radix4,6-6-8,0.317133,0.316245,3,0.148002,0.46668747812432004
32,1,appt-online-radix4,6-8-6,0.324847,0.324779,3,0.148002,0.45560525416580727
32,1,appt-online-radix4,7-6-7,0.306859,0.306654,3,0.148002,0.48231272343323806
32,1,appt-online-radix4,7-7-6,0.324164,0.324096,3,0.148002,0.4565651953949235
32,1,appt-online-radix4,8-8-4,0.354918,0.352597,3,0.148002,0.4170033641573546
32,4,appt-online,4-8-8,0.972868,0.969933,3,0.350379,0.36015060624874085
32,4,appt-online,5-7-8,0.975053,0.973517,3,0.350379,0.35934354337661645
32,4,appt-online,6-6-8,0.949692,0.949043,3,0.350379,0.3689396141064682
32,4,appt-online,6-8-6,0.93225,0.931669,3,0.350379,0.3758423169750603
32,4,appt-online,7-6-7,0.932284,0.931089,3,0.350379,0.3758286101660009
32,4,appt-online,7-7-6,0.888627,0.88617,3,0.350379,0.3942925434406112
32,4,appt-online,8-8-4,0.975667,0.973346,3,0.350379,0.35911740378633283
32,4,appt-online-radix4,4-8-8,1.078306,1.074586,3,0.350379,0.3249346660409939
32,4,appt-online-radix4,5-7-8,1.033864,1.031305,3,0.350379,0.3389024088274667
32,4,appt-online-radix4,6-6-8,0.982869,0.982426,3,0.350379,0.35648596099785423
32,4,appt-online-radix4,6-8-6,1.0183,1.017412,3,0.350379,0.3440822940194442
32,4,appt-online-radix4,7-6-7,0.962253,0.961775,3,0.350379,0.3641235724908106
32,4,appt-online-radix4,7-7-6,0.977852,0.976111,3,0.350379,0.358314959728057
32,4,appt-online-radix4,8-8-4,1.170978,1.169374,3,0.350379,0.2992191142788336
64,1,appt-online,4-8-8,0.671539,0.671232,3,0.228591,0.3403986961293387
64,1,appt-online,5-7-8,0.763938,0.763938,3,0.228591,0.29922716241370373
64,1,appt-online,6-6-8,0.746189,0.746189,3,0.228591,0.30634463922679106
64,1,appt-online,6-8-6,0.750251,0.748885,3,0.228591,0.3046860317413772
64,1,appt-online,7-6-7,0.759296,0.757487,3,0.228591,0.30105650497302766
64,1,appt-online,7-7-6,0.789094,0.785237,3,0.228591,0.2896879205772696
64,1,appt-online,8-8-4,0.671266,0.668331,3,0.228591,0.34053713431039256
64,1,appt-online-radix4,4-8-8,0.441276,0.441139,3,0.228591,0.5180227340711935
64,1,appt-online-radix4,5-7-8,0.495309,0.495309,3,0.228591,0.4615119046897997
64,1,appt-online-radix4,6-6-8,0.488926,0.488755,3,0.228591,0.467537009690628
64,1,appt-online-radix4,6-8-6,0.510908,0.509611,3,0.228591,0.4474210621090294
64,1,appt-online-radix4,7-6-7,0.524527,0.524459,3,0.228591,0.43580406728347637
64,1,appt-online-radix4,7-7-6,0.528111,0.527906,3,0.228591,0.43284650385998397
64,1,appt-online-radix4,8-8-4,0.459708,0.458957,3,0.228591,0.49725260382677694
64,4,appt-online,4-8-8,1.872623,1.867776,3,0.555486,0.2966352543998445
64,4,appt-online,5-7-8,1.797427,1.787802,3,0.555486,0.3090450961290778
64,4,appt-online,6-6-8,1.870677,1.8688,3,0.555486,0.29694383370298566
64,4,appt-online,6-8-6,1.771793,1.769609,3,0.555486,0.3135163080563023
64,4,appt-online,7-6-7,1.906244,1.904299,3,0.555486,0.2914034090074513
64,4,appt-online,7-7-6,1.836715,1.836339,3,0.555486,0.30243450943668454
64,4,appt-online,8-8-4,1.968094,1.963486,3,0.555486,0.2822456650952648
64,4,appt-online-radix4,4-8-8,1.275119,1.27488,3,0.555486,0.4356346348850578
64,4,appt-online-radix4,5-7-8,1.271364,1.268326,3,0.555486,0.43692129083409637
64,4,appt-online-radix4,6-6-8,1.311471,1.31113,3,0.555486,0.42355949921881614
64,4,appt-online-radix4,6-8-6,1.335398,1.332531,3,0.555486,0.41597036988223735
64,4,appt-online-radix4,7-6-7,1.411618,1.408307,3,0.555486,0.3935101422622834
64,4,appt-online-radix4,7-7-6,1.407659,1.401924,3,0.555486,0.39461687809334506
64,4,appt-online-radix4,8-8-4,1.5417,1.537638,3,0.555486,0.3603074528118311
