word_bits,batch,physical_core,weights,kernel_ms,min_ms,trials,v06_ms,speedup_vs_v06
32,1,appt-online,10-3-7,0.372531,0.372531,1,0.149299,0.4007693319482137
32,1,appt-online,10-4-6,0.36823,0.36823,1,0.149299,0.4054503978491703
32,1,appt-online,10-5-5,0.408576,0.408576,1,0.149299,0.3654130443295739
32,1,appt-online,10-6-4,0.300851,0.300851,1,0.149299,0.4962556215535265
32,1,appt-online,10-7-3,0.320512,0.320512,1,0.149299,0.4658140724840255
32,1,appt-online,3-10-7,0.367206,0.367206,1,0.149299,0.4065810471506457
32,1,appt-online,3-7-10,0.325222,0.325222,1,0.149299,0.4590679597321214
32,1,appt-online,3-8-9,0.349389,0.349389,1,0.149299,0.42731454052646184
32,1,appt-online,3-9-8,0.340378,0.340378,1,0.149299,0.43862705580266637
32,1,appt-online,4-10-6,0.381133,0.381133,1,0.149299,0.39172414878795586
32,1,appt-online,4-6-10,0.344269,0.344269,1,0.149299,0.4336696013872872
32,1,appt-online,4-7-9,0.385638,0.385638,1,0.149299,0.3871480507626323
32,1,appt-online,4-8-8,0.362906,0.362906,1,0.149299,0.4113985439755749
32,1,appt-online,4-9-7,0.367411,0.367411,1,0.149299,0.4063541918995348
32,1,appt-online,5-10-5,0.392397,0.392397,1,0.149299,0.38047946340058664
32,1,appt-online,5-5-10,0.37888,0.37888,1,0.149299,0.3940535261824324
32,1,appt-online,5-6-9,0.383181,0.383181,1,0.149299,0.3896304879417299
32,1,appt-online,5-7-8,0.362701,0.362701,1,0.149299,0.4116310680147008
32,1,appt-online,5-8-7,0.378061,0.378061,1,0.149299,0.39490717106498685
32,1,appt-online,5-9-6,0.352666,0.352666,1,0.149299,0.42334390046105946
32,1,appt-online,6-10-4,0.31273,0.31273,1,0.149299,0.47740542960381155
32,1,appt-online,6-4-10,0.373965,0.373965,1,0.149299,0.3992325485005281
32,1,appt-online,6-5-9,0.400589,0.400589,1,0.149299,0.37269870116253817
32,1,appt-online,6-6-8,0.295322,0.295322,1,0.149299,0.5055464882399551
32,1,appt-online,6-7-7,0.33239,0.33239,1,0.149299,0.44916814585276327
32,1,appt-online,6-8-6,0.297574,0.297574,1,0.149299,0.5017205804270534
32,1,appt-online,6-9-5,0.305766,0.305766,1,0.149299,0.4882786182898033
32,1,appt-online,7-10-3,0.319898,0.319898,1,0.149299,0.46670813821905727
32,1,appt-online,7-3-10,0.360653,0.360653,1,0.149299,0.4139685514885499
32,1,appt-online,7-4-9,0.402022,0.402022,1,0.149299,0.37137022352010585
32,1,appt-online,7-5-8,0.379699,0.379699,1,0.149299,0.39320356387559613
32,1,appt-online,7-6-7,0.300237,0.300237,1,0.149299,0.4972704896465126
32,1,appt-online,7-7-6,0.298189,0.298189,1,0.149299,0.5006858066528276
32,1,appt-online,7-8-5,0.325222,0.325222,1,0.149299,0.4590679597321214
32,1,appt-online,7-9-4,0.301261,0.301261,1,0.149299,0.49558024437281956
32,1,appt-online,8-3-9,0.383795,0.383795,1,0.149299,0.3890071522557615
32,1,appt-online,8-4-8,0.37376,0.37376,1,0.149299,0.39945151969178083
32,1,appt-online,8-5-7,0.394445,0.394445,1,0.149299,0.37850397393806484
32,1,appt-online,8-6-6,0.297779,0.297779,1,0.149299,0.5013751809227648
32,1,appt-online,8-7-5,0.325427,0.325427,1,0.149299,0.45877877373420145
32,1,appt-online,8-8-4,0.310477,0.310477,1,0.149299,0.4808697584684211
32,1,appt-online,8-9-3,0.319693,0.319693,1,0.149299,0.4670074102341934
32,1,appt-online,9-3-8,0.361267,0.361267,1,0.149299,0.4132649813019179
32,1,appt-online,9-4-7,0.390144,0.390144,1,0.149299,0.3826766527230971
32,1,appt-online,9-5-6,0.398541,0.398541,1,0.149299,0.37461390421562646
32,1,appt-online,9-6-5,0.310477,0.310477,1,0.149299,0.4808697584684211
32,1,appt-online,9-7-4,0.312525,0.312525,1,0.149299,0.4777185825133989
32,1,appt-online,9-8-3,0.319488,0.319488,1,0.149299,0.4673070663060897
32,1,appt-online-radix4,10-3-7,0.380723,0.380723,1,0.149299,0.392145995907786
32,1,appt-online-radix4,10-4-6,0.406733,0.406733,1,0.149299,0.36706881418522713
32,1,appt-online-radix4,10-5-5,0.423731,0.423731,1,0.149299,0.35234382190587893
32,1,appt-online-radix4,10-6-4,0.335258,0.335258,1,0.149299,0.4453256894690059
32,1,appt-online-radix4,10-7-3,0.39895,0.39895,1,0.149299,0.3742298533650833
32,1,appt-online-radix4,3-10-7,0.377856,0.377856,1,0.149299,0.3951214219173441
32,1,appt-online-radix4,3-7-10,0.34816,0.34816,1,0.149299,0.42882295496323525
32,1,appt-online-radix4,3-8-9,0.362291,0.362291,1,0.149299,0.41209690552622064
32,1,appt-online-radix4,3-9-8,0.367616,0.367616,1,0.149299,0.4061275896587743
32,1,appt-online-radix4,4-10-6,0.386662,0.386662,1,0.149299,0.38612276355059455
32,1,appt-online-radix4,4-6-10,0.360038,0.360038,1,0.149299,0.4146756731233925
32,1,appt-online-radix4,4-7-9,0.389939,0.389939,1,0.149299,0.38287783473825393
32,1,appt-online-radix4,4-8-8,0.382362,0.382362,1,0.149299,0.39046505667404185
32,1,appt-online-radix4,4-9-7,0.373965,0.373965,1,0.149299,0.3992325485005281
32,1,appt-online-radix4,5-10-5,0.398336,0.398336,1,0.149299,0.37480669585475573
32,1,appt-online-radix4,5-5-10,0.398541,0.398541,1,0.149299,0.37461390421562646
32,1,appt-online-radix4,5-6-9,0.379904,0.379904,1,0.149299,0.3929913872978436
32,1,appt-online-radix4,5-7-8,0.380928,0.380928,1,0.149299,0.39193495883736557
32,1,appt-online-radix4,5-8-7,0.370483,0.370483,1,0.149299,0.40298475233681436
32,1,appt-online-radix4,5-9-6,0.380314,0.380314,1,0.149299,0.39256772035738885
32,1,appt-online-radix4,6-10-4,0.357786,0.357786,1,0.149299,0.4172857518181259
32,1,appt-online-radix4,6-4-10,0.400384,0.400384,1,0.149299,0.37288952605498715
32,1,appt-online-radix4,6-5-9,0.417178,0.417178,1,0.149299,0.35787841161326817
32,1,appt-online-radix4,6-6-8,0.319283,0.319283,1,0.149299,0.46760710717451287
32,1,appt-online-radix4,6-7-7,0.347546,0.347546,1,0.149299,0.4295805447336467
32,1,appt-online-radix4,6-8-6,0.324608,0.324608,1,0.149299,0.45993629238958983
32,1,appt-online-radix4,6-9-5,0.330138,0.330138,1,0.149299,0.4522320968806984
32,1,appt-online-radix4,7-10-3,0.393011,0.393011,1,0.149299,0.37988504138561
32,1,appt-online-radix4,7-3-10,0.385843,0.385843,1,0.149299,0.3869423573837027
32,1,appt-online-radix4,7-4-9,0.427418,0.427418,1,0.149299,0.34930442798384714
32,1,appt-online-radix4,7-5-8,0.412262,0.412262,1,0.149299,0.362145916916912
32,1,appt-online-radix4,7-6-7,0.307405,0.307405,1,0.149299,0.48567524926400024
32,1,appt-online-radix4,7-7-6,0.324198,0.324198,1,0.149299,0.46051795507683574
32,1,appt-online-radix4,7-8-5,0.340992,0.340992,1,0.149299,0.43783725131381374
32,1,appt-online-radix4,7-9-4,0.348979,0.348979,1,0.149299,0.4278165734900954
32,1,appt-online-radix4,8-3-9,0.408166,0.408166,1,0.149299,0.3657800992733349
32,1,appt-online-radix4,8-4-8,0.412672,0.412672,1,0.149299,0.3617861158498759
32,1,appt-online-radix4,8-5-7,0.400794,0.400794,1,0.149299,0.37250807147811593
32,1,appt-online-radix4,8-6-6,0.319283,0.319283,1,0.149299,0.46760710717451287
32,1,appt-online-radix4,8-7-5,0.348979,0.348979,1,0.149299,0.4278165734900954
32,1,appt-online-radix4,8-8-4,0.359424,0.359424,1,0.149299,0.41538405893874636
32,1,appt-online-radix4,8-9-3,0.351437,0.351437,1,0.149299,0.4248243639685064
32,1,appt-online-radix4,9-3-8,0.394035,0.394035,1,0.149299,0.37889781364599584
32,1,appt-online-radix4,9-4-7,0.400384,0.400384,1,0.149299,0.37288952605498715
32,1,appt-online-radix4,9-5-6,0.414515,0.414515,1,0.149299,0.36017755690385145
32,1,appt-online-radix4,9-6-5,0.325018,0.325018,1,0.149299,0.4593560972007704
32,1,appt-online-radix4,9-7-4,0.353894,0.353894,1,0.149299,0.42187491169672275
32,1,appt-online-radix4,9-8-3,0.388096,0.388096,1,0.149299,0.3846960545844327
32,4,appt-online,10-3-7,1.23945,1.23945,1,0.350413,0.28271652749203274
32,4,appt-online,10-4-6,1.067008,1.067008,1,0.350413,0.3284070972288867
32,4,appt-online,10-5-5,1.005363,1.005363,1,0.350413,0.3485437598161062
32,4,appt-online,10-6-4,0.973414,0.973414,1,0.350413,0.3599835219135948
32,4,appt-online,10-7-3,1.000038,1.000038,1,0.350413,0.35039968481197714
32,4,appt-online,3-10-7,1.139098,1.139098,1,0.350413,0.3076232246918176
32,4,appt-online,3-7-10,1.09097,1.09097,1,0.350413,0.3211939833359304
32,4,appt-online,3-8-9,1.129882,1.129882,1,0.350413,0.310132385505743
32,4,appt-online,3-9-8,1.065574,1.065574,1,0.350413,0.3288490522478964
32,4,appt-online,4-10-6,1.034035,1.034035,1,0.350413,0.3388792448998341
32,4,appt-online,4-6-10,0.977306,0.977306,1,0.350413,0.3585499321604492
32,4,appt-online,4-7-9,1.023181,1.023181,1,0.350413,0.3424741077091932
32,4,appt-online,4-8-8,0.970342,0.970342,1,0.350413,0.36112319161697626
32,4,appt-online,4-9-7,1.062502,1.062502,1,0.350413,0.329799849788518
32,4,appt-online,5-10-5,1.057997,1.057997,1,0.350413,0.331204152752796
32,4,appt-online,5-5-10,0.990618,0.990618,1,0.350413,0.35373171091177424
32,4,appt-online,5-6-9,0.95744,0.95744,1,0.350413,0.36598951370320854
32,4,appt-online,5-7-8,0.976282,0.976282,1,0.350413,0.3589260070348526
32,4,appt-online,5-8-7,1.003725,1.003725,1,0.350413,0.34911255572990607
32,4,appt-online,5-9-6,0.964403,0.964403,1,0.350413,0.36334706549025664
32,4,appt-online,6-10-4,1.073562,1.073562,1,0.350413,0.32640220127016417
32,4,appt-online,6-4-10,1.090355,1.090355,1,0.350413,0.3213751484608224
32,4,appt-online,6-5-9,1.020109,1.020109,1,0.350413,0.34350544892751655
32,4,appt-online,6-6-8,0.95191,0.95191,1,0.350413,0.368115683205345
32,4,appt-online,6-7-7,1.068032,1.068032,1,0.350413,0.32809222944630867
32,4,appt-online,6-8-6,0.934707,0.934707,1,0.350413,0.3748907411627387
32,4,appt-online,6-9-5,1.014579,1.014579,1,0.350413,0.34537773795830584
32,4,appt-online,7-10-3,1.086054,1.086054,1,0.350413,0.32264786097192216
32,4,appt-online,7-3-10,1.18272,1.18272,1,0.350413,0.29627722537878787
32,4,appt-online,7-4-9,1.047347,1.047347,1,0.350413,0.3345720186337479
32,4,appt-online,7-5-8,0.961741,0.961741,1,0.350413,0.3643527727319517
32,4,appt-online,7-6-7,0.932864,0.932864,1,0.350413,0.37563138892700326
32,4,appt-online,7-7-6,0.884122,0.884122,1,0.350413,0.3963400978597976
32,4,appt-online,7-8-5,0.932864,0.932864,1,0.350413,0.37563138892700326
32,4,appt-online,7-9-4,1.031168,1.031168,1,0.350413,0.33982144519612706
32,4,appt-online,8-3-9,1.200333,1.200333,1,0.350413,0.2919298228075042
32,4,appt-online,8-4-8,1.047347,1.047347,1,0.350413,0.3345720186337479
32,4,appt-online,8-5-7,1.015808,1.015808,1,0.350413,0.3449598743069556
32,4,appt-online,8-6-6,0.926106,0.926106,1,0.350413,0.3783724541251217
32,4,appt-online,8-7-5,0.917709,0.917709,1,0.350413,0.38183454668091954
32,4,appt-online,8-8-4,0.97751,0.97751,1,0.350413,0.35847510511401415
32,4,appt-online,8-9-3,1.047757,1.047757,1,0.350413,0.33444109655196763
32,4,appt-online,9-3-8,1.2032,1.2032,1,0.350413,0.2912342087765957
32,4,appt-online,9-4-7,1.107763,1.107763,1,0.350413,0.31632488176622614
32,4,appt-online,9-5-6,1.015603,1.015603,1,0.350413,0.34502950463911586
32,4,appt-online,9-6-5,0.969933,0.969933,1,0.350413,0.3612754695427416
32,4,appt-online,9-7-4,0.992051,0.992051,1,0.350413,0.35322075175570605
32,4,appt-online,9-8-3,0.982835,0.982835,1,0.350413,0.3565328870054485
32,4,appt-online-radix4,10-3-7,1.265459,1.265459,1,0.350413,0.2769058499722235
32,4,appt-online-radix4,10-4-6,1.106534,1.106534,1,0.350413,0.31667621600420776
32,4,appt-online-radix4,10-5-5,1.041818,1.041818,1,0.350413,0.336347615418432
32,4,appt-online-radix4,10-6-4,1.171661,1.171661,1,0.350413,0.29907370818009643
32,4,appt-online-radix4,10-7-3,1.396326,1.396326,1,0.350413,0.2509535738788793
32,4,appt-online-radix4,3-10-7,1.200742,1.200742,1,0.350413,0.29183038487868335
32,4,appt-online-radix4,3-7-10,1.103872,1.103872,1,0.350413,0.31743988433441556
32,4,appt-online-radix4,3-8-9,1.164083,1.164083,1,0.350413,0.301020631690352
32,4,appt-online-radix4,3-9-8,1.127424,1.127424,1,0.350413,0.3108085334355132
32,4,appt-online-radix4,4-10-6,1.144218,1.144218,1,0.350413,0.3062467117280099
32,4,appt-online-radix4,4-6-10,1.032602,1.032602,1,0.350413,0.33934952672956276
32,4,appt-online-radix4,4-7-9,1.041408,1.041408,1,0.350413,0.3364800347222222
32,4,appt-online-radix4,4-8-8,1.072742,1.072742,1,0.350413,0.3266517019003637
32,4,appt-online-radix4,4-9-7,1.19808,1.19808,1,0.350413,0.29247879941239313
32,4,appt-online-radix4,5-10-5,1.191322,1.191322,1,0.350413,0.29413794087576656
32,4,appt-online-radix4,5-5-10,1.077862,1.077862,1,0.350413,0.3251000591912508
32,4,appt-online-radix4,5-6-9,1.004954,1.004954,1,0.350413,0.3486856114807245
32,4,appt-online-radix4,5-7-8,1.03383,1.03383,1,0.350413,0.33894644187148754
