word_bits,batch,variant,data_time,roles,kernel_ms,trials,throughput_vs_v06,throughput_vs_writer_final
32,1,data-time,1,6-11-5,0.217984,2,0.6772744788608339,0.8064582721667644
32,1,data-time,1,6-12-4,0.17615350000000002,2,0.8381042670171186,0.9979648431623553
32,1,data-time,1,7-11-4,0.222822,2,0.6625692256599439,0.7889481289998294
32,1,data-time,2,6-11-5,0.2186495,2,0.6752130693187042,0.8040036679708848
32,1,data-time,2,6-12-4,0.1762815,2,0.8374957099865841,0.9972402095512006
32,1,data-time,2,7-11-4,0.22336,2,0.6609733166189112,0.7870478151862463
32,1,data-time,4,6-11-5,0.21888000000000002,2,0.6745020102339181,0.8031569809941519
32,1,data-time,4,6-12-4,0.1762045,2,0.837861689116907,0.9976759957889838
32,1,data-time,4,7-11-4,0.2229505,2,0.6621873465186219,0.7884934099721687
32,1,data-time,8,6-11-5,0.21888000000000002,2,0.6745020102339181,0.8031569809941519
32,1,data-time,8,6-12-4,0.17635849999999997,2,0.8371300504370361,0.9968048038512463
32,1,data-time,8,7-11-4,0.223155,2,0.6615805157849926,0.7877708319329614
32,1,v06,0,9-11,0.14763500000000002,2,1.0,1.1907406780235037
32,1,writer-final,1,6-12-4,0.17579499999999998,2,0.839813419039222,1.0
32,4,data-time,1,6-11-5,0.5804035,2,0.6021517788917538,0.8834242040235802
32,4,data-time,1,6-12-4,0.5186305,2,0.673872824679613,0.9886470232660824
32,4,data-time,1,7-11-4,0.580173,2,0.6023910109570766,0.8837751842984763
32,4,data-time,2,6-11-5,0.681574,2,0.5127704401869789,0.7522917540868637
32,4,data-time,2,6-12-4,0.5787645,2,0.6038570091980416,0.8859259681614888
32,4,data-time,2,7-11-4,0.6603775000000001,2,0.5292291151651896,0.7764384764774692
32,4,data-time,4,6-11-5,0.8289025,2,0.4216310120912894,0.6185799898057974
32,4,data-time,4,6-12-4,0.64983,2,0.5378191219241956,0.7890409799486019
32,4,data-time,4,7-11-4,0.815898,2,0.4283513380349014,0.6284394617954695
32,4,data-time,8,6-11-5,0.825293,2,0.42347505673742536,0.6212854101513038
32,4,data-time,8,6-12-4,0.6502654999999999,2,0.5374589302369571,0.7885125383401088
32,4,data-time,8,7-11-4,0.8082689999999999,2,0.4323944132460852,0.6343711066489004
32,4,v06,0,9-11,0.349491,2,1.0,1.467112171701131
32,4,writer-final,1,6-12-4,0.5127425,2,0.6816111400946869,1.0
32,16,data-time,1,6-11-5,1.9004159999999999,2,0.5653396414258773,0.9511820043611504
32,16,data-time,1,6-12-4,1.8079745,2,0.5942453834387598,0.9998158159863426
32,16,data-time,1,7-11-4,1.8522115000000001,2,0.5800528179422274,0.9759368732998364
32,16,data-time,2,6-11-5,1.879066,2,0.5717630461090776,0.961989360671738
32,16,data-time,2,6-12-4,1.797478,2,0.5977155214138922,1.005654311207147
32,16,data-time,2,7-11-4,1.8515964999999999,2,0.580245480049244,0.9762610266329624
32,16,data-time,4,6-11-5,2.0012035,2,0.5368671901683162,0.903277202943129
