word_bits,batch,variant,data_time,role_mask,roles,kernel_ms,trials,throughput_vs_v06,throughput_vs_writer_final
32,4,data-time,1,4,6-11-5,0.588595,3,0.5935405499537034,0.8739846583813997
32,4,data-time,1,4,6-12-4,0.518076,3,0.6743315652529746,0.9929489109705911
32,4,data-time,1,4,7-11-4,0.575863,3,0.6066633904244586,0.8933079569272552
32,4,data-time,1,6,6-11-5,0.58682,3,0.5953358781227635,0.8766282676118741
32,4,data-time,1,6,6-12-4,0.514628,3,0.6788495767816753,0.9996016540102753
32,4,data-time,1,6,7-11-4,0.576751,3,0.6057293355364793,0.8919325670870097
32,4,data-time,1,7,6-11-5,0.584636,3,0.5975598492053175,0.8799030507871564
32,4,data-time,1,7,6-12-4,0.512375,3,0.6818345938033666,1.0039970724566967
32,4,data-time,1,7,7-11-4,0.577331,3,0.6051208059154973,0.891036511117539
32,4,data-time,2,4,6-11-5,0.595251,3,0.586903675928306,0.8642119038859237
32,4,data-time,2,4,6-12-4,0.531695,3,0.6570590282022588,0.9675152107881397
32,4,data-time,2,4,7-11-4,0.578014,3,0.6044057756386524,0.8899836336144106
32,4,data-time,2,6,6-11-5,0.62679,3,0.5573716874870372,0.8207262400485011
32,4,data-time,2,6,6-12-4,0.532753,3,0.6557541675035148,0.9655938117664282
32,4,data-time,2,6,7-11-4,0.617472,3,0.5657827399461028,0.8331114609245439
32,4,data-time,2,7,6-11-5,0.680585,3,0.5133157504205941,0.7558541548814622
32,4,data-time,2,7,6-12-4,0.582007,3,0.6002591034128455,0.8838776853199358
32,4,data-time,2,7,7-11-4,0.665088,3,0.5252763544072364,0.7734660676481908
32,4,data-time,4,4,6-11-5,0.617711,3,0.5655638316300018,0.8327891198311184
32,4,data-time,4,4,6-12-4,0.569481,3,0.6134620821414587,0.9033189869372287
32,4,data-time,4,4,7-11-4,0.594022,3,0.5881179484934901,0.8659999124611545
32,4,data-time,4,6,6-11-5,0.755507,3,0.4624113343754591,0.6808977282804791
32,4,data-time,4,6,6-12-4,0.573474,3,0.6091906520609478,0.897029333500734
32,4,data-time,4,6,7-11-4,0.713796,3,0.4894325549596804,0.7206863025290139
32,4,data-time,4,7,6-11-5,0.828177,3,0.4218361533826706,0.6211510341388374
32,4,data-time,4,7,6-12-4,0.650206,3,0.5372989483332975,0.7911692602036893
32,4,data-time,4,7,7-11-4,0.809916,3,0.4313472014381739,0.6351559914855367
32,4,v06,0,0,9-11,0.349355,3,1.0,1.4724935953399834
32,4,writer-final,1,0,6-12-4,0.514423,3,0.6791201015506695,1.0
32,16,data-time,1,4,6-11-5,1.832516,3,0.5590925263408341,0.9444932540834569
