word_bits,batch,variant,kernel_ms,trials,throughput_vs_v06,throughput_vs_matched_radix4
32,1,radix4-default,0.217651,3,0.6777225925908908,0.0
32,1,radix4-matched,0.213658,3,0.6903883776877066,0.0
32,1,radix8-matched,0.213914,3,0.6895621604944043,0.9988032573838084
32,1,v06,0.147507,3,1.0,0.0
32,4,radix4-default,0.707533,3,0.49402925375918866,0.0
32,4,radix4-matched,0.710246,3,0.4921421591955463,0.0
32,4,radix8-matched,0.703027,3,0.49719569803151237,1.0102684534164408
32,4,v06,0.349542,3,1.0,0.0
32,16,radix4-default,3.658752,3,0.2771341156766023,0.0
32,16,radix4-matched,3.145779,3,0.32232556705350246,0.0
32,16,radix8-matched,3.064883,3,0.3308331835179353,1.0263944822689806
32,16,v06,1.013965,3,1.0,0.0
64,1,radix4-default,0.318515,3,0.6391253159191875,0.0
64,1,radix4-matched,0.298803,3,0.6812883404785093,0.0
64,1,radix8-matched,0.294093,3,0.6921994063102488,1.0160153420856668
64,1,v06,0.203571,3,1.0,0.0
64,4,radix4-default,1.134797,3,0.5377190810338766,0.0
64,4,radix4-matched,1.03337,3,0.5904971113928216,0.0
64,4,radix8-matched,1.04873,3,0.581848521545107,0.9853537135392332
64,4,v06,0.610202,3,1.0,0.0
64,16,radix4-default,5.824256,3,0.3164871186980792,0.0
64,16,radix4-matched,5.172122,3,0.3563918252508352,0.0
64,16,radix8-matched,5.461299,3,0.3375207986231847,0.9470497769852922
64,16,v06,1.843302,3,1.0,0.0
