word_bits,logN,batch,family,label,kernel_ms,trials,stage_partition,us,role_stages,td,buffers,ctas_per_sm,state_traffic_gbps
32,20,1,baseline,barrier,0.079599,3,,,,,,,
32,20,1,v06,resident1010,0.128375,3,10+10,,,,,,
32,20,1,appt,appt-us7-rs1-td4-buf2-cta2,0.669559,3,7+7+6,7,1,4,2,2,62.64278428039949
32,20,1,appt,appt-us7-rs1-td8-buf2-cta2,0.679834,3,7+7+6,7,1,8,2,2,61.696002259375085
32,20,1,appt,appt-us7-rs2-td4-buf2-cta2,0.736324,3,7+7+6,7,2,4,2,2,56.96275009370875
32,20,1,appt,appt-us7-rs2-td8-buf2-cta2,0.750626,3,7+7+6,7,2,8,2,2,55.877414318182424
32,20,1,appt,appt-us8-rs1-td4-buf2-cta2,1.49975,3,8+8+4,8,1,4,2,2,27.966687781296883
32,20,1,appt,appt-us8-rs1-td8-buf2-cta2,1.521971,3,8+8+4,8,1,8,2,2,27.558370034645865
32,20,1,appt,appt-us8-rs2-td4-buf2-cta2,1.896687,3,8+8+4,8,2,4,2,2,22.113843770743408
32,20,1,appt,appt-us8-rs2-td8-buf2-cta2,1.9271,3,8+8+4,8,2,8,2,2,21.764848736443362
32,20,4,baseline,barrier,0.242278,3,,,,,,,
32,20,4,v06,resident1010,0.310238,3,10+10,,,,,,
32,20,4,appt,appt-us7-rs1-td8-buf2-cta2,2.592973,3,7+7+6,7,1,8,2,2,64.70262513338936
32,20,4,appt,appt-us7-rs1-td4-buf2-cta2,2.596625,3,7+7+6,7,1,4,2,2,64.6116247051461
32,20,4,appt,appt-us7-rs2-td8-buf2-cta2,2.856346,3,7+7+6,7,2,8,2,2,58.73663764824009
32,20,4,appt,appt-us7-rs2-td4-buf2-cta2,2.86935,3,7+7+6,7,2,4,2,2,58.4704410406538
32,20,4,appt,appt-us8-rs1-td8-buf2-cta2,5.73184,3,8+8+4,8,1,8,2,2,29.270209915140686
32,20,4,appt,appt-us8-rs1-td4-buf2-cta2,5.808162,3,8+8+4,8,1,4,2,2,28.88558549158925
32,20,4,appt,appt-us8-rs2-td8-buf2-cta2,7.365735,3,8+8+4,8,2,8,2,2,22.7773820263694
32,20,4,appt,appt-us8-rs2-td4-buf2-cta2,7.457075,3,8+8+4,8,2,4,2,2,22.498387102181486
64,20,1,baseline,barrier,0.142097,3,,,,,,,
64,20,1,v06,resident1010,0.203981,3,10+10,,,,,,
64,20,1,appt,appt-us7-rs1-td4-buf2-cta2,0.922214,3,7+7+6,7,1,4,2,2,90.96162062167784
64,20,1,appt,appt-us7-rs1-td8-buf2-cta2,0.940646,3,7+7+6,7,1,8,2,2,89.17922363992405
64,20,1,appt,appt-us7-rs2-td4-buf2-cta2,1.062707,3,7+7+6,7,2,4,2,2,78.93622607172061
64,20,1,appt,appt-us7-rs2-td8-buf2-cta2,1.076395,3,7+7+6,7,2,8,2,2,77.93243186748359
64,20,1,appt,appt-us8-rs1-td4-buf2-cta2,1.935462,3,8+8+4,8,1,4,2,2,43.34163109376469
64,20,1,appt,appt-us8-rs1-td8-buf2-cta2,1.947238,3,8+8+4,8,1,8,2,2,43.07952083926053
64,20,1,appt,appt-us8-rs2-td4-buf2-cta2,2.551774,3,8+8+4,8,2,4,2,2,32.87363222605136
64,20,1,appt,appt-us8-rs2-td8-buf2-cta2,2.566827,3,8+8+4,8,2,8,2,2,32.68084681982853
64,20,4,baseline,barrier,0.504422,3,,,,,,,
64,20,4,v06,resident1010,0.554462,3,10+10,,,,,,
64,20,4,appt,appt-us7-rs1-td8-buf2-cta2,3.487607,3,7+7+6,7,1,8,2,2,96.21047325573093
64,20,4,appt,appt-us7-rs1-td4-buf2-cta2,3.498496,3,7+7+6,7,1,4,2,2,95.91102004975852
64,20,4,appt,appt-us7-rs2-td8-buf2-cta2,4.104499,3,7+7+6,7,2,8,2,2,81.7503719698799
64,20,4,appt,appt-us7-rs2-td4-buf2-cta2,4.135766,3,7+7+6,7,2,4,2,2,81.13232711908748
64,20,4,appt,appt-us8-rs1-td8-buf2-cta2,7.360478,3,8+8+4,8,1,8,2,2,45.58730017262466
64,20,4,appt,appt-us8-rs1-td4-buf2-cta2,7.451443,3,8+8+4,8,1,4,2,2,45.030783970299446
64,20,4,appt,appt-us8-rs2-td8-buf2-cta2,9.826715,3,8+8+4,8,2,8,2,2,34.14613327037571
64,20,4,appt,appt-us8-rs2-td4-buf2-cta2,9.958024,3,8+8+4,8,2,4,2,2,33.695873799862305
