word_bits,logN,batch,family,label,kernel_ms,trials,stage_partition,us,role_stages,replicas,td,token_interleave,buffers,ctas_per_sm,state_traffic_gbps
32,20,1,baseline,barrier,0.083183,3,,,,,,,,,
32,20,1,v06,resident1010,0.136363,3,10+10,,,,,,,,
32,20,1,appt,appt-us7-rs2-rep2-td4-ti2-buf2-cta2,0.351471,3,7+7+6,7,2,2,4,2,2,2,119.33570621758267
32,20,1,appt,appt-us7-rs2-rep2-td4-ti1-buf2-cta2,0.365909,3,7+7+6,7,2,2,4,1,2,2,114.62697009365716
32,20,1,appt,appt-us7-rs2-rep2-td8-ti2-buf2-cta2,0.373965,3,7+7+6,7,2,2,8,2,2,2,112.15766181327129
32,20,1,appt,appt-us7-rs2-rep2-td8-ti1-buf2-cta2,0.393591,3,7+7+6,7,2,2,8,1,2,2,106.56503832658775
32,20,1,appt,appt-us7-rs2-rep1-td4-ti2-buf2-cta2,0.535689,3,7+7+6,7,2,1,4,2,2,2,78.29737030254495
32,20,1,appt,appt-us7-rs2-rep1-td8-ti2-buf2-cta2,0.539853,3,7+7+6,7,2,1,8,2,2,2,77.6934461788672
32,20,1,appt,appt-us7-rs2-rep1-td4-ti1-buf2-cta2,0.579994,3,7+7+6,7,2,1,4,1,2,2,72.31633430690663
32,20,1,appt,appt-us7-rs2-rep1-td8-ti1-buf2-cta2,0.583851,3,7+7+6,7,2,1,8,1,2,2,71.8386026571848
32,20,4,baseline,barrier,0.252518,3,,,,,,,,,
32,20,4,v06,resident1010,0.319386,3,10+10,,,,,,,,
32,20,4,appt,appt-us7-rs2-rep2-td8-ti2-buf2-cta2,1.208115,3,7+7+6,7,2,2,8,2,2,2,138.87101807361054
32,20,4,appt,appt-us7-rs2-rep2-td4-ti2-buf2-cta2,1.211699,3,7+7+6,7,2,2,4,2,2,2,138.4602611704722
32,20,4,appt,appt-us7-rs2-rep2-td8-ti1-buf2-cta2,1.285496,3,7+7+6,7,2,2,8,1,2,2,130.51161574987398
32,20,4,appt,appt-us7-rs2-rep2-td4-ti1-buf2-cta2,1.289216,3,7+7+6,7,2,2,4,1,2,2,130.13502779984114
32,20,4,appt,appt-us7-rs2-rep1-td8-ti2-buf2-cta2,1.914334,3,7+7+6,7,2,1,8,2,2,2,87.63996251437837
32,20,4,appt,appt-us7-rs2-rep1-td4-ti2-buf2-cta2,1.943415,3,7+7+6,7,2,1,4,2,2,2,86.32852993313317
32,20,4,appt,appt-us7-rs2-rep1-td8-ti1-buf2-cta2,2.097357,3,7+7+6,7,2,1,8,1,2,2,79.99218063496104
32,20,4,appt,appt-us7-rs2-rep1-td4-ti1-buf2-cta2,2.24471,3,7+7+6,7,2,1,4,1,2,2,74.74112914363103
64,20,1,baseline,barrier,0.141449,3,,,,,,,,,
64,20,1,v06,resident1010,0.203332,3,10+10,,,,,,,,
64,20,1,appt,appt-us7-rs2-rep2-td4-ti1-buf2-cta2,0.537737,3,7+7+6,7,2,2,4,1,2,2,155.9983411965329
64,20,1,appt,appt-us7-rs2-rep2-td4-ti2-buf2-cta2,0.538283,3,7+7+6,7,2,2,4,2,2,2,155.84010641242617
64,20,1,appt,appt-us7-rs2-rep2-td8-ti2-buf2-cta2,0.561971,3,7+7+6,7,2,2,8,2,2,2,149.27119015038141
64,20,1,appt,appt-us7-rs2-rep2-td8-ti1-buf2-cta2,0.570266,3,7+7+6,7,2,2,8,1,2,2,147.09991477661302
64,20,1,appt,appt-us7-rs2-rep1-td8-ti2-buf2-cta2,0.787115,3,7+7+6,7,2,1,8,2,2,2,106.57410924706046
64,20,1,appt,appt-us7-rs2-rep1-td4-ti2-buf2-cta2,0.809097,3,7+7+6,7,2,1,4,2,2,2,103.67864421694803
64,20,1,appt,appt-us7-rs2-rep1-td8-ti1-buf2-cta2,0.828109,3,7+7+6,7,2,1,8,1,2,2,101.29835565124881
64,20,1,appt,appt-us7-rs2-rep1-td4-ti1-buf2-cta2,0.842991,3,7+7+6,7,2,1,4,1,2,2,99.51005408124168
64,20,4,baseline,barrier,0.504661,3,,,,,,,,,
64,20,4,v06,resident1010,0.555145,3,10+10,,,,,,,,
64,20,4,appt,appt-us7-rs2-rep2-td4-ti2-buf2-cta2,1.972258,3,7+7+6,7,2,2,4,2,2,2,170.13206182963893
64,20,4,appt,appt-us7-rs2-rep2-td8-ti2-buf2-cta2,1.973009,3,7+7+6,7,2,2,8,2,2,2,170.0673032915714
64,20,4,appt,appt-us7-rs2-rep2-td4-ti1-buf2-cta2,1.984375,3,7+7+6,7,2,2,4,1,2,2,169.09320062992126
64,20,4,appt,appt-us7-rs2-rep2-td8-ti1-buf2-cta2,2.020898,3,7+7+6,7,2,2,8,1,2,2,166.03723691151163
64,20,4,appt,appt-us7-rs2-rep1-td8-ti2-buf2-cta2,2.87959,3,7+7+6,7,2,1,8,2,2,2,116.52503307762564
64,20,4,appt,appt-us7-rs2-rep1-td8-ti1-buf2-cta2,3.051179,3,7+7+6,7,2,1,8,1,2,2,109.97202065168906
64,20,4,appt,appt-us7-rs2-rep1-td4-ti2-buf2-cta2,3.073536,3,7+7+6,7,2,1,4,2,2,2,109.17208062635349
64,20,4,appt,appt-us7-rs2-rep1-td4-ti1-buf2-cta2,3.201638,3,7+7+6,7,2,1,4,1,2,2,104.8039534763143
