label,kernel_id,kernel_name,grid_size,block_size,time_us,dram_read_mib,dram_write_mib,global_load_sectors,global_store_sectors,dram_peak_pct,l2_hit_pct,l1_hit_pct,shared_load_bank_conflicts,shared_store_bank_conflicts,warp_instructions,instructions_per_active_cycle,integer_thread_instructions,fp32_thread_instructions,fp64_thread_instructions,tensor_warp_instructions,tensor_active_pct,active_warps_pct,barrier_stall_pct,wait_stall_pct,long_scoreboard_stall_pct,mio_throttle_stall_pct,registers_per_thread,shared_mem_bytes,waves_per_sm,occupancy_register_block_limit,occupancy_shared_block_limit,occupancy_warp_block_limit
barrier_b1,0,"void cuntt::detail::hierarchical_dataflow_kernel<unsigned long,",160,256,155.36,30.20263671875,16.652069091796875,2993632.0,524288.0,35.21,52.07,52.43,1309311.0,1966410.0,18936447.0,,476657140.0,,,,,22.91,15.13,14.55,37.47,0.88,48.0,32800.0,1.0,5.0,2.0,8.0
barrier_b4,0,"void cuntt::detail::hierarchical_dataflow_kernel<unsigned long,",160,256,530.112,128.37457275390625,65.1884765625,11959081.0,2097152.0,42.61,49.95,52.71,5213848.0,7866163.0,75162924.0,,1903732915.0,,,,,24.27,7.01,15.02,43.91,0.98,48.0,32800.0,1.0,5.0,2.0,8.0
resident1010_b1,0,"void cuntt::<unnamed>::hierarchical_streaming_10x10_kernel<unsigned long,",160,256,227.84,30.879241943359375,16.53472900390625,3038574.0,524291.0,24.29,52.23,50.89,1268731.0,1966636.0,23798899.0,,493613844.0,,,,,23.47,2.82,15.27,21.77,0.41,48.0,32816.0,1.0,5.0,2.0,8.0
resident1010_b4,0,"void cuntt::<unnamed>::hierarchical_streaming_10x10_kernel<unsigned long,",160,256,602.528,130.05075073242188,65.15478515625,12016664.0,2097155.0,37.81,50.24,51.9,5089707.0,7866591.0,82198053.0,,1935225137.0,,,,,24.34,3.5,15.75,32.02,0.55,48.0,32816.0,1.0,5.0,2.0,8.0
appt_us7_rs2_rep2_ti2_b1,0,"void cuntt::<unnamed>::appt_pipeline_kernel<unsigned long,",160,256,659.424,76.9495849609375,58.889984130859375,10653352.0,2098098.0,24.04,89.82,74.35,135349.0,0.0,73124925.0,,981899348.0,,,,,25.0,24.21,18.44,30.76,0.28,116.0,24600.0,1.0,2.0,2.0,8.0
appt_us7_rs2_rep2_ti2_b4,0,"void cuntt::<unnamed>::appt_pipeline_kernel<unsigned long,",160,256,2282.2400000000002,335.26678466796875,235.85833740234375,42401789.0,8379704.0,29.2,88.91,74.5,505972.0,0.0,280323159.0,,3649900724.0,,,,,25.0,15.9,19.67,35.55,0.31,116.0,24600.0,1.0,2.0,2.0,8.0
appt_us8_rs2_td8_b1,0,"void cuntt::<unnamed>::appt_pipeline_kernel<unsigned long,",160,128,2992.128,75.02224731445312,48.951995849609375,11050873.0,2097532.0,4.84,95.66,86.36,205558.0,0.0,175886011.0,,1746331450.0,,,,,12.5,39.7,17.55,13.62,0.02,142.0,12312.0,0.67,3.0,5.0,16.0
appt_us8_rs2_td8_b4,0,"void cuntt::<unnamed>::appt_pipeline_kernel<unsigned long,",160,128,11388.416000000001,341.4748229980469,190.44815063476562,43818708.0,8392771.0,5.45,95.17,86.4,788626.0,0.0,694624810.0,,6877374451.0,,,,,12.5,37.65,18.23,13.51,0.02,142.0,12312.0,0.67,3.0,5.0,16.0
appt_us8_td8_b1,0,"void cuntt::<unnamed>::appt_pipeline_kernel<unsigned long,",160,256,2143.328,75.248779296875,124.71780395507812,10973608.0,2097652.0,10.89,96.6,81.76,451479.0,0.0,256231290.0,,2508250695.0,,,,,25.0,39.13,17.32,8.94,0.06,125.0,28728.0,1.0,2.0,2.0,8.0
appt_us8_td8_b4,0,"void cuntt::<unnamed>::appt_pipeline_kernel<unsigned long,",160,256,8055.808,314.5611572265625,512.8324584960938,43675775.0,8387913.0,11.99,96.47,81.22,1760179.0,0.0,1008818753.0,,9652300212.0,,,,,25.0,35.93,18.03,9.48,0.07,125.0,28728.0,1.0,2.0,2.0,8.0
