word_bits,logN,batch,family,label,kernel_ms,trials,stage_partition,us,role_stages,replicas,td,token_interleave,buffers,ctas_per_sm,state_traffic_gbps
32,20,1,baseline,barrier,0.079872,3,,,,,,,,,
32,20,1,v06,resident1010,0.129004,3,10+10,,,,,,,,
32,20,1,appt-online,online-w6-6-8-td4-ti2-cta3,0.257372,3,7+7+6,,,,,,,,
32,20,1,appt,appt-us7-rs2-rep2-td4-ti2-buf2-cta2,0.335954,3,7+7+6,7,2,2,4,2,2,2,124.84756841710472
32,20,1,appt,appt-us7-rs2-rep2-td4-ti1-buf2-cta2,0.351867,3,7+7+6,7,2,2,4,1,2,2,119.20140280276354
32,20,1,appt,appt-us7-rs2-rep2-td8-ti2-buf2-cta2,0.362168,3,7+7+6,7,2,2,8,2,2,2,115.81100483753396
32,20,1,appt,appt-us7-rs2-rep2-td8-ti1-buf2-cta2,0.380641,3,7+7+6,7,2,2,8,1,2,2,110.19054699835277
32,20,4,baseline,barrier,0.242422,3,,,,,,,,,
32,20,4,v06,resident1010,0.310292,3,10+10,,,,,,,,
32,20,4,appt-online,online-w7-7-6-td8-ti2-cta3,0.861635,3,7+7+6,,,,,,,,
32,20,4,appt,appt-us7-rs2-rep2-td8-ti2-buf2-cta2,1.208013,3,7+7+6,7,2,2,8,2,2,2,138.88274381153184
32,20,4,appt,appt-us7-rs2-rep2-td4-ti2-buf2-cta2,1.274184,3,7+7+6,7,2,2,4,2,2,2,131.67027682030223
32,20,4,appt,appt-us7-rs2-rep2-td8-ti1-buf2-cta2,1.285489,3,7+7+6,7,2,2,8,1,2,2,130.51232643764357
32,20,4,appt,appt-us7-rs2-rep2-td4-ti1-buf2-cta2,1.471181,3,7+7+6,7,2,2,4,1,2,2,114.03910191879856
64,20,1,baseline,barrier,0.141967,3,,,,,,,,,
64,20,1,v06,resident1010,0.203428,3,10+10,,,,,,,,
64,20,1,appt,appt-us7-rs2-rep2-td4-ti2-buf2-cta2,0.540119,3,7+7+6,7,2,2,4,2,2,2,155.31036678954084
64,20,1,appt,appt-us7-rs2-rep2-td4-ti1-buf2-cta2,0.54143,3,7+7+6,7,2,2,4,1,2,2,154.93430360342057
64,20,1,appt,appt-us7-rs2-rep2-td8-ti2-buf2-cta2,0.557896,3,7+7+6,7,2,2,8,2,2,2,150.36150106829948
64,20,1,appt,appt-us7-rs2-rep2-td8-ti1-buf2-cta2,0.564634,3,7+7+6,7,2,2,8,1,2,2,148.56717803037012
64,20,1,appt-online,online-w8-8-4-td4-ti1-cta2,0.608215,3,7+7+6,,,,,,,,
64,20,4,baseline,barrier,0.506655,3,,,,,,,,,
64,20,4,v06,resident1010,0.554066,3,10+10,,,,,,,,
64,20,4,appt-online,online-w7-7-6-td8-ti2-cta2,1.829294,3,7+7+6,,,,,,,,
64,20,4,appt,appt-us7-rs2-rep2-td4-ti2-buf2-cta2,1.980068,3,7+7+6,7,2,2,4,2,2,2,169.4610084098122
64,20,4,appt,appt-us7-rs2-rep2-td8-ti2-buf2-cta2,1.98953,3,7+7+6,7,2,2,8,2,2,2,168.65506928772123
64,20,4,appt,appt-us7-rs2-rep2-td4-ti1-buf2-cta2,1.995797,3,7+7+6,7,2,2,4,1,2,2,168.12547568715655
64,20,4,appt,appt-us7-rs2-rep2-td8-ti1-buf2-cta2,2.036388,3,7+7+6,7,2,2,8,1,2,2,164.7742571651375
