trial,bits,batch,group,data_space,weights,ctas,kernel_ms
1,32,1,1,16,"6,6,8",3,0.295895
1,32,1,2,8,"6,6,8",3,0.290734
1,32,1,4,32,"6,6,8",3,0.309576
1,32,4,1,16,"7,7,6",3,0.889405
1,32,4,2,8,"7,7,6",3,1.087406
1,32,4,4,32,"7,7,6",3,0.950047
1,64,1,1,16,"8,8,4",2,0.658616
1,64,1,2,8,"8,8,4",2,0.747274
1,64,1,4,32,"8,8,4",2,0.745165
1,64,4,1,16,"7,7,6",2,1.937572
1,64,4,2,8,"7,7,6",2,2.086748
1,64,4,4,32,"7,7,6",2,2.056602
2,32,1,1,16,"6,6,8",3,0.257884
2,32,1,2,8,"6,6,8",3,0.261325
2,32,1,4,32,"6,6,8",3,0.278548
2,32,4,1,16,"7,7,6",3,0.771379
2,32,4,2,8,"7,7,6",3,0.989553
2,32,4,4,32,"7,7,6",3,0.875868
2,64,1,1,16,"8,8,4",2,0.606740
2,64,1,2,8,"8,8,4",2,0.669450
2,64,1,4,32,"8,8,4",2,0.679096
2,64,4,1,16,"7,7,6",2,2.383790
2,64,4,2,8,"7,7,6",2,2.086605
2,64,4,4,32,"7,7,6",2,2.054390
3,32,1,1,16,"6,6,8",3,0.258028
3,32,1,2,8,"6,6,8",3,0.259645
3,32,1,4,32,"6,6,8",3,0.278180
3,32,4,1,16,"7,7,6",3,0.774226
3,32,4,2,8,"7,7,6",3,0.992174
3,32,4,4,32,"7,7,6",3,0.877548
3,64,1,1,16,"8,8,4",2,0.606822
3,64,1,2,8,"8,8,4",2,0.688271
3,64,1,4,32,"8,8,4",2,0.678994
3,64,4,1,16,"7,7,6",2,1.828700
3,64,4,2,8,"7,7,6",2,2.083410
3,64,4,4,32,"7,7,6",2,2.055168
