trial,bits,batch,publish_group,output_group,data_space,weights,ctas,kernel_ms
1,32,1,1,1,"16,16,16","6,6,8",3,0.295363
1,32,1,1,2,"16,16,8","6,6,8",3,0.295895
1,32,1,1,4,"16,16,32","6,6,8",3,0.295260
1,32,1,2,1,"16,8,16","6,6,8",3,0.332124
1,32,1,2,2,"16,8,8","6,6,8",3,0.290365
1,32,1,2,4,"16,8,32","6,6,8",3,0.278876
1,32,1,4,1,"16,32,16","6,6,8",3,0.323092
1,32,1,4,2,"16,32,8","6,6,8",3,0.323932
1,32,1,4,4,"16,32,32","6,6,8",3,0.316662
1,32,4,1,1,"16,16,16","7,7,6",3,0.884183
1,32,4,1,2,"16,16,8","7,7,6",3,0.880824
1,32,4,1,4,"16,16,32","7,7,6",3,0.883384
1,32,4,2,1,"16,8,16","7,7,6",3,1.166848
1,32,4,2,2,"16,8,8","7,7,6",3,1.035510
1,32,4,2,4,"16,8,32","7,7,6",3,0.912609
1,32,4,4,1,"16,32,16","7,7,6",3,1.094451
1,32,4,4,2,"16,32,8","7,7,6",3,0.985334
1,32,4,4,4,"16,32,32","7,7,6",3,0.872509
1,64,1,1,1,"16,16,16","8,8,4",2,0.603771
1,64,1,1,2,"16,16,8","8,8,4",2,0.604099
1,64,1,1,4,"16,16,32","8,8,4",2,0.603464
1,64,1,2,1,"16,8,16","8,8,4",2,0.637133
1,64,1,2,2,"16,8,8","8,8,4",2,0.669532
1,64,1,2,4,"16,8,32","8,8,4",2,0.642458
1,64,1,4,1,"16,32,16","8,8,4",2,0.633610
1,64,1,4,2,"16,32,8","8,8,4",2,0.680939
1,64,1,4,4,"16,32,32","8,8,4",2,0.675799
1,64,4,1,1,"16,16,16","7,7,6",2,1.828004
1,64,4,1,2,"16,16,8","7,7,6",2,1.831608
1,64,4,1,4,"16,16,32","7,7,6",2,1.829192
1,64,4,2,1,"16,8,16","7,7,6",2,1.873285
1,64,4,2,2,"16,8,8","7,7,6",2,2.082488
1,64,4,2,4,"16,8,32","7,7,6",2,2.005975
1,64,4,4,1,"16,32,16","7,7,6",2,1.873162
1,64,4,4,2,"16,32,8","7,7,6",2,2.267259
1,64,4,4,4,"16,32,32","7,7,6",2,2.064404
2,32,1,1,1,"16,16,16","6,6,8",3,0.257311
2,32,1,1,2,"16,16,8","6,6,8",3,0.257884
