trial,bits,batch,publish_group,output_group,data_space,weights,ctas,kernel_ms
1,32,1,1,1,"16,16,16","6,6,8",3,0.295506
1,32,1,1,2,"16,16,8","6,6,8",3,0.301240
1,32,1,1,4,"16,16,32","6,6,8",3,0.291799
1,32,1,2,1,"16,8,16","6,6,8",3,0.306115
1,32,1,2,2,"16,8,8","6,6,8",3,0.291656
1,32,1,2,4,"16,8,32","6,6,8",3,0.278036
1,32,1,4,1,"16,32,16","6,6,8",3,0.274493
1,32,1,4,2,"16,32,8","6,6,8",3,0.325100
1,32,1,4,4,"16,32,32","6,6,8",3,0.313262
1,32,4,1,1,"16,16,16","7,7,6",3,0.882872
1,32,4,1,2,"16,16,8","7,7,6",3,1.142456
1,32,4,1,4,"16,16,32","7,7,6",3,0.965386
1,32,4,2,1,"16,8,16","7,7,6",3,0.750305
1,32,4,2,2,"16,8,8","7,7,6",3,0.993833
1,32,4,2,4,"16,8,32","7,7,6",3,0.905052
1,32,4,4,1,"16,32,16","7,7,6",3,0.828355
1,32,4,4,2,"16,32,8","7,7,6",3,0.962499
1,32,4,4,4,"16,32,32","7,7,6",3,0.872837
1,64,1,1,1,"16,16,16","8,8,4",2,0.609382
1,64,1,1,2,"16,16,8","8,8,4",2,0.675840
1,64,1,1,4,"16,16,32","8,8,4",2,0.646676
1,64,1,2,1,"16,8,16","8,8,4",2,0.650240
1,64,1,2,2,"16,8,8","8,8,4",2,0.711660
1,64,1,2,4,"16,8,32","8,8,4",2,0.648028
1,64,1,4,1,"16,32,16","8,8,4",2,0.705290
1,64,1,4,2,"16,32,8","8,8,4",2,0.697365
1,64,1,4,4,"16,32,32","8,8,4",2,0.681062
1,64,4,1,1,"16,16,16","5,7,8",2,1.780122
1,64,4,1,2,"16,16,8","5,7,8",2,1.856532
1,64,4,1,4,"16,16,32","5,7,8",2,1.903841
1,64,4,2,1,"16,8,16","5,7,8",2,1.824850
1,64,4,2,2,"16,8,8","5,7,8",2,1.938104
1,64,4,2,4,"16,8,32","5,7,8",2,1.971507
1,64,4,4,1,"16,32,16","5,7,8",2,1.936220
1,64,4,4,2,"16,32,8","5,7,8",2,2.019389
1,64,4,4,4,"16,32,32","5,7,8",2,2.040033
2,32,1,1,1,"16,16,16","6,6,8",3,0.257413
2,32,1,1,2,"16,16,8","6,6,8",3,0.265236
2,32,1,1,4,"16,16,32","6,6,8",3,0.256758
2,32,1,2,1,"16,8,16","6,6,8",3,0.268186
2,32,1,2,2,"16,8,8","6,6,8",3,0.262984
2,32,1,2,4,"16,8,32","6,6,8",3,0.246968
2,32,1,4,1,"16,32,16","6,6,8",3,0.243651
2,32,1,4,2,"16,32,8","6,6,8",3,0.288010
2,32,1,4,4,"16,32,32","6,6,8",3,0.281068
2,32,4,1,1,"16,16,16","7,7,6",3,0.765932
2,32,4,1,2,"16,16,8","7,7,6",3,1.137050
2,32,4,1,4,"16,16,32","7,7,6",3,0.965427
2,32,4,2,1,"16,8,16","7,7,6",3,0.747397
2,32,4,2,2,"16,8,8","7,7,6",3,0.993792
2,32,4,2,4,"16,8,32","7,7,6",3,0.905011
2,32,4,4,1,"16,32,16","7,7,6",3,0.825917
2,32,4,4,2,"16,32,8","7,7,6",3,0.963584
2,32,4,4,4,"16,32,32","7,7,6",3,0.872776
2,64,1,1,1,"16,16,16","8,8,4",2,0.608850
2,64,1,1,2,"16,16,8","8,8,4",2,0.679608
