trial,bits,batch,a_group,weights,ctas,kernel_ms
1,32,1,1,"6,6,8",3,0.296141
1,32,1,4,"6,6,8",3,0.275292
1,32,4,1,"7,7,6",3,0.884797
1,32,4,4,"7,7,6",3,0.898417
1,64,1,1,"8,8,4",2,0.653722
1,64,1,4,"8,8,4",2,0.756122
1,64,4,1,"7,7,6",2,1.855713
1,64,4,4,"7,7,6",2,1.918362
2,32,1,1,"6,6,8",3,0.257475
2,32,1,4,"6,6,8",3,0.244163
2,32,4,1,"7,7,6",3,0.773857
2,32,4,4,"7,7,6",3,0.853258
2,64,1,1,"8,8,4",2,0.603791
2,64,1,4,"8,8,4",2,0.697201
2,64,4,1,"7,7,6",2,1.825608
2,64,4,4,"7,7,6",2,1.921004
3,32,1,1,"6,6,8",3,0.257905
3,32,1,4,"6,6,8",3,0.245023
3,32,4,1,"7,7,6",3,0.774615
3,32,4,4,"7,7,6",3,0.854098
3,64,1,1,"8,8,4",2,0.605082
3,64,1,4,"8,8,4",2,0.697774
3,64,4,1,"7,7,6",2,1.824993
3,64,4,4,"7,7,6",2,1.912607
