trial,bits,batch,a_group,data_space,weights,ctas,kernel_ms
1,32,1,1,16,"6,6,8",3,0.295219
1,32,1,2,8,"6,6,8",3,0.306708
1,32,1,4,32,"6,6,8",3,0.276296
1,32,4,1,16,"7,7,6",3,0.885801
1,32,4,2,8,"7,7,6",3,0.810701
1,32,4,4,32,"7,7,6",3,0.914432
1,64,1,1,16,"8,8,4",2,0.653435
1,64,1,2,8,"8,8,4",2,0.698245
1,64,1,4,32,"8,8,4",2,0.758784
1,64,4,1,16,"7,7,6",2,1.960632
1,64,4,2,8,"7,7,6",2,1.833636
1,64,4,4,32,"7,7,6",2,1.920819
2,32,1,1,16,"6,6,8",3,0.257188
2,32,1,2,8,"6,6,8",3,0.268227
2,32,1,4,32,"6,6,8",3,0.244224
2,32,4,1,16,"7,7,6",3,0.773550
2,32,4,2,8,"7,7,6",3,0.749957
2,32,4,4,32,"7,7,6",3,0.849326
2,64,1,1,16,"8,8,4",2,0.603709
2,64,1,2,8,"8,8,4",2,0.643564
2,64,1,4,32,"8,8,4",2,0.697836
2,64,4,1,16,"7,7,6",2,1.824461
2,64,4,2,8,"7,7,6",2,1.817457
2,64,4,4,32,"7,7,6",2,1.929687
3,32,1,1,16,"6,6,8",3,0.257638
3,32,1,2,8,"6,6,8",3,0.267981
3,32,1,4,32,"6,6,8",3,0.244511
3,32,4,1,16,"7,7,6",3,0.775803
3,32,4,2,8,"7,7,6",3,0.751862
3,32,4,4,32,"7,7,6",3,0.853524
3,64,1,1,16,"8,8,4",2,0.603300
3,64,1,2,8,"8,8,4",2,0.643482
3,64,1,4,32,"8,8,4",2,0.698716
3,64,4,1,16,"7,7,6",2,1.824870
3,64,4,2,8,"7,7,6",2,1.813995
3,64,4,4,32,"7,7,6",2,1.920000
