trial,bits,batch,weights,kernel_ms
1,32,1,"6,6,8",0.296387
1,32,1,"7,7,6",0.297165
1,32,1,"7,9,4",0.299786
1,32,1,"5,7,8",0.357970
1,32,4,"6,6,8",0.947896
1,32,4,"7,7,6",0.842732
1,32,4,"7,9,4",0.960491
1,32,4,"5,7,8",0.923095
1,64,1,"8,8,4",0.643420
1,64,1,"5,9,6",0.683541
1,64,1,"7,5,8",0.686162
1,64,1,"5,7,8",0.731709
1,64,1,"7,7,6",0.751923
1,64,4,"8,8,4",2.057032
1,64,4,"5,9,6",1.876152
1,64,4,"7,5,8",1.864663
1,64,4,"5,7,8",1.800929
1,64,4,"7,7,6",1.826673
2,32,1,"6,6,8",0.257966
2,32,1,"7,7,6",0.259215
2,32,1,"7,9,4",0.262390
2,32,1,"5,7,8",0.311624
2,32,4,"6,6,8",0.825795
2,32,4,"7,7,6",0.766464
2,32,4,"7,9,4",0.906486
2,32,4,"5,7,8",0.846152
2,64,1,"8,8,4",0.603730
2,64,1,"5,9,6",0.639795
2,64,1,"7,5,8",0.637440
2,64,1,"5,7,8",0.677437
2,64,1,"7,7,6",0.704143
2,64,4,"8,8,4",1.960059
2,64,4,"5,9,6",1.866056
2,64,4,"7,5,8",1.866998
2,64,4,"5,7,8",1.800806
2,64,4,"7,7,6",1.825751
3,32,1,"6,6,8",0.257864
3,32,1,"7,7,6",0.259830
3,32,1,"7,9,4",0.262308
3,32,1,"5,7,8",0.312586
3,32,4,"6,6,8",0.826778
3,32,4,"7,7,6",0.766525
3,32,4,"7,9,4",0.907592
3,32,4,"5,7,8",0.844902
3,64,1,"8,8,4",0.603115
3,64,1,"5,9,6",0.638669
3,64,1,"7,5,8",0.639181
3,64,1,"5,7,8",0.678646
3,64,1,"7,7,6",0.702996
3,64,4,"8,8,4",1.961841
3,64,4,"5,9,6",1.862595
3,64,4,"7,5,8",1.864438
3,64,4,"5,7,8",1.798247
3,64,4,"7,7,6",1.826918
