bits,batch,w0,w1,w2,kernel_ms
32,1,3,3,14,0.356215
32,1,3,5,12,0.358468
32,1,3,7,10,0.324267
32,1,3,9,8,0.339388
32,1,3,11,6,0.340548
32,1,5,3,12,0.372770
32,1,5,5,10,0.378470
32,1,5,7,8,0.358298
32,1,5,9,6,0.349662
32,1,5,11,4,0.387243
32,1,7,3,10,0.359731
32,1,7,5,8,0.378812
32,1,7,7,6,0.297711
32,1,7,9,4,0.300442
32,1,7,11,2,0.384819
32,1,9,3,8,0.359731
32,1,9,5,6,0.397039
32,1,9,7,4,0.310135
32,1,9,9,2,0.372941
32,1,11,3,6,0.353143
32,1,11,5,4,0.392704
32,1,11,7,2,0.386389
32,4,3,3,14,1.208934
32,4,3,5,12,1.124318
32,4,3,7,10,1.071582
32,4,3,9,8,1.049088
32,4,3,11,6,1.033011
32,4,5,3,12,1.206716
32,4,5,5,10,0.986999
32,4,5,7,8,0.969250
32,4,5,9,6,0.947268
32,4,5,11,4,1.025024
32,4,7,3,10,1.179887
32,4,7,5,8,0.962389
32,4,7,7,6,0.881254
32,4,7,9,4,0.995942
32,4,7,11,2,1.239689
32,4,9,3,8,1.198080
32,4,9,5,6,1.006353
32,4,9,7,4,0.985737
32,4,9,9,2,1.226069
32,4,11,3,6,1.233169
32,4,11,5,4,1.045982
32,4,11,7,2,1.226206
64,1,3,3,14,0.907947
64,1,3,5,12,0.879036
64,1,3,7,10,0.846473
64,1,3,9,8,0.859307
64,1,3,11,6,0.888900
64,1,5,3,12,0.895010
64,1,5,5,10,0.731614
64,1,5,7,8,0.758204
64,1,5,9,6,0.711236
64,1,5,11,4,0.811759
64,1,7,3,10,0.871561
64,1,7,5,8,0.713660
64,1,7,7,6,0.780288
64,1,7,9,4,0.853060
64,1,7,11,2,1.221837
64,1,9,3,8,0.852412
64,1,9,5,6,0.730010
64,1,9,7,4,0.824286
64,1,9,9,2,1.031373
64,1,11,3,6,0.877841
64,1,11,5,4,0.822443
64,1,11,7,2,1.194940
64,4,3,3,14,2.851567
64,4,3,5,12,2.498424
64,4,3,7,10,2.405717
64,4,3,9,8,2.396058
64,4,3,11,6,2.447565
64,4,5,3,12,2.463573
64,4,5,5,10,1.931298
64,4,5,7,8,1.801455
64,4,5,9,6,1.865557
64,4,5,11,4,2.189005
64,4,7,3,10,2.370458
64,4,7,5,8,1.865660
64,4,7,7,6,1.827908
64,4,7,9,4,2.115721
64,4,7,11,2,3.468117
64,4,9,3,8,2.321886
64,4,9,5,6,1.924232
64,4,9,7,4,2.184363
64,4,9,9,2,3.354658
64,4,11,3,6,2.202351
64,4,11,5,4,2.054383
64,4,11,7,2,3.402786
