trial,variant,scan_roles,device,compute_capability,auto_select,selection_target,selected_implementation,selection_confidence,predicted_kernel_ms,selection_reason,backend,stage_space,stage_handoff,flow_tile_log,data_space,role_stages,target_ctas_per_sm,data_time,token_interleave,pipeline_buffers,dataflow_layout,dataflow_state,compute_unit,word_bits,logN,N,batch,modulus,modulus_bits,n1_log,rows_per_block,threads_per_block,hierarchical_core,stage_partition,segment_cores,segment_threads,segment_units,segment_data_space,segment_data_time,segment_role_stages,segment_token_interleave,segment_cta_weights,boundary_storage,boundary_buffers,ready_window,inverse,warmup,repeat,h2d_ms,kernel_ms,timed_region_wall_ms,host_timing_overhead_ms,appt_producer_weight,appt_tail_weight,appt_writer_weight,appt_fragment_width,appt_writer_tiles,appt_data_time_roles,input_order,output_order,appt_layout_id,d2h_ms,kernel_ntt_s,end_to_end_ntt_s,kernel_points_s,cross_twiddle,mod_multiply,correct
1,v06,9-11,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-10x10-resident-radix4","experimental",0.000000,"transform-wave readiness with the generated resident radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"10+10","dataflow-radix4+dataflow-radix4","256+256","1+1","0+0","0+0","0+0","0+0","9+11","full-scratch","1",8,0,3,20,0.787200,0.146995,0.147460,0.000465,0,0,0,0,0,7,natural,natural,"",0.717984,6802.943146,605.261222,7133402912.639953,fused,shoup,-1
1,writer-final,6-12-4,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-register-tail-grouped-writer-final","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-online-register-tail-grouped-writer-final+appt-online-register-tail-grouped-writer-final+appt-online-register-tail-grouped-writer-final","256+256+256","8+8+8","32+16+16","1+1+1","2+2+2","1+1+1","8+6+6","ring+ring","2+2",8,0,3,20,0.796256,0.174950,0.175343,0.000393,6,12,4,8,1,7,natural,natural,"appt-ntt-log20-7x7x6-xor-fw8-v1",0.732416,5715.906058,586.984544,5993561910.218469,fused,shoup,-1
1,resident-2d,8-10-4,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-register-tail-grouped-writer-final-resident","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-online-register-tail-grouped-writer-final-resident+appt-online-register-tail-grouped-writer-final-resident+appt-online-register-tail-grouped-writer-final-resident","256+256+256","8+8+8","32+16+16","1+1+1","2+2+2","1+1+1","8+6+6","ring+ring","2+2",8,0,3,20,0.793984,0.620544,0.620936,0.000392,8,10,4,8,1,5,natural,natural,"appt-ntt-log20-7x7x6-xor-fw8-v1",0.747136,1611.489231,462.606583,1689768932.345314,fused,shoup,-1
1,resident-2d,10-8-4,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-register-tail-grouped-writer-final-resident","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-online-register-tail-grouped-writer-final-resident+appt-online-register-tail-grouped-writer-final-resident+appt-online-register-tail-grouped-writer-final-resident","256+256+256","8+8+8","32+16+16","1+1+1","2+2+2","1+1+1","8+6+6","ring+ring","2+2",8,0,3,20,0.777888,0.531098,0.531529,0.000432,10,8,4,8,1,5,natural,natural,"appt-ntt-log20-7x7x6-xor-fw8-v1",0.731680,1882.893120,490.036200,1974356536.200923,fused,shoup,-1
1,resident-2d,12-8-2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-register-tail-grouped-writer-final-resident","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-online-register-tail-grouped-writer-final-resident+appt-online-register-tail-grouped-writer-final-resident+appt-online-register-tail-grouped-writer-final-resident","256+256+256","8+8+8","32+16+16","1+1+1","2+2+2","1+1+1","8+6+6","ring+ring","2+2",8,0,3,20,0.781952,0.612864,0.613282,0.000418,12,8,2,8,1,5,natural,natural,"appt-ntt-log20-7x7x6-xor-fw8-v1",0.728640,1631.683329,470.930394,1710943977.915907,fused,shoup,-1
1,resident-2d,14-6-2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-register-tail-grouped-writer-final-resident","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-online-register-tail-grouped-writer-final-resident+appt-online-register-tail-grouped-writer-final-resident+appt-online-register-tail-grouped-writer-final-resident","256+256+256","8+8+8","32+16+16","1+1+1","2+2+2","1+1+1","8+6+6","ring+ring","2+2",8,0,3,20,0.795648,0.629402,0.629772,0.000371,14,6,2,8,1,5,natural,natural,"appt-ntt-log20-7x7x6-xor-fw8-v1",0.734144,1588.810795,463.135885,1665988867.805863,fused,shoup,-1
2,v06,9-11,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-10x10-resident-radix4","experimental",0.000000,"transform-wave readiness with the generated resident radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"10+10","dataflow-radix4+dataflow-radix4","256+256","1+1","0+0","0+0","0+0","0+0","9+11","full-scratch","1",8,0,3,20,0.795104,0.149914,0.150336,0.000423,0,0,0,0,0,7,natural,natural,"",0.735872,6670.509141,594.923072,6994535793.156841,fused,shoup,-1
2,writer-final,6-12-4,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-register-tail-grouped-writer-final","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-online-register-tail-grouped-writer-final+appt-online-register-tail-grouped-writer-final+appt-online-register-tail-grouped-writer-final","256+256+256","8+8+8","32+16+16","1+1+1","2+2+2","1+1+1","8+6+6","ring+ring","2+2",8,0,3,20,0.794336,0.175565,0.176021,0.000456,6,12,4,8,1,7,natural,natural,"appt-ntt-log20-7x7x6-xor-fw8-v1",0.735328,5695.902734,586.431556,5972586905.165646,fused,shoup,-1
2,resident-2d,8-10-4,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-register-tail-grouped-writer-final-resident","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-online-register-tail-grouped-writer-final-resident+appt-online-register-tail-grouped-writer-final-resident+appt-online-register-tail-grouped-writer-final-resident","256+256+256","8+8+8","32+16+16","1+1+1","2+2+2","1+1+1","8+6+6","ring+ring","2+2",8,0,3,20,0.796480,0.620493,0.620892,0.000399,8,10,4,8,1,5,natural,natural,"appt-ntt-log20-7x7x6-xor-fw8-v1",0.719328,1611.622205,468.098874,1689908364.786571,fused,shoup,-1
2,resident-2d,10-8-4,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-register-tail-grouped-writer-final-resident","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-online-register-tail-grouped-writer-final-resident+appt-online-register-tail-grouped-writer-final-resident+appt-online-register-tail-grouped-writer-final-resident","256+256+256","8+8+8","32+16+16","1+1+1","2+2+2","1+1+1","8+6+6","ring+ring","2+2",8,0,3,20,0.796320,0.531610,0.532021,0.000412,10,8,4,8,1,5,natural,natural,"appt-ntt-log20-7x7x6-xor-fw8-v1",0.724704,1881.079668,487.178997,1972454993.689937,fused,shoup,-1
