word_bits,batch,variant,roles,kernel_ms,trials,throughput_vs_writer_final,throughput_vs_v06
32,1,resident-2d,10-8-4,0.531354,2,0.32983190114311745,0.2793890701867305
32,1,resident-2d,12-8-2,0.6129665,2,0.285916930207442,0.24219023388717
32,1,resident-2d,14-6-2,0.6298115,2,0.2782697680178911,0.2357125901956379
32,1,resident-2d,8-10-4,0.6205185,2,0.28243718761003905,0.23924266560948626
32,1,v06,9-11,0.1484545,2,1.1805469015759038,1.0
32,1,writer-final,6-12-4,0.1752575,2,1.0,0.8470650328801904
32,4,resident-2d,10-8-4,1.4690560000000001,2,0.35052714123899975,0.23769277685806392
32,4,resident-2d,12-8-2,1.3542144999999999,2,0.38025290675886286,0.2578498457962162
32,4,resident-2d,14-6-2,1.4823935000000001,2,0.347373352621959,0.23555418989627244
32,4,resident-2d,8-10-4,1.5481345,2,0.33262226247138094,0.22555146209841587
32,4,v06,9-11,0.349184,2,1.4747067448680353,1.0
32,4,writer-final,6-12-4,0.5149440000000001,2,1.0,0.6781009197116579
32,16,resident-2d,10-8-4,4.2885884999999995,2,0.42093325111513974,0.24745857523984877
32,16,resident-2d,12-8-2,3.827328,2,0.4716631289505368,0.27728169626433896
32,16,resident-2d,14-6-2,4.2711805,2,0.422648843803253,0.24846713923703295
32,16,resident-2d,8-10-4,5.156941,2,0.350054324841025,0.20579021555608257
32,16,v06,9-11,1.061248,2,1.7010251138282477,1.0
32,16,writer-final,6-12-4,1.8052095000000001,2,1.0,0.5878807972149492
64,1,resident-2d,10-7-3,0.766464,2,0.3777887806863728,0.26546387044923175
64,1,resident-2d,12-6-2,0.881792,2,0.3283784611336914,0.2307443251923356
64,1,resident-2d,14-5-1,1.0540545,2,0.27471207608335246,0.19303413628042954
64,1,resident-2d,8-8-4,0.698035,2,0.4148237552558253,0.29148753286010015
64,1,v06,9-11,0.2034685,2,1.4231269213662068,1.0
64,1,writer-final,8-8-4,0.2895615,2,1.0,0.7026780148604009
64,4,resident-2d,10-7-3,2.0511489999999997,2,0.4251836409739127,0.2707835949509276
64,4,resident-2d,12-6-2,2.0192,2,0.43191115293185417,0.27506809627575274
64,4,resident-2d,14-5-1,2.455373,2,0.3551863606873579,0.22620493912737497
64,4,resident-2d,8-8-4,2.1030655,2,0.41468751211029803,0.26409900214710386
64,4,v06,9-11,0.5554175,2,1.5701971940027095,1.0
64,4,writer-final,8-8-4,0.872115,2,1.0,0.6368626843936867
64,16,resident-2d,10-7-3,6.747007999999999,2,0.4570961676642447,0.2720988325491833
64,16,resident-2d,12-6-2,6.198989,2,0.49750556098744486,0.29615361472653046
64,16,resident-2d,14-5-1,7.2740355,2,0.4239780655455971,0.2523843882807556
64,16,resident-2d,8-8-4,7.614029,2,0.4050459356012434,0.24111452688189133
64,16,v06,9-11,1.8358530000000002,2,1.6798902199685921,1.0
64,16,writer-final,8-8-4,3.0840315,2,1.0,0.5952769937661143
