trial,variant,scan_roles,device,compute_capability,auto_select,selection_target,selected_implementation,selection_confidence,predicted_kernel_ms,selection_reason,backend,stage_space,stage_handoff,flow_tile_log,data_space,role_stages,target_ctas_per_sm,data_time,token_interleave,pipeline_buffers,dataflow_layout,dataflow_state,compute_unit,word_bits,logN,N,batch,modulus,modulus_bits,n1_log,rows_per_block,threads_per_block,hierarchical_core,stage_partition,segment_cores,segment_threads,segment_units,segment_data_space,segment_data_time,segment_role_stages,segment_token_interleave,segment_cta_weights,boundary_storage,boundary_buffers,ready_window,inverse,warmup,repeat,h2d_ms,kernel_ms,timed_region_wall_ms,host_timing_overhead_ms,appt_producer_weight,appt_tail_weight,appt_writer_weight,appt_fragment_width,appt_writer_tiles,appt_data_time_roles,input_order,output_order,appt_layout_id,d2h_ms,kernel_ntt_s,end_to_end_ntt_s,kernel_points_s,cross_twiddle,mod_multiply,correct
1,v06,9-11,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-10x10-resident-radix4","experimental",0.000000,"transform-wave readiness with the generated resident radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"10+10","dataflow-radix4+dataflow-radix4","256+256","1+1","0+0","0+0","0+0","0+0","9+11","full-scratch","1",8,0,3,20,0.783072,0.147200,0.147628,0.000428,0,0,0,0,0,7,natural,natural,"",0.753280,6793.478110,593.982253,7123478102.801207,fused,shoup,-1
1,writer-final,6-12-4,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-register-tail-grouped-writer-final","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-online-register-tail-grouped-writer-final+appt-online-register-tail-grouped-writer-final+appt-online-register-tail-grouped-writer-final","256+256+256","8+8+8","32+16+16","1+1+1","2+2+2","1+1+1","8+6+6","ring+ring","2+2",8,0,3,20,0.800832,0.175514,0.175998,0.000484,6,12,4,8,1,7,natural,natural,"appt-ntt-log20-7x7x6-xor-fw8-v1",0.738528,5697.564329,583.133364,5974329213.375061,fused,shoup,-1
1,resident-2d,10-8-4,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-register-tail-grouped-writer-final-resident","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-online-register-tail-grouped-writer-final-resident+appt-online-register-tail-grouped-writer-final-resident+appt-online-register-tail-grouped-writer-final-resident","256+256+256","8+8+8","32+16+16","1+1+1","2+2+2","1+1+1","8+6+6","ring+ring","2+2",8,0,3,20,0.796512,0.530944,0.531460,0.000516,10,8,4,8,1,5,natural,natural,"appt-ntt-log20-7x7x6-xor-fw8-v1",0.737440,1883.437838,484.285894,1974927714.101028,fused,shoup,-1
1,resident-quarter,8-10-4,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-register-tail-grouped-writer-final-resident-quarter","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-online-register-tail-grouped-writer-final-resident-quarter+appt-online-register-tail-grouped-writer-final-resident-quarter+appt-online-register-tail-grouped-writer-final-resident-quarter","256+256+256","8+8+8","32+16+16","1+1+1","2+2+2","1+1+1","8+6+6","ring+ring","2+2",8,0,3,20,0.797344,0.412774,0.413322,0.000548,8,10,4,8,1,5,natural,natural,"appt-ntt-log20-7x7x6-xor-fw8-v1",0.725088,2422.630780,516.740735,2540312492.447480,fused,shoup,-1
1,resident-quarter,10-8-4,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-register-tail-grouped-writer-final-resident-quarter","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-online-register-tail-grouped-writer-final-resident-quarter+appt-online-register-tail-grouped-writer-final-resident-quarter+appt-online-register-tail-grouped-writer-final-resident-quarter","256+256+256","8+8+8","32+16+16","1+1+1","2+2+2","1+1+1","8+6+6","ring+ring","2+2",8,0,3,20,0.794240,0.364749,0.365266,0.000518,10,8,4,8,1,5,natural,natural,"appt-ntt-log20-7x7x6-xor-fw8-v1",0.728256,2741.612815,529.872969,2874789398.724187,fused,shoup,-1
1,resident-quarter,12-8-2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-register-tail-grouped-writer-final-resident-quarter","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-online-register-tail-grouped-writer-final-resident-quarter+appt-online-register-tail-grouped-writer-final-resident-quarter+appt-online-register-tail-grouped-writer-final-resident-quarter","256+256+256","8+8+8","32+16+16","1+1+1","2+2+2","1+1+1","8+6+6","ring+ring","2+2",8,0,3,20,0.799968,0.379750,0.380275,0.000525,12,8,2,8,1,5,natural,natural,"appt-ntt-log20-7x7x6-xor-fw8-v1",0.732000,2633.308610,523.089594,2761224208.958675,fused,shoup,-1
1,resident-quarter,14-6-2,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-register-tail-grouped-writer-final-resident-quarter","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-online-register-tail-grouped-writer-final-resident-quarter+appt-online-register-tail-grouped-writer-final-resident-quarter+appt-online-register-tail-grouped-writer-final-resident-quarter","256+256+256","8+8+8","32+16+16","1+1+1","2+2+2","1+1+1","8+6+6","ring+ring","2+2",8,0,3,20,0.797472,0.385382,0.385894,0.000512,14,6,2,8,1,5,natural,natural,"appt-ntt-log20-7x7x6-xor-fw8-v1",0.730688,2594.825403,522.590992,2720871641.688256,fused,shoup,-1
2,v06,9-11,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-10x10-resident-radix4","experimental",0.000000,"transform-wave readiness with the generated resident radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"10+10","dataflow-radix4+dataflow-radix4","256+256","1+1","0+0","0+0","0+0","0+0","9+11","full-scratch","1",8,0,3,20,0.791904,0.147610,0.148022,0.000412,0,0,0,0,0,7,natural,natural,"",0.739488,6774.626831,595.592053,7103711104.434694,fused,shoup,-1
2,writer-final,6-12-4,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-register-tail-grouped-writer-final","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,3,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-online-register-tail-grouped-writer-final+appt-online-register-tail-grouped-writer-final+appt-online-register-tail-grouped-writer-final","256+256+256","8+8+8","32+16+16","1+1+1","2+2+2","1+1+1","8+6+6","ring+ring","2+2",8,0,3,20,0.784256,0.175514,0.175962,0.000448,6,12,4,8,1,7,natural,natural,"appt-ntt-log20-7x7x6-xor-fw8-v1",0.735840,5697.564329,589.758397,5974329213.375061,fused,shoup,-1
2,resident-2d,10-8-4,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-register-tail-grouped-writer-final-resident","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-online-register-tail-grouped-writer-final-resident+appt-online-register-tail-grouped-writer-final-resident+appt-online-register-tail-grouped-writer-final-resident","256+256+256","8+8+8","32+16+16","1+1+1","2+2+2","1+1+1","8+6+6","ring+ring","2+2",8,0,3,20,0.799552,0.531354,0.531790,0.000436,10,8,4,8,1,5,natural,natural,"appt-ntt-log20-7x7x6-xor-fw8-v1",0.745568,1881.985957,481.585705,1973405306.871376,fused,shoup,-1
2,resident-quarter,8-10-4,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-register-tail-grouped-writer-final-resident-quarter","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-online-register-tail-grouped-writer-final-resident-quarter+appt-online-register-tail-grouped-writer-final-resident-quarter+appt-online-register-tail-grouped-writer-final-resident-quarter","256+256+256","8+8+8","32+16+16","1+1+1","2+2+2","1+1+1","8+6+6","ring+ring","2+2",8,0,3,20,0.782784,0.413235,0.413619,0.000384,8,10,4,8,1,5,natural,natural,"appt-ntt-log20-7x7x6-xor-fw8-v1",0.736864,2419.929450,517.361851,2537479942.756720,fused,shoup,-1
2,resident-quarter,10-8-4,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-appt-online-register-tail-grouped-writer-final-resident-quarter","experimental",0.000000,"persistent CTA fold roles publish online-reordered packet groups without fold-wide barriers",hierarchical-dataflow,0,named-barrier,0,0,0,2,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"7+7+6","appt-online-register-tail-grouped-writer-final-resident-quarter+appt-online-register-tail-grouped-writer-final-resident-quarter+appt-online-register-tail-grouped-writer-final-resident-quarter","256+256+256","8+8+8","32+16+16","1+1+1","2+2+2","1+1+1","8+6+6","ring+ring","2+2",8,0,3,20,0.793728,0.364493,0.364917,0.000424,10,8,4,8,1,5,natural,natural,"appt-ntt-log20-7x7x6-xor-fw8-v1",0.750208,2743.538390,523.991249,2876808510.438418,fused,shoup,-1
