word_bits,batch,variant,roles,kernel_ms,trials,throughput_vs_resident_2d,throughput_vs_writer_final,throughput_vs_v06
32,1,resident-2d,10-8-4,0.531149,2,1.0,0.33044211699541937,0.277520996933064
32,1,resident-quarter,10-8-4,0.364621,2,1.456715329067717,0.4813600971968154,0.4042690903705492
32,1,resident-quarter,12-8-2,0.379622,2,1.3991523146709093,0.4623388528588965,0.38829414522867484
32,1,resident-quarter,14-6-2,0.38502400000000003,2,1.3795217960438828,0.4558521027260638,0.38284626412898937
32,1,resident-quarter,8-10-4,0.4130045,2,1.2860610477609808,0.4249687352074856,0.3569089440914082
32,1,v06,9-11,0.147405,2,3.6033309589226956,1.19069231030155,1.0
32,1,writer-final,6-12-4,0.175514,2,3.0262486183438355,1.0,0.8398475335300888
32,4,resident-2d,12-8-2,1.353088,2,1.0,0.3781664607180021,0.2573077286917037
32,4,resident-quarter,10-8-4,0.9906429999999999,2,1.3658684309080065,0.5165256303229318,0.3514485036486404
32,4,resident-quarter,12-8-2,0.998502,2,1.3551179667141378,0.5124601653276608,0.3486823261245346
32,4,resident-quarter,14-6-2,1.0992380000000002,2,1.2309327006526338,0.4654974627878584,0.31672849737727404
32,4,resident-quarter,8-10-4,0.9741825,2,1.3889471428608091,0.5252532251400533,0.3573868346023461
32,4,v06,9-11,0.34816,2,3.8863970588235293,1.469705020680147,1.0
32,4,writer-final,6-12-4,0.5116925,2,2.644338152308271,1.0,0.6804086438632577
32,16,resident-2d,12-8-2,4.018995,2,1.0,0.44941148222378974,0.26181595150031284
32,16,resident-quarter,10-8-4,4.1574915,2,0.9666874845083869,0.43444045526010094,0.2530942035600073
32,16,resident-quarter,12-8-2,4.716518499999999,2,0.8521105132949232,0.3829482487983457,0.22309612482173027
32,16,resident-quarter,14-6-2,5.028121499999999,2,0.7993034774517682,0.35921616054822864,0.20927040048654355
32,16,resident-quarter,8-10-4,3.7555199999999997,2,1.0701567292944787,0.48094072192399456,0.28018410233469665
32,16,v06,9-11,1.0522369999999999,2,3.8194769809463085,1.716516811326726,1.0
32,16,writer-final,6-12-4,1.8061825,2,2.2251322886806846,1.0,0.5825751273750022
64,1,resident-2d,8-8-4,0.698547,2,1.0,0.41433718847837003,0.29090812787113823
64,1,resident-quarter,10-7-3,0.5519875000000001,2,1.2655123530877057,0.5243488303630063,0.3681478294345433
64,1,resident-quarter,12-6-2,0.5772545,2,1.2101196266118324,0.5013975638128416,0.35203363507776897
64,1,resident-quarter,14-5-1,0.7209220000000001,2,0.96896335525896,0.4014775523565655,0.28187931565412067
64,1,resident-quarter,8-8-4,0.47431650000000003,2,1.4727444649300625,0.6102128009462036,0.4284333351253857
64,1,v06,9-11,0.203213,2,3.437511379685355,1.4242888004212326,1.0
64,1,writer-final,8-8-4,0.28943399999999997,2,2.4134932316175712,1.0,0.702104797639531
64,4,resident-2d,12-6-2,2.17984,2,1.0,0.43335290663534937,0.2806811509101585
64,4,resident-quarter,10-7-3,1.6393725,2,1.3296794962706768,0.576220474602325,0.37321597135489337
64,4,resident-quarter,12-6-2,1.607091,2,1.3563886550294912,0.5877949661842421,0.38071272877515955
64,4,resident-quarter,14-5-1,1.8732285000000002,2,1.1636807789332693,0.5042844479464197,0.3266232603230198
64,4,resident-quarter,8-8-4,1.317427,2,1.6546191933215275,0.717034036800521,0.46442041949952445
64,4,v06,9-11,0.6118399999999999,2,3.562761506276151,1.5439330543933054,1.0
64,4,writer-final,8-8-4,0.9446399999999999,2,2.307588075880759,1.0,0.6476964769647696
64,16,resident-2d,12-6-2,6.1998595000000005,2,1.0,0.5060863072784149,0.31220731695613424
64,16,resident-quarter,10-7-3,7.164109,2,0.8654055235619671,0.4379698857178192,0.2701859365903003
64,16,resident-quarter,12-6-2,7.3698555,2,0.8412457340581508,0.42574294706320903,0.2626430735310889
64,16,resident-quarter,14-5-1,9.246259,2,0.6705262636488984,0.3393441607032639,0.20934320572244408
64,16,resident-quarter,8-8-4,5.5874299999999995,2,1.1096084425218753,0.5615576392008491,0.34642787471162956
64,16,v06,9-11,1.9356415,2,3.2029998840177796,1.6209943835157492,1.0
64,16,writer-final,8-8-4,3.137664,2,1.975947552064211,1.0,0.6169052836760086
