kind,bits,batch,trial,kernel_ms,role,wait_ns,compute_ns,boundary_ns,tasks,span_ns,start_delay_ns
online,32,1,1,0.302490,0,0,3795968,249856,64,63488,0
online,32,1,1,0.302490,1,4103168,6499328,2747392,64,193536,63488
online,32,1,1,0.302490,2,18088960,5466112,251904,128,197632,98304
v06,32,1,1,0.148070,0,0,0,0,0,66560,0
v06,32,1,1,0.148070,1,0,0,0,0,74752,67584
online,32,4,1,0.883712,0,0,31270912,1954816,256,512000,0
online,32,4,1,0.883712,1,5911552,38046720,12125184,256,762880,68608
online,32,4,1,0.883712,2,33529856,26038272,1454080,512,737280,136192
v06,32,4,1,0.354304,0,0,0,0,0,246784,0
v06,32,4,1,0.354304,1,0,0,0,0,265216,84992
online,64,1,1,0.675021,0,0,9940992,377856,64,162816,0
online,64,1,1,0.675021,1,10389504,12784640,2819072,64,327680,160768
online,64,1,1,0.675021,2,7676928,12027904,216064,128,434176,235520
v06,64,1,1,0.229581,0,0,0,0,0,113664,0
v06,64,1,1,0.229581,1,0,0,0,0,110592,113664
online,64,4,1,1.949901,0,0,56578048,1753088,256,1623040,0
online,64,4,1,1.949901,1,28216320,56562688,9677824,256,1692672,156672
online,64,4,1,1.949901,2,67557376,53103616,1323008,512,1472512,481280
v06,64,4,1,0.614605,0,0,0,0,0,479232,0
v06,64,4,1,0.614605,1,0,0,0,0,487424,122880
online,32,1,2,0.303309,0,0,3782656,248832,64,63488,0
online,32,1,2,0.303309,1,4107264,6556672,2712576,64,192512,64512
online,32,1,2,0.303309,2,18085888,5432320,249856,128,196608,99328
v06,32,1,2,0.148275,0,0,0,0,0,64512,0
v06,32,1,2,0.148275,1,0,0,0,0,75776,64512
online,32,4,2,0.879616,0,0,30748672,2041856,256,495616,0
online,32,4,2,0.879616,1,5921792,38104064,11937792,256,757760,68608
online,32,4,2,0.879616,2,33528832,25817088,1441792,512,736256,132096
v06,32,4,2,0.348570,0,0,0,0,0,245760,0
v06,32,4,2,0.348570,1,0,0,0,0,261120,84992
online,64,1,2,0.671334,0,0,9980928,342016,64,162816,0
online,64,1,2,0.671334,1,10377216,12664832,2828288,64,328704,159744
online,64,1,2,0.671334,2,7657472,11915264,225280,128,430080,234496
v06,64,1,2,0.229990,0,0,0,0,0,114688,0
v06,64,1,2,0.229990,1,0,0,0,0,109568,114688
online,64,4,2,1.930854,0,0,54530048,1683456,256,1571840,0
online,64,4,2,1.930854,1,26781696,55178240,9601024,256,1641472,155648
online,64,4,2,1.930854,2,63866880,53499904,1333248,512,1447936,453632
v06,64,4,2,0.613581,0,0,0,0,0,477184,0
v06,64,4,2,0.613581,1,0,0,0,0,484352,122880
online,32,1,3,0.303309,0,0,3756032,275456,64,63488,0
online,32,1,3,0.303309,1,4066304,6535168,2718720,64,193536,63488
online,32,1,3,0.303309,2,18031616,5448704,236544,128,197632,97280
v06,32,1,3,0.147866,0,0,0,0,0,67584,0
v06,32,1,3,0.147866,1,0,0,0,0,75776,67584
online,32,4,3,0.881459,0,0,31327232,1969152,256,518144,0
online,32,4,3,0.881459,1,5863424,38378496,12083200,256,757760,67584
online,32,4,3,0.881459,2,33086464,26183680,1389568,512,736256,131072
v06,32,4,3,0.352461,0,0,0,0,0,249856,0
v06,32,4,3,0.352461,1,0,0,0,0,268288,82944
online,64,1,3,0.672358,0,0,9853952,392192,64,160768,0
online,64,1,3,0.672358,1,10317824,12858368,2817024,64,329728,158720
online,64,1,3,0.672358,2,7633920,12009472,237568,128,429056,233472
v06,64,1,3,0.228762,0,0,0,0,0,112640,0
v06,64,1,3,0.228762,1,0,0,0,0,110592,112640
online,64,4,3,1.934950,0,0,55378944,1912832,256,1598464,0
online,64,4,3,1.934950,1,27144192,56038400,9888768,256,1668096,156672
online,64,4,3,1.934950,2,65757184,53249024,1318912,512,1458176,470016
v06,64,4,3,0.612557,0,0,0,0,0,475136,0
v06,64,4,3,0.612557,1,0,0,0,0,487424,124928
