word_bits,batch,physical_core,weights,kernel_ms,min_ms,trials,throughput_vs_v06
32,1,cta-radix4,7-6-7,0.306125,0.305613,3,0.4818521845651286
32,1,fused-tail,9-6-5,0.287334,0.286362,3,0.5133642381340183
32,1,register-tail,8-7-5,0.222259,0.222157,3,0.6636716623398827
32,1,split-tail,7-7-6,0.300851,0.299418,3,0.49029918464622024
32,1,v06,9-11,0.147507,0.147302,3,1.0
32,1,warp,6-6-8,0.295014,0.294605,3,0.5
32,4,cta-radix4,7-6-7,0.95913,0.959078,3,0.3650245535016108
32,4,fused-tail,4-8-8,0.879514,0.878899,3,0.3980675691347721
32,4,register-tail,8-7-5,0.744858,0.70272,3,0.47003052930894207
32,4,split-tail,8-6-6,1.002803,0.993331,3,0.3491273959092663
32,4,v06,9-11,0.350106,0.349184,3,1.0
32,4,warp,7-7-6,0.888525,0.888269,3,0.3940305562589685
64,1,cta-radix4,4-8-8,0.438886,0.438682,3,0.5218165992991346
64,1,fused-tail,9-6-5,0.474266,0.473958,3,0.48288934901510966
64,1,register-tail,11-5-4,0.312883,0.312371,3,0.7319605091999245
64,1,split-tail,4-6-10,0.408474,0.40832,3,0.5606672640119077
64,1,v06,9-11,0.229018,0.228864,3,1.0
64,1,warp,8-8-4,0.66903,0.668621,3,0.3423134986472953
64,4,cta-radix4,5-7-8,1.346099,1.345894,3,0.4545282330645815
64,4,fused-tail,7-7-6,1.249382,1.245184,3,0.4897141146582871
64,4,register-tail,10-6-4,0.978278,0.977408,3,0.6254254925491528
64,4,split-tail,4-8-8,1.342976,1.339699,3,0.45558520777735423
64,4,v06,9-11,0.61184,0.591514,3,1.0
64,4,warp,6-8-6,1.93321,1.892506,3,0.3164891553426684
