word_bits,batch,variant,fragment_width,writer_tiles,roles,kernel_ms,trials,throughput_vs_v06,throughput_vs_grouped
32,1,grouped,16,2,7-13-3,0.193775,3,0.7644897432589343,1.0
32,1,v06,0,0,9-11,0.148139,3,1.0,1.3080620228299098
32,1,writer-final,8,1,6-12-4,0.174353,3,0.8496498482962724,1.111394699259548
32,4,grouped,16,2,6-14-2,0.606857,3,0.5753414725380115,1.0
32,4,v06,0,0,9-11,0.34915,3,1.0,1.738098238579407
32,4,writer-final,8,2,6-12-4,0.510054,3,0.6845353629223573,1.1897897085406643
32,16,grouped,32,2,6-16-2,2.012877,3,0.5115906237688641,1.0
32,16,v06,0,0,9-11,1.029769,3,1.0,1.954687896023283
32,16,writer-final,16,2,6-12-4,1.737694,3,0.5926066384530302,1.158361023287184
64,1,grouped,8,2,10-9-3,0.285559,3,0.7121680633424265,1.0
64,1,v06,0,0,9-11,0.203366,3,1.0,1.4041629377575406
64,1,writer-final,8,2,8-8-4,0.286583,3,0.7096233900824543,0.9964268641196443
64,4,grouped,16,2,8-10-2,0.962833,3,0.6337921529486421,1.0
64,4,v06,0,0,9-11,0.610236,3,1.0,1.5778043248841433
64,4,writer-final,8,2,8-8-4,0.936687,3,0.6514833663753207,1.0279132730570617
64,16,grouped,16,2,8-10-2,3.048414,3,0.6047767790070508,1.0
64,16,v06,0,0,9-11,1.84361,3,1.0,1.6535026388444412
64,16,writer-final,16,2,8-8-4,3.067631,3,0.6009881892574432,0.9937355568515249
