word_bits,batch,variant,fragment_width,writer_tiles,roles,kernel_ms,trials,throughput_vs_v06,throughput_vs_grouped
32,1,grouped,16,2,7-13-3,0.193946,1,0.7581801119899354,1.0
32,1,v06,0,0,9-11,0.147046,1,1.0,1.3189478122492282
32,1,writer-final,8,1,6-10-6,0.213299,1,0.6893890735540252,0.9092682103526037
32,1,writer-final,8,1,6-11-5,0.216166,1,0.6802457370724351,0.897208626703552
32,1,writer-final,8,1,6-12-4,0.174592,1,0.8422264479472141,1.1108527309384164
32,1,writer-final,8,1,6-13-3,0.185754,1,0.7916168696232653,1.0441013383291882
32,1,writer-final,8,1,6-14-2,0.202342,1,0.7267201075406985,0.958505895958328
32,1,writer-final,8,1,7-11-5,0.223437,1,0.6581094447204358,0.8680120123345731
32,1,writer-final,8,1,7-12-4,0.229581,1,0.6404972536925966,0.844782451509489
32,1,writer-final,8,1,7-13-3,0.185446,1,0.7929316350851461,1.0458354453587568
32,1,writer-final,8,2,6-10-6,0.216166,1,0.6802457370724351,0.897208626703552
32,1,writer-final,8,2,6-11-5,0.221594,1,0.663582948996814,0.8752312788252389
32,1,writer-final,8,2,6-12-4,0.176947,1,0.8310171972398516,1.0960683142409875
32,1,writer-final,8,2,6-13-3,0.18432,1,0.7977756076388889,1.052224392361111
32,1,writer-final,8,2,6-14-2,0.2048,1,0.717998046875,0.947001953125
32,1,writer-final,8,2,7-11-5,0.22487,1,0.6539155956775027,0.862480544314493
32,1,writer-final,8,2,7-12-4,0.228352,1,0.6439444366591929,0.8493291059417041
32,1,writer-final,8,2,7-13-3,0.183808,1,0.799997823816156,1.0551553795264625
32,1,writer-final,16,1,6-10-6,0.224666,1,0.6545093605619008,0.8632636892097603
32,1,writer-final,16,1,6-11-5,0.220672,1,0.6663554959396752,0.878888123549884
32,1,writer-final,16,1,6-12-4,0.183808,1,0.799997823816156,1.0551553795264625
32,1,writer-final,16,1,6-13-3,0.193536,1,0.759786292989418,1.002118468915344
32,1,writer-final,16,1,6-14-2,0.21248,1,0.6920463102409639,0.9127729668674699
32,1,writer-final,16,1,7-11-5,0.221286,1,0.6645065661632458,0.8764494816662599
