trial,device,compute_capability,operator,precision,direction,normalization,placement,auto_select,selection_target,selected_implementation,selection_confidence,predicted_kernel_ms,selection_reason,backend,compute_unit,complex_multiply,cross_twiddle,direct_boundary,decomposition_count,stages_per_decomposition,segment_threads,segment_ept,boundary_twiddles,boundary_layouts,boundary_residencies,execution_group_count,group_threads,group_ept,local_exchange,shared_layout,fft_core,stage_space,stage_handoff,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
1,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,inverse,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,20,100,2.802624,0.055921,2.590592,292986642.209003,300.018322,75004580405.504684,0.000000,-1
2,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,inverse,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,20,100,2.782624,0.055798,2.590112,293631861.985137,300.679027,75169756668.195160,0.000000,-1
3,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,inverse,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,20,100,2.773952,0.055767,2.591040,293793606.302695,300.844653,75211163213.489838,0.000000,-1
4,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,inverse,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,20,100,2.777248,0.055880,2.601536,293201400.172146,300.238234,75059558444.069290,0.000000,-1
5,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,inverse,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,20,100,2.766272,0.055839,2.590240,293416473.199577,300.458469,75114617139.091812,0.000000,-1
1,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,inverse,out-of-place,0,"","","",0.000000,"",stage-pipeline,radix2,four-mul,table,direct-strided,1,8,,,,,,0,,,shared,linear,scalar,1,named-barrier,0,0,0,8,8,0,0,0,0,0,8,8,256,16384,1,256,20,100,2.765888,0.356639,2.590784,45940047.004005,47.042608,11760652033.025343,0.000000,-1
2,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,inverse,out-of-place,0,"","","",0.000000,"",stage-pipeline,radix2,four-mul,table,direct-strided,1,8,,,,,,0,,,shared,linear,scalar,1,named-barrier,0,0,0,8,8,0,0,0,0,0,8,8,256,16384,1,256,20,100,2.771872,0.356475,2.588000,45961163.281085,47.064231,11766057799.957731,0.000000,-1
3,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,inverse,out-of-place,0,"","","",0.000000,"",stage-pipeline,radix2,four-mul,table,direct-strided,1,8,,,,,,0,,,shared,linear,scalar,1,named-barrier,0,0,0,8,8,0,0,0,0,0,8,8,256,16384,1,256,20,100,2.793696,0.356659,2.604640,45937409.793209,47.039908,11759976907.061520,0.000000,-1
4,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,inverse,out-of-place,0,"","","",0.000000,"",stage-pipeline,radix2,four-mul,table,direct-strided,1,8,,,,,,0,,,shared,linear,scalar,1,named-barrier,0,0,0,8,8,0,0,0,0,0,8,8,256,16384,1,256,20,100,2.787616,0.356690,2.602496,45933456.463607,47.035859,11758964854.683287,0.000000,-1
5,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,inverse,out-of-place,0,"","","",0.000000,"",stage-pipeline,radix2,four-mul,table,direct-strided,1,8,,,,,,0,,,shared,linear,scalar,1,named-barrier,0,0,0,8,8,0,0,0,0,0,8,8,256,16384,1,256,20,100,2.784288,0.356577,2.607968,45947964.293774,47.050715,11762678859.206062,0.000000,-1
