operator,backend,stage_space,trials,median_kernel_ms,median_Gbutterfly_s,speedup_vs_us1,speedup_vs_temporal_tile,speedup_vs_cufft
fwht,temporal-tile,0,5,0.055839,300.458469,6.386916,1.000000,
fwht,stage-pipeline,1,5,0.356639,47.042608,1.000000,0.156570,
fwht,stage-pipeline,2,5,0.226499,74.072065,1.574572,0.246531,
fwht,stage-pipeline,4,5,0.190566,88.038686,1.871472,0.293017,
fwht,stage-pipeline,8,5,0.200991,83.472590,1.774403,0.277818,
subset-zeta,temporal-tile,0,5,0.052398,320.187599,6.781328,1.000000,
subset-zeta,stage-pipeline,1,5,0.355328,47.216139,1.000000,0.147464,
subset-zeta,stage-pipeline,2,5,0.228311,73.484031,1.556333,0.229503,
subset-zeta,stage-pipeline,4,5,0.194232,86.377058,1.829400,0.269770,
subset-zeta,stage-pipeline,8,5,0.207340,80.916638,1.713746,0.252715,
superset-zeta,temporal-tile,0,5,0.052419,320.062513,6.777638,1.000000,
superset-zeta,stage-pipeline,1,5,0.355277,47.222944,1.000000,0.147544,
superset-zeta,stage-pipeline,2,5,0.227748,73.665752,1.559957,0.230162,
superset-zeta,stage-pipeline,4,5,0.193311,86.788854,1.837852,0.271164,
superset-zeta,stage-pipeline,8,5,0.206408,81.281936,1.721237,0.253958,
xor-zeta,temporal-tile,0,5,0.052429,320.000019,6.777699,1.000000,
xor-zeta,stage-pipeline,1,5,0.355348,47.213419,1.000000,0.147543,
xor-zeta,stage-pipeline,2,5,0.228270,73.497222,1.556700,0.229680,
xor-zeta,stage-pipeline,4,5,0.194222,86.381605,1.829597,0.269944,
xor-zeta,stage-pipeline,8,5,0.207350,80.912637,1.713759,0.252853,
fft,temporal-tile,0,5,0.130171,128.886090,5.698942,1.000000,0.643722
fft,stage-pipeline,1,5,0.741837,22.615778,1.000000,0.175471,0.112955
fft,stage-pipeline,2,5,0.404337,41.493188,1.834700,0.321937,0.207238
fft,stage-pipeline,4,5,0.336794,49.814533,2.202643,0.386500,0.248799
fft,stage-pipeline,8,5,0.365210,45.938594,2.031261,0.356428,0.229441
fft,cufft,0,5,0.083794,200.219978,8.853104,1.553464,1.000000
