trial,device,compute_capability,operator,precision,direction,normalization,placement,auto_select,selection_target,selected_implementation,selection_confidence,predicted_kernel_ms,selection_reason,backend,compute_unit,complex_multiply,cross_twiddle,direct_boundary,stage_matrices,decomposition_count,stages_per_decomposition,segment_threads,segment_ept,boundary_twiddles,boundary_layouts,boundary_residencies,execution_group_count,group_threads,group_ept,local_exchange,shared_layout,fft_core,stage_space,stage_handoff,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
1,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,inverse,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,20,100,2.876704,0.055747,2.600288,293901547.972305,300.955185,75238796280.909973,0.000000,-1
2,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,inverse,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,20,100,2.788064,0.055798,2.599520,293631861.985137,300.679027,75169756668.195160,0.000000,-1
3,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,inverse,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,20,100,2.794880,0.055808,2.602112,293577980.249180,300.623852,75155962943.789963,0.000000,-1
4,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,inverse,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,20,100,2.774688,0.055726,2.604896,294009549.333452,301.065779,75266444629.363632,0.000000,-1
5,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,inverse,out-of-place,0,"","","",0.000000,"",temporal-tile,radix2,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,20,100,2.784640,0.055777,2.605440,293739684.813839,300.789437,75197359312.342773,0.000000,-1
1,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,inverse,out-of-place,0,"","","",0.000000,"",stage-pipeline,radix2,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,1,named-barrier,0,0,0,8,8,0,0,0,0,0,8,8,256,16384,1,256,20,100,2.774048,0.357898,2.605696,45778372.226399,46.877053,11719263289.958183,0.000000,-1
2,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,inverse,out-of-place,0,"","","",0.000000,"",stage-pipeline,radix2,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,1,named-barrier,0,0,0,8,8,0,0,0,0,0,8,8,256,16384,1,256,20,100,2.779200,0.357980,2.602048,45767899.295869,46.866329,11716582219.742369,0.000000,-1
3,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,inverse,out-of-place,0,"","","",0.000000,"",stage-pipeline,radix2,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,1,named-barrier,0,0,0,8,8,0,0,0,0,0,8,8,256,16384,1,256,20,100,2.777056,0.358031,2.596928,45761354.242742,46.859627,11714906686.142027,0.000000,-1
4,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,inverse,out-of-place,0,"","","",0.000000,"",stage-pipeline,radix2,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,1,named-barrier,0,0,0,8,8,0,0,0,0,0,8,8,256,16384,1,256,20,100,2.797920,0.358042,2.606592,45760043.933173,46.858285,11714571246.892282,0.000000,-1
5,"Tesla V100-SXM2-16GB",7.0,fwht,fp32,forward,inverse,out-of-place,0,"","","",0.000000,"",stage-pipeline,radix2,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,1,named-barrier,0,0,0,8,8,0,0,0,0,0,8,8,256,16384,1,256,20,100,2.781760,0.357816,2.621504,45788857.578461,46.887790,11721947540.086002,0.000000,-1
