operator,stage_matrices,backend,stage_space,trials,median_kernel_ms,median_Gbutterfly_s,speedup_vs_us1,speedup_vs_temporal_tile,speedup_vs_cufft
fwht,,temporal-tile,0,5,0.055777,300.789437,6.418058,1.000000,
fwht,,stage-pipeline,1,5,0.357980,46.866329,1.000000,0.155810,
fwht,,stage-pipeline,2,5,0.226458,74.085464,1.580779,0.246302,
fwht,,stage-pipeline,4,5,0.190515,88.062353,1.879012,0.292770,
fwht,,stage-pipeline,8,5,0.200980,83.476847,1.781172,0.277525,
structured-2x2,1:0.25:-0.5:1,temporal-tile,0,5,0.070943,236.489600,5.130753,1.000000,
structured-2x2,1:0.25:-0.5:1,stage-pipeline,1,5,0.363991,46.092386,1.000000,0.194903,
structured-2x2,1:0.25:-0.5:1,stage-pipeline,2,5,0.226970,73.918340,1.603697,0.312566,
structured-2x2,1:0.25:-0.5:1,stage-pipeline,4,5,0.194212,86.386164,1.874194,0.365286,
structured-2x2,1:0.25:-0.5:1,stage-pipeline,8,5,0.205363,81.695338,1.772427,0.345452,
subset-zeta,,temporal-tile,0,5,0.052419,320.062513,6.785059,1.000000,
subset-zeta,,stage-pipeline,1,5,0.355666,47.171278,1.000000,0.147383,
subset-zeta,,stage-pipeline,2,5,0.228352,73.470854,1.557534,0.229553,
subset-zeta,,stage-pipeline,4,5,0.194202,86.390718,1.831423,0.269920,
subset-zeta,,stage-pipeline,8,5,0.207340,80.916638,1.715376,0.252817,
superset-zeta,,temporal-tile,0,5,0.052449,319.875058,6.780778,1.000000,
superset-zeta,,stage-pipeline,1,5,0.355645,47.173993,1.000000,0.147476,
superset-zeta,,stage-pipeline,2,5,0.227727,73.672379,1.561716,0.230315,
superset-zeta,,stage-pipeline,4,5,0.193331,86.779662,1.839565,0.271291,
superset-zeta,,stage-pipeline,8,5,0.206449,81.265814,1.722677,0.254053,
xor-zeta,,temporal-tile,0,5,0.052470,319.750194,6.779055,1.000000,
xor-zeta,,stage-pipeline,1,5,0.355697,47.167203,1.000000,0.147513,
xor-zeta,,stage-pipeline,2,5,0.228291,73.490626,1.558086,0.229838,
xor-zeta,,stage-pipeline,4,5,0.194161,86.408945,1.831969,0.270240,
xor-zeta,,stage-pipeline,8,5,0.207350,80.912637,1.715442,0.253050,
fft,,temporal-tile,0,5,0.130202,128.855689,5.713468,1.000000,0.644038
fft,,stage-pipeline,1,5,0.743905,22.552894,1.000000,0.175025,0.112723
fft,,stage-pipeline,2,5,0.404316,41.495286,1.839910,0.322030,0.207400
fft,,stage-pipeline,4,5,0.339528,49.413399,2.190998,0.383479,0.246975
fft,,stage-pipeline,8,5,0.364995,45.965661,2.038124,0.356723,0.229743
fft,,cufft,0,5,0.083855,200.073267,8.871326,1.552704,1.000000
