trial,device,compute_capability,operator,backend,stage_space,stage_handoff,logN,N,batch,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
1,"Tesla V100-SXM2-16GB",7.0,fwht,temporal-tile,4,named-barrier,8,256,16384,20,100,2.785728,0.055286,2.608512,296351180.055763,303.463608,75865902094.275345,0.000000,-1
2,"Tesla V100-SXM2-16GB",7.0,fwht,temporal-tile,4,named-barrier,8,256,16384,20,100,2.771040,0.055306,2.599968,296241431.863171,303.351226,75837806556.971649,0.000000,-1
3,"Tesla V100-SXM2-16GB",7.0,fwht,temporal-tile,4,named-barrier,8,256,16384,20,100,2.772800,0.055214,2.595616,296735899.887575,303.857561,75964390371.219162,0.000000,-1
4,"Tesla V100-SXM2-16GB",7.0,fwht,temporal-tile,4,named-barrier,8,256,16384,20,100,2.782752,0.055132,2.598496,297176810.365969,304.309054,76077263453.688034,0.000000,-1
5,"Tesla V100-SXM2-16GB",7.0,fwht,temporal-tile,4,named-barrier,8,256,16384,20,100,2.799520,0.055173,2.603232,296956191.464632,304.083140,76020785014.945831,0.000000,-1
1,"Tesla V100-SXM2-16GB",7.0,fwht,stage-pipeline,1,named-barrier,8,256,16384,20,100,2.801344,0.353669,2.604896,46325783.895010,47.437603,11859400677.122686,0.000000,-1
2,"Tesla V100-SXM2-16GB",7.0,fwht,stage-pipeline,1,named-barrier,8,256,16384,20,100,2.807680,0.353597,2.602304,46335174.181159,47.447218,11861804590.376781,0.000000,-1
3,"Tesla V100-SXM2-16GB",7.0,fwht,stage-pipeline,1,named-barrier,8,256,16384,20,100,2.777024,0.353403,2.599904,46360689.678529,47.473346,11868336557.703375,0.000000,-1
4,"Tesla V100-SXM2-16GB",7.0,fwht,stage-pipeline,1,named-barrier,8,256,16384,20,100,2.790624,0.353679,2.608992,46324444.966804,47.436232,11859057911.501907,0.000000,-1
5,"Tesla V100-SXM2-16GB",7.0,fwht,stage-pipeline,1,named-barrier,8,256,16384,20,100,2.789280,0.353536,2.592480,46343228.260683,47.455466,11863866434.734756,0.000000,-1
1,"Tesla V100-SXM2-16GB",7.0,fwht,stage-pipeline,2,named-barrier,8,256,16384,20,100,2.766400,0.223621,2.593536,73266784.281612,75.025187,18756296776.092743,0.000000,-1
2,"Tesla V100-SXM2-16GB",7.0,fwht,stage-pipeline,2,named-barrier,8,256,16384,20,100,2.770240,0.223703,2.596192,73239951.846390,74.997711,18749427672.675831,0.000000,-1
3,"Tesla V100-SXM2-16GB",7.0,fwht,stage-pipeline,2,named-barrier,8,256,16384,20,100,2.825760,0.223601,2.611200,73273493.021165,75.032057,18758014213.418270,0.000000,-1
4,"Tesla V100-SXM2-16GB",7.0,fwht,stage-pipeline,2,named-barrier,8,256,16384,20,100,2.774016,0.223539,2.592800,73293631.499117,75.052679,18763169663.773838,0.000000,-1
5,"Tesla V100-SXM2-16GB",7.0,fwht,stage-pipeline,2,named-barrier,8,256,16384,20,100,2.777248,0.223672,2.597984,73250012.926109,75.008013,18752003309.083870,0.000000,-1
1,"Tesla V100-SXM2-16GB",7.0,fwht,stage-pipeline,4,named-barrier,8,256,16384,20,100,2.765056,0.186593,2.592128,87805949.209487,89.913292,22478322997.628746,0.000000,-1
2,"Tesla V100-SXM2-16GB",7.0,fwht,stage-pipeline,4,named-barrier,8,256,16384,20,100,2.770752,0.186573,2.601344,87815584.891215,89.923159,22480789732.151001,0.000000,-1
