operator,backend,stage_space,trials,median_kernel_ms,median_Gbutterfly_s,speedup_vs_us1,speedup_vs_temporal_tile,speedup_vs_cufft
fwht,temporal-tile,0,5,0.055214,303.857561,6.404119,1.000000,
fwht,stage-pipeline,1,5,0.353597,47.447218,1.000000,0.156150,
fwht,stage-pipeline,2,5,0.223621,75.025187,1.581233,0.246909,
fwht,stage-pipeline,4,5,0.186604,89.908352,1.894906,0.295889,
fwht,stage-pipeline,8,5,0.196659,85.311114,1.798021,0.280760,
xor-zeta,temporal-tile,0,5,0.051732,324.307225,6.829429,1.000000,
xor-zeta,stage-pipeline,1,5,0.353300,47.487102,1.000000,0.146425,
xor-zeta,stage-pipeline,2,5,0.224020,74.891438,1.577091,0.230926,
xor-zeta,stage-pipeline,4,5,0.186481,89.967601,1.894563,0.277412,
xor-zeta,stage-pipeline,8,5,0.198584,84.484087,1.779096,0.260504,
fft,temporal-tile,0,5,0.129915,129.140065,5.800654,1.000000,0.644829
fft,stage-pipeline,1,5,0.753592,22.262987,1.000000,0.172394,0.111165
fft,stage-pipeline,2,5,0.397701,42.185489,1.894871,0.326665,0.210643
fft,stage-pipeline,4,5,0.314122,53.409834,2.399042,0.413581,0.266689
fft,stage-pipeline,8,5,0.325089,51.608027,2.318110,0.399629,0.257693
fft,cufft,0,5,0.083773,200.268912,8.995643,1.550798,1.000000
