suite_case_id,suite_group,suite_tier,suite_runner,implementation,reference,trial,performance_batch,preflight_correct,preflight_max_error,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,complex_multiply,cross_twiddle,local_exchange,fft_core,stage_space,stage_handoff,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct,output_order,library,library_version,plan_ms,max_abs_error,relative_l2_error,word_bits,modulus,modulus_bits,n1_log,rows_per_block,threads_per_block,inverse,kernel_ntt_s,end_to_end_ntt_s,kernel_points_s,mod_multiply
fwht8_warp,fwht-fp32-fwd-log8,quick,butterfly,cuButterfly-warp-register,0,5,16384,1,0.000000,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,temporal-tile,radix2,four-mul,table,warp-register,scalar,0,named-barrier,32,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,1000,100,2.764736,0.043121,2.610784,379957243.694552,389.076218,97269054385.805267,0.000000,-1,,,,,,,,,,,,,,,,,
fft18_cub,fft-fp32-fwd-log18,quick,butterfly,cuButterfly-cuFFTDx-online,0,2,16,1,0.000512,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,128,256,256,8,8,4,4,9,1,0,0,18,262144,16,1,262144,1000,100,5.453824,0.207206,5.110048,77217.692770,182.179394,20242154853.569401,0.000000,-1,,,,,,,,,,,,,,,,,
fft8_cufft,fft-fp32-fwd-log8,quick,fft-library,cuFFT,1,4,16384,1,,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,,,,,,,,,,,,,,,,,,,,8,256,16384,1,256,1000,100,,0.083752960,,195622936.867212325,200.317887352,50079471838.006355286,,-1,,cufft,10900,2.004925000,0.000000000,0.000000000,,,,,,,,,,,
ntt20_60_compact,ntt-u60-bitrev-log20,quick,ntt,cuNTT-compact-stage,0,4,4,1,,Tesla V100-SXM2-16GB,7.0,ntt,uint64,forward,,,compact-stage,radix2,,fused,,,0,named-barrier,,,,,,,,,,,,20,1048576,4,1,1048576,1000,100,5.449600,0.342026,5.101024,,,,,-1,bit-reversed,,,,,,64,1152921504577486849,60,0,0,256,0,11695.008329,367.220077,12263105053.338837,shoup
fwht8_shared,fwht-fp32-fwd-log8,quick,butterfly,cuButterfly-shared-radix4,0,3,16384,1,0.000000,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,temporal-tile,radix4,four-mul,table,shared,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,1000,100,2.765568,0.049101,2.604992,333680908.457075,341.689250,85422312565.011246,0.000000,-1,,,,,,,,,,,,,,,,,
fft16_fp64_cub,fft-fp64-fwd-log16,full,butterfly,cuButterfly-scalar-online,0,3,64,1,0.000000,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,online-reorder,radix4,four-mul,table,shared,scalar,0,named-barrier,256,0,0,8,8,0,0,8,1,0,0,16,65536,64,1,65536,1000,100,10.920032,0.534180,10.121376,119809.831924,62.814857,7851857144.939702,0.000000,-1,,,,,,,,,,,,,,,,,
xor12_inverse,xor-u32-inverse-log12,full,butterfly,cuButterfly-online-radix4,0,3,1024,1,0.000000,Tesla V100-SXM2-16GB,7.0,xor-zeta,uint32,inverse,none,out-of-place,online-reorder,radix4,four-mul,table,shared,scalar,0,named-barrier,256,0,0,8,8,0,0,6,1,0,0,12,4096,1024,1,4096,1000,100,2.776320,0.354243,2.613312,2890674.656970,71.041220,11840203394.947237,0.000000,-1,,,,,,,,,,,,,,,,,
xor20_hier,xor-u32-fwd-log20,quick,butterfly,cuButterfly-hierarchical-radix4,0,5,4,1,0.000000,Tesla V100-SXM2-16GB,7.0,xor-zeta,uint32,forward,none,out-of-place,hierarchical,radix4,four-mul,table,shared,scalar,0,named-barrier,256,0,0,8,8,0,0,10,0,0,0,20,1048576,4,1,1048576,1000,100,2.766912,0.487066,2.600704,8212.446405,86.113742,8611374201.683891,0.000000,-1,,,,,,,,,,,,,,,,,
fwht20_online,fwht-fp32-fwd-log20,quick,butterfly,cuButterfly-online-radix4,0,5,4,1,0.000000,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,four-mul,table,shared,scalar,0,named-barrier,256,0,0,8,8,0,0,10,1,0,0,20,1048576,4,1,1048576,1000,100,2.764608,0.319703,2.597568,12511.610677,131.193747,13119374676.911036,0.000000,-1,,,,,,,,,,,,,,,,,
fft16_fp64_cub,fft-fp64-fwd-log16,full,butterfly,cuButterfly-scalar-online,0,5,64,1,0.000000,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,online-reorder,radix4,four-mul,table,shared,scalar,0,named-barrier,256,0,0,8,8,0,0,8,1,0,0,16,65536,64,1,65536,1000,100,10.922464,0.535613,10.121568,119489.164935,62.646735,7830841913.174810,0.000000,-1,,,,,,,,,,,,,,,,,
ntt12_30_r2,ntt-u30-natural-log12,quick,ntt,cuNTT-Hybrid2D-radix2,1,5,1024,1,,Tesla V100-SXM2-16GB,7.0,ntt,uint32,forward,,,hybrid2d,radix2,,fused,,,0,named-barrier,,,,,,,,,,,,12,4096,1024,1,4096,1000,100,2.813472,0.164321,2.626624,,,,,-1,natural,,,,,,32,1073692673,30,6,4,256,0,6231694.076626,182713.013991,25525018937.861320,shoup
fft8_vkfft,fft-fp32-fwd-log8,quick,fft-library,VkFFT,0,3,16384,1,,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,,,,,,,,,,,,,,,,,,,,8,256,16384,1,256,1000,100,,0.083578885,,196030373.916807681,200.735102891,50183775722.702766418,,-1,,vkfft,10304,202.477834000,0.000000000,0.000000000,,,,,,,,,,,
fwht20_online,fwht-fp32-fwd-log20,quick,butterfly,cuButterfly-online-radix4,0,1,4,1,0.000000,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,four-mul,table,shared,scalar,0,named-barrier,256,0,0,8,8,0,0,10,1,0,0,20,1048576,4,1,1048576,1000,100,2.777632,0.319652,2.616544,12513.614730,131.214761,13121476079.154661,0.000000,-1,,,,,,,,,,,,,,,,,
fft20_vkfft,fft-fp32-fwd-log20,quick,fft-library,VkFFT,0,3,4,1,,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,,,,,,,,,,,,,,,,,,,,20,1048576,4,1,1048576,1000,100,,0.206520334,,19368.552842865,203.093996658,20309399665.760250092,,-1,,vkfft,10304,791.704644000,0.000000000,0.000000000,,,,,,,,,,,
ntt16_60_r4,ntt-u60-natural-log16,quick,ntt,cuNTT-Hybrid2D-radix4,0,3,64,1,,Tesla V100-SXM2-16GB,7.0,ntt,uint64,forward,,,hybrid2d,radix4,,fused,,,0,named-barrier,,,,,,,,,,,,16,65536,64,1,65536,1000,100,5.454240,0.279511,5.136160,,,,,-1,natural,,,,,,64,1152921504606584833,60,8,4,256,0,228971.282358,5887.812818,15005861960.594248,shoup
ntt16_60_r2,ntt-u60-natural-log16,quick,ntt,cuNTT-Hybrid2D-radix2,0,2,64,1,,Tesla V100-SXM2-16GB,7.0,ntt,uint64,forward,,,hybrid2d,radix2,,fused,,,0,named-barrier,,,,,,,,,,,,16,65536,64,1,65536,1000,100,5.460224,0.303421,5.106624,,,,,-1,natural,,,,,,64,1152921504606584833,60,8,4,256,0,210927.746163,5887.618401,13823360772.515911,shoup
fft8_cub,fft-fp32-fwd-log8,quick,butterfly,cuButterfly-cuFFTDx,0,2,16384,1,0.000008,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,temporal-tile,auto,four-mul,table,shared,cufftdx-block,0,named-barrier,32,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,1000,100,5.464992,0.084234,5.106048,194505232.706111,199.173358,49793339572.764534,0.000000,-1,,,,,,,,,,,,,,,,,
ntt16_60_inverse,ntt-u60-inverse-log16,full,ntt,cuNTT-Hybrid2D-radix2,0,1,64,1,,Tesla V100-SXM2-16GB,7.0,ntt,uint64,inverse,,,hybrid2d,radix2,,fused,,,0,named-barrier,,,,,,,,,,,,16,65536,64,1,65536,1000,100,5.448960,0.307671,5.105024,,,,,-1,natural,,,,,,64,1152921504606584833,60,8,4,256,1,208014.377753,5892.288201,13632430260.440632,shoup
fft20_cufft,fft-fp32-fwd-log20,quick,fft-library,cuFFT,1,1,4,1,,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,,,,,,,,,,,,,,,,,,,,20,1048576,4,1,1048576,1000,100,,0.210984960,,18958.697322494,198.796350036,19879635003.631694794,,-1,,cufft,10900,1.915361000,0.000000000,0.000000000,,,,,,,,,,,
xor20_hier,xor-u32-fwd-log20,quick,butterfly,cuButterfly-hierarchical-radix4,0,2,4,1,0.000000,Tesla V100-SXM2-16GB,7.0,xor-zeta,uint32,forward,none,out-of-place,hierarchical,radix4,four-mul,table,shared,scalar,0,named-barrier,256,0,0,8,8,0,0,10,0,0,0,20,1048576,4,1,1048576,1000,100,2.762144,0.487014,2.614048,8213.309789,86.122795,8612279525.492992,0.000000,-1,,,,,,,,,,,,,,,,,
fft14_vkfft,fft-fp32-fwd-log14,quick,fft-library,VkFFT,0,5,256,1,,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,,,,,,,,,,,,,,,,,,,,14,16384,256,1,16384,1000,100,,0.171745285,,1490579.490528545,170.951580610,24421654372.819675446,,-1,,vkfft,10304,367.028933000,0.000000000,0.000000000,,,,,,,,,,,
fft14_cub,fft-fp32-fwd-log14,quick,butterfly,cuButterfly-cuFFTDx-direct,0,3,256,1,0.000095,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,temporal-tile,auto,four-mul,table,shared,cufftdx-direct,0,named-barrier,1024,0,0,8,8,0,0,0,0,0,0,14,16384,256,1,16384,1000,100,5.524000,0.121129,5.108672,2113449.970580,242.387350,34626764317.982903,0.000000,-1,,,,,,,,,,,,,,,,,
ntt20_60_compact,ntt-u60-bitrev-log20,quick,ntt,cuNTT-compact-stage,0,2,4,1,,Tesla V100-SXM2-16GB,7.0,ntt,uint64,forward,,,compact-stage,radix2,,fused,,,0,named-barrier,,,,,,,,,,,,20,1048576,4,1,1048576,1000,100,5.452928,0.341924,5.108064,,,,,-1,bit-reversed,,,,,,64,1152921504577486849,60,0,0,256,0,11698.511818,366.874327,12266778728.197012,shoup
fft8_cufft,fft-fp32-fwd-log8,quick,fft-library,cuFFT,1,1,16384,1,,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,,,,,,,,,,,,,,,,,,,,8,256,16384,1,256,1000,100,,0.083824642,,195455651.328582168,200.146586960,50036646740.117034912,,-1,,cufft,10900,9.112647000,0.000000000,0.000000000,,,,,,,,,,,
ntt16_60_inverse,ntt-u60-inverse-log16,full,ntt,cuNTT-Hybrid2D-radix2,0,2,64,1,,Tesla V100-SXM2-16GB,7.0,ntt,uint64,inverse,,,hybrid2d,radix2,,fused,,,0,named-barrier,,,,,,,,,,,,16,65536,64,1,65536,1000,100,5.470816,0.306883,5.105536,,,,,-1,natural,,,,,,64,1152921504606584833,60,8,4,256,1,208548.833623,5880.604607,13667456360.309868,shoup
fwht12_fp64,fwht-fp64-fwd-log12,full,butterfly,cuButterfly-online-radix4,0,4,1024,1,0.000000,Tesla V100-SXM2-16GB,7.0,fwht,fp64,forward,none,out-of-place,online-reorder,radix4,four-mul,table,shared,scalar,0,named-barrier,256,0,0,8,8,0,0,6,1,0,0,12,4096,1024,1,4096,1000,100,5.468224,0.373197,5.111200,2743860.753916,67.433122,11238853648.039202,0.000000,-1,,,,,,,,,,,,,,,,,
