case_id,group,implementation,reference,trials,median_kernel_ms,min_kernel_ms,max_kernel_ms,relative_range,central_relative_range,stability_class,correct,operator,precision,direction,normalization,placement,logN,N,performance_batch,element_stride,batch_stride,word_bits,modulus_bits,inverse,output_order,backend,compute_unit,fft_core,local_exchange,cross_twiddle,million_transforms_s,billion_points_s,comparison_basis,basis_implementation,basis_kernel_ms,throughput_vs_basis,performance_class
fft14_cub,fft-fp32-fwd-log14,cuButterfly-cuFFTDx-direct,0,5,0.121129000,0.120934000,0.121252000,0.002625,0.000083,stable,1,fft,fp32,forward,none,in-place,14,16384,256,1,16384,,,,,temporal-tile,auto,cufftdx-direct,shared,table,2.113449,34.626753,declared-reference,cuFFT,0.121610239,1.003973,parity
fft14_cufft,fft-fp32-fwd-log14,cuFFT,1,5,0.121610239,0.120698884,0.125224963,0.037218,0.002863,stable-with-outlier,1,fft,fp32,forward,none,in-place,14,16384,256,1,16384,,,,,,,,,,2.105086,34.489727,declared-reference,cuFFT,0.121610239,1.000000,parity
fft14_vkfft,fft-fp32-fwd-log14,VkFFT,0,5,0.171765760,0.171509758,0.172052473,0.003160,0.001550,stable,1,fft,fp32,forward,none,in-place,14,16384,256,1,16384,,,,,,,,,,1.490402,24.418743,declared-reference,cuFFT,0.121610239,0.708000,slower
fft18_vkfft,fft-fp32-fwd-log18,VkFFT,0,5,0.201082885,0.201011196,0.201205775,0.000968,0.000357,stable,1,fft,fp32,forward,none,in-place,18,262144,16,1,262144,,,,,,,,,,0.079569,20.858583,declared-reference,cuFFT,0.211343363,1.051026,faster
fft18_cub,fft-fp32-fwd-log18,cuButterfly-cuFFTDx-online,0,5,0.205087000,0.204933000,0.207206000,0.011083,0.002345,stable,1,fft,fp32,forward,none,in-place,18,262144,16,1,262144,,,,,online-reorder,auto,cufftdx-block,shared,recurrence,0.078016,20.451340,declared-reference,cuFFT,0.211343363,1.030506,faster
fft18_cufft,fft-fp32-fwd-log18,cuFFT,1,5,0.211343363,0.211046398,0.211384311,0.001599,0.000291,stable,1,fft,fp32,forward,none,in-place,18,262144,16,1,262144,,,,,,,,,,0.075706,19.845922,declared-reference,cuFFT,0.211343363,1.000000,parity
fft20_vkfft,fft-fp32-fwd-log20,VkFFT,0,5,0.206274569,0.205854714,0.206807047,0.004617,0.002383,stable,1,fft,fp32,forward,none,in-place,20,1048576,4,1,1048576,,,,,,,,,,0.019392,20.333597,declared-reference,cuFFT,0.210063368,1.018368,parity
fft20_cufft,fft-fp32-fwd-log20,cuFFT,1,5,0.210063368,0.209879041,0.210984960,0.005265,0.002876,stable,1,fft,fp32,forward,none,in-place,20,1048576,4,1,1048576,,,,,,,,,,0.019042,19.966851,declared-reference,cuFFT,0.210063368,1.000000,parity
fft20_cub,fft-fp32-fwd-log20,cuButterfly-cuFFTDx-online,0,5,0.235438000,0.235397000,0.235479000,0.000348,0.000221,stable,1,fft,fp32,forward,none,in-place,20,1048576,4,1,1048576,,,,,online-reorder,auto,cufftdx-block,shared,recurrence,0.016990,17.814898,declared-reference,cuFFT,0.210063368,0.892224,slower
fft8_vkfft,fft-fp32-fwd-log8,VkFFT,0,5,0.083548166,0.083517440,0.083578885,0.000735,0.000490,stable,1,fft,fp32,forward,none,in-place,8,256,16384,1,256,,,,,,,,,,196.102449,50.202227,declared-reference,cuFFT,0.083824642,1.003309,parity
fft8_cufft,fft-fp32-fwd-log8,cuFFT,1,5,0.083824642,0.083742723,0.083834879,0.001099,0.000855,stable,1,fft,fp32,forward,none,in-place,8,256,16384,1,256,,,,,,,,,,195.455651,50.036647,declared-reference,cuFFT,0.083824642,1.000000,parity
fft8_cub,fft-fp32-fwd-log8,cuButterfly-cuFFTDx,0,5,0.084234000,0.084183000,0.084306000,0.001460,0.001092,stable,1,fft,fp32,forward,none,in-place,8,256,16384,1,256,,,,,temporal-tile,auto,cufftdx-block,shared,table,194.505782,49.793480,declared-reference,cuFFT,0.083824642,0.995140,parity
fft12_inverse_cub,fft-fp32-inverse-log12,cuButterfly-cuFFTDx-direct,0,5,0.088064000,0.087818000,0.088125000,0.003486,0.000920,stable,1,fft,fp32,inverse,inverse,out-of-place,12,4096,1024,1,4096,,,,,temporal-tile,auto,cufftdx-direct,shared,table,11.627907,47.627907,declared-reference,cuFFT,0.172892000,1.963254,faster
fft12_inverse_cufft,fft-fp32-inverse-log12,cuFFT,1,5,0.172892000,0.172861000,0.172933000,0.000416,0.000237,stable,1,fft,fp32,inverse,inverse,out-of-place,12,4096,1024,1,4096,,,,,cufft,auto,scalar,shared,table,5.922773,24.259677,declared-reference,cuFFT,0.172892000,1.000000,parity
fft8_stride_cufft,fft-fp32-stride2-log8,cuFFT,1,5,0.171428000,0.171039000,0.171643000,0.003523,0.001079,stable,1,fft,fp32,forward,none,in-place,8,256,16384,2,518,,,,,cufft,auto,scalar,shared,table,95.573652,24.466855,declared-reference,cuFFT,0.171428000,1.000000,parity
fft8_stride_cub,fft-fp32-stride2-log8,cuButterfly-scalar,0,5,0.172636000,0.172564000,0.172892000,0.001900,0.000475,stable,1,fft,fp32,forward,none,in-place,8,256,16384,2,518,,,,,temporal-tile,radix4,scalar,shared,table,94.904887,24.295651,declared-reference,cuFFT,0.171428000,0.993003,parity
fft16_fp64_cufft,fft-fp64-fwd-log16,cuFFT,1,5,0.342804000,0.342712000,0.342989000,0.000808,0.000449,stable,1,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,,,,,cufft,auto,scalar,shared,table,0.186696,12.235283,declared-reference,cuFFT,0.342804000,1.000000,parity
fft16_fp64_cub,fft-fp64-fwd-log16,cuButterfly-scalar-online,0,5,0.534313000,0.533668000,0.535828000,0.004043,0.002682,stable,1,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,,,,,online-reorder,radix4,scalar,shared,table,0.119780,7.849901,declared-reference,cuFFT,0.342804000,0.641579,slower
fft3_mixed,fft-mixed-fwd-log3,cuButterfly-WMMA,0,5,0.087020000,0.086948000,0.087593000,0.007412,0.003884,stable,1,fft,fp16-fp32,forward,none,out-of-place,3,8,524288,1,8,,,,,temporal-tile,radix8,wmma-dft8,shared,table,6024.913813,48.199311,group-fastest,cuButterfly-WMMA,0.087020000,1.000000,parity
fwht15_warp,fwht-fp32-fwd-log15,cuButterfly-warp-register,0,5,0.064707000,0.064666000,0.064829000,0.002519,0.000804,stable,1,fwht,fp32,forward,none,out-of-place,15,32768,128,1,32768,,,,,temporal-tile,radix2,scalar,warp-register,table,1.978148,64.819942,group-fastest,cuButterfly-warp-register,0.064707000,1.000000,parity
fwht15_online,fwht-fp32-fwd-log15,cuButterfly-online-radix4,0,5,0.316396000,0.316006000,0.318188000,0.006896,0.001650,stable,1,fwht,fp32,forward,none,out-of-place,15,32768,128,1,32768,,,,,online-reorder,radix4,scalar,shared,table,0.404556,13.256501,group-fastest,cuButterfly-warp-register,0.064707000,0.204513,slower
fwht20_online,fwht-fp32-fwd-log20,cuButterfly-online-radix4,0,5,0.319560000,0.319160000,0.319703000,0.001699,0.000451,stable,1,fwht,fp32,forward,none,out-of-place,20,1048576,4,1,1048576,,,,,online-reorder,radix4,scalar,shared,table,0.012517,13.125247,group-fastest,cuButterfly-online-radix4,0.319560000,1.000000,parity
fwht20_hier,fwht-fp32-fwd-log20,cuButterfly-hierarchical-radix4,0,5,0.488079000,0.488008000,0.488202000,0.000397,0.000148,stable,1,fwht,fp32,forward,none,out-of-place,20,1048576,4,1,1048576,,,,,hierarchical,radix4,scalar,shared,table,0.008195,8.593494,group-fastest,cuButterfly-online-radix4,0.319560000,0.654730,slower
fwht8_warp,fwht-fp32-fwd-log8,cuButterfly-warp-register,0,5,0.042742000,0.042732000,0.043121000,0.009101,0.001895,stable,1,fwht,fp32,forward,none,out-of-place,8,256,16384,1,256,,,,,temporal-tile,radix2,scalar,warp-register,table,383.323195,98.130738,group-fastest,cuButterfly-warp-register,0.042742000,1.000000,parity
fwht8_shared,fwht-fp32-fwd-log8,cuButterfly-shared-radix4,0,5,0.048466000,0.048394000,0.049101000,0.014588,0.001486,stable,1,fwht,fp32,forward,none,out-of-place,8,256,16384,1,256,,,,,temporal-tile,radix4,scalar,shared,table,338.051417,86.541163,group-fastest,cuButterfly-warp-register,0.042742000,0.881897,slower
fwht12_fp64,fwht-fp64-fwd-log12,cuButterfly-online-radix4,0,5,0.373197000,0.372603000,0.374241000,0.004389,0.003786,stable,1,fwht,fp64,forward,none,out-of-place,12,4096,1024,1,4096,,,,,online-reorder,radix4,scalar,shared,table,2.743859,11.238847,group-fastest,cuButterfly-online-radix4,0.373197000,1.000000,parity
ntt12_30_hybrid,ntt-u30-natural-log12,cuNTT-Hybrid2D-radix4,0,5,0.140012000,0.139776000,0.141087000,0.009363,0.008192,stable,1,ntt,uint32,forward,,,12,4096,1024,1,4096,32,30,0,natural,hybrid2d,radix4,,,fused,7.313659,29.956747,declared-reference,cuNTT-Hybrid2D-radix2,0.164291000,1.173407,faster
ntt12_30_r2,ntt-u30-natural-log12,cuNTT-Hybrid2D-radix2,1,5,0.164291000,0.163359000,0.164823000,0.008911,0.000560,stable,1,ntt,uint32,forward,,,12,4096,1024,1,4096,32,30,0,natural,hybrid2d,radix2,,,fused,6.232843,25.529725,declared-reference,cuNTT-Hybrid2D-radix2,0.164291000,1.000000,parity
