suite_case_id,suite_group,suite_tier,suite_runner,implementation,reference,trial,performance_batch,preflight_correct,preflight_max_error,device,compute_capability,backend,stage_space,stage_handoff,compute_unit,word_bits,logN,N,batch,modulus,modulus_bits,n1_log,rows_per_block,threads_per_block,inverse,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,kernel_ntt_s,end_to_end_ntt_s,kernel_points_s,cross_twiddle,mod_multiply,output_order,correct,operator,precision,direction,normalization,placement,element_stride,batch_stride,library,library_version,plan_ms,transforms_s,Gbutterfly_s,points_s,max_abs_error,relative_l2_error,complex_multiply,local_exchange,fft_core,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,max_error
ntt20_60_compact,ntt-u60-bitrev-log20,quick,ntt,cuNTT-compact-stage,0,1,4,1,,Tesla V100-SXM2-16GB,7.0,compact-stage,0,named-barrier,radix2,64,20,1048576,4,1152921504577486849,60,0,0,256,0,5,20,5.453824,0.349901,5.101376,11431.812115,366.800825,11987123820.436937,fused,shoup,bit-reversed,-1,ntt,uint64,forward,,,1,1048576,,,,,,,,,,,,,,,,,,,,,,,
fft18_cufft,fft-fp32-fwd-log18,quick,fft-library,cuFFT,1,2,16,1,,Tesla V100-SXM2-16GB,7.0,,,,,,18,262144,16,,,,,,,5,20,,0.226508811,,,,,,,,-1,fft,fp32,forward,none,in-place,1,262144,cufft,10900,2.238352000,70637.428721440,166.654603033,18517178114.753162384,0.000000000,0.000000000,,,,,,,,,,,,,,,
fft8_cub,fft-fp32-fwd-log8,quick,butterfly,cuButterfly-cuFFTDx,0,3,16384,1,0.000008,Tesla V100-SXM2-16GB,7.0,temporal-tile,0,named-barrier,auto,,8,256,16384,,,,,,,5,20,5.464992,0.085094,5.101824,,,,table,,,-1,fft,fp32,forward,none,in-place,1,256,,,,192539110.071755,197.160049,49290012178.369362,,,four-mul,shared,cufftdx-block,32,0,0,8,8,0,0,0,0,0,0,0.000000
fft14_vkfft,fft-fp32-fwd-log14,quick,fft-library,VkFFT,0,2,256,1,,Tesla V100-SXM2-16GB,7.0,,,,,,14,16384,256,,,,,,,5,20,,0.173823997,,,,,,,,-1,fft,fp32,forward,none,in-place,1,16384,vkfft,10304,391.385014000,1472754.072286029,168.907219042,24129602720.334304810,0.000000000,0.000000000,,,,,,,,,,,,,,,
xor20_online,xor-u32-fwd-log20,quick,butterfly,cuButterfly-online-radix4,0,2,4,1,0.000000,Tesla V100-SXM2-16GB,7.0,online-reorder,0,named-barrier,radix4,,20,1048576,4,,,,,,,5,20,2.779104,0.372736,2.614688,,,,table,,,-1,xor-zeta,uint32,forward,none,out-of-place,1,1048576,,,,10731.455843,112.527470,11252747042.169611,,,four-mul,shared,scalar,256,0,0,8,8,0,0,10,1,0,0,0.000000
fwht15_online,fwht-fp32-fwd-log15,quick,butterfly,cuButterfly-online-radix4,0,2,128,1,0.000000,Tesla V100-SXM2-16GB,7.0,online-reorder,0,named-barrier,radix4,,15,32768,128,,,,,,,5,20,2.782432,0.369869,2.606176,,,,table,,,-1,fwht,fp32,forward,none,out-of-place,1,32768,,,,346068.646039,85.049830,11339977393.393368,,,four-mul,shared,scalar,256,0,0,8,8,0,0,8,1,0,0,0.000000
fwht15_warp,fwht-fp32-fwd-log15,quick,butterfly,cuButterfly-warp-register,0,3,128,1,0.000000,Tesla V100-SXM2-16GB,7.0,temporal-tile,0,named-barrier,radix2,,15,32768,128,,,,,,,5,20,2.769632,0.069376,2.621728,,,,table,,,-1,fwht,fp32,forward,none,out-of-place,1,32768,,,,1845018.469549,453.431739,60457565210.173370,,,four-mul,warp-register,scalar,256,0,0,8,8,0,0,0,0,0,0,0.000000
xor20_online,xor-u32-fwd-log20,quick,butterfly,cuButterfly-online-radix4,0,3,4,1,0.000000,Tesla V100-SXM2-16GB,7.0,online-reorder,0,named-barrier,radix4,,20,1048576,4,,,,,,,5,20,2.776128,0.372429,2.596992,,,,table,,,-1,xor-zeta,uint32,forward,none,out-of-place,1,1048576,,,,10740.307812,112.620290,11262029004.709667,,,four-mul,shared,scalar,256,0,0,8,8,0,0,10,1,0,0,0.000000
fwht20_online,fwht-fp32-fwd-log20,quick,butterfly,cuButterfly-online-radix4,0,1,4,1,0.000000,Tesla V100-SXM2-16GB,7.0,online-reorder,0,named-barrier,radix4,,20,1048576,4,,,,,,,5,20,2.775712,0.374118,2.606400,,,,table,,,-1,fwht,fp32,forward,none,out-of-place,1,1048576,,,,10691.802733,112.111677,11211167742.370192,,,four-mul,shared,scalar,256,0,0,8,8,0,0,10,1,0,0,0.000000
xor20_hier,xor-u32-fwd-log20,quick,butterfly,cuButterfly-hierarchical-radix4,0,1,4,1,0.000000,Tesla V100-SXM2-16GB,7.0,hierarchical,0,named-barrier,radix4,,20,1048576,4,,,,,,,5,20,2.782464,0.493875,2.605600,,,,table,,,-1,xor-zeta,uint32,forward,none,out-of-place,1,1048576,,,,8099.212018,84.926393,8492639341.168939,,,four-mul,shared,scalar,256,0,0,8,8,0,0,10,0,0,0,0.000000
ntt16_60_r4,ntt-u60-natural-log16,quick,ntt,cuNTT-Hybrid2D-radix4,0,1,64,1,,Tesla V100-SXM2-16GB,7.0,hybrid2d,0,named-barrier,radix4,64,16,65536,64,1152921504606584833,60,8,4,256,0,5,20,5.451968,0.305510,5.098912,209485.502420,5895.145430,13728841886.584517,fused,shoup,natural,-1,ntt,uint64,forward,,,1,65536,,,,,,,,,,,,,,,,,,,,,,,
fft8_vkfft,fft-fp32-fwd-log8,quick,fft-library,VkFFT,0,1,16384,1,,Tesla V100-SXM2-16GB,7.0,,,,,,8,256,16384,,,,,,,5,20,,0.084121600,,,,,,,,-1,fft,fp32,forward,none,in-place,1,256,vkfft,10304,203.162694000,194765673.028472334,199.440049181,49860012295.288917542,0.000000000,0.000000000,,,,,,,,,,,,,,,
fwht20_hier,fwht-fp32-fwd-log20,quick,butterfly,cuButterfly-hierarchical-radix4,0,2,4,1,0.000000,Tesla V100-SXM2-16GB,7.0,hierarchical,0,named-barrier,radix4,,20,1048576,4,,,,,,,5,20,2.763456,0.495206,2.612736,,,,table,,,-1,fwht,fp32,forward,none,out-of-place,1,1048576,,,,8077.439778,84.698095,8469809492.405863,,,four-mul,shared,scalar,256,0,0,8,8,0,0,10,0,0,0,0.000000
