case_id,group,implementation,reference,trials,median_kernel_ms,min_kernel_ms,max_kernel_ms,relative_range,central_relative_range,stability_class,correct,operator,precision,direction,normalization,placement,logN,N,performance_batch,element_stride,batch_stride,word_bits,modulus_bits,inverse,output_order,backend,compute_unit,fft_core,local_exchange,cross_twiddle,million_transforms_s,billion_points_s,comparison_basis,basis_implementation,basis_kernel_ms,throughput_vs_basis,performance_class
fft14_cub,fft-fp32-fwd-log14,cuButterfly-cuFFTDx-direct,0,3,0.133683000,0.132608000,0.134195000,0.011871,0.011871,stable,1,fft,fp32,forward,none,in-place,14,16384,256,1,16384,,,,,temporal-tile,auto,cufftdx-direct,shared,table,1.914978,31.374999,declared-reference,cuFFT,0.135731190,1.015321,parity
fft14_cufft,fft-fp32-fwd-log14,cuFFT,1,3,0.135731190,0.133990392,0.135731190,0.012825,0.012825,stable,1,fft,fp32,forward,none,in-place,14,16384,256,1,16384,,,,,,,,,,1.886081,30.901549,declared-reference,cuFFT,0.135731190,1.000000,parity
fft14_vkfft,fft-fp32-fwd-log14,VkFFT,0,3,0.173721597,0.173670396,0.173823997,0.000884,0.000884,stable,1,fft,fp32,forward,none,in-place,14,16384,256,1,16384,,,,,,,,,,1.473622,24.143826,declared-reference,cuFFT,0.135731190,0.781314,slower
fft18_cub,fft-fp32-fwd-log18,cuButterfly-cuFFTDx-online,0,3,0.212122000,0.212019000,0.212787000,0.003621,0.003621,stable,1,fft,fp32,forward,none,in-place,18,262144,16,1,262144,,,,,online-reorder,auto,cufftdx-block,shared,recurrence,0.075428,19.773074,declared-reference,cuFFT,0.226254389,1.066624,faster
fft18_vkfft,fft-fp32-fwd-log18,VkFFT,0,3,0.213299200,0.212428808,0.213350385,0.004321,0.004321,stable,1,fft,fp32,forward,none,in-place,18,262144,16,1,262144,,,,,,,,,,0.075012,19.663946,declared-reference,cuFFT,0.226254389,1.060737,faster
fft18_cufft,fft-fp32-fwd-log18,cuFFT,1,3,0.226254389,0.226150393,0.226508811,0.001584,0.001584,stable,1,fft,fp32,forward,none,in-place,18,262144,16,1,262144,,,,,,,,,,0.070717,18.538001,declared-reference,cuFFT,0.226254389,1.000000,parity
fft20_vkfft,fft-fp32-fwd-log20,VkFFT,0,3,0.217856005,0.216115192,0.218060806,0.008931,0.008931,stable,1,fft,fp32,forward,none,in-place,20,1048576,4,1,1048576,,,,,,,,,,0.018361,19.252644,declared-reference,cuFFT,0.224512011,1.030552,faster
fft20_cufft,fft-fp32-fwd-log20,cuFFT,1,3,0.224512011,0.223948792,0.224972799,0.004561,0.004561,stable,1,fft,fp32,forward,none,in-place,20,1048576,4,1,1048576,,,,,,,,,,0.017816,18.681869,declared-reference,cuFFT,0.224512011,1.000000,parity
fft20_cub,fft-fp32-fwd-log20,cuButterfly-cuFFTDx-online,0,3,0.247245000,0.246886000,0.247450000,0.002281,0.002281,stable,1,fft,fp32,forward,none,in-place,20,1048576,4,1,1048576,,,,,online-reorder,auto,cufftdx-block,shared,recurrence,0.016178,16.964161,declared-reference,cuFFT,0.224512011,0.908055,slower
fft8_cufft,fft-fp32-fwd-log8,cuFFT,1,3,0.084224001,0.084172800,0.084224001,0.000608,0.000608,stable,1,fft,fp32,forward,none,in-place,8,256,16384,1,256,,,,,,,,,,194.528873,49.799392,declared-reference,cuFFT,0.084224001,1.000000,parity
fft8_vkfft,fft-fp32-fwd-log8,VkFFT,0,3,0.084275201,0.084121600,0.084377602,0.003038,0.003038,stable,1,fft,fp32,forward,none,in-place,8,256,16384,1,256,,,,,,,,,,194.410690,49.769137,declared-reference,cuFFT,0.084224001,0.999392,parity
fft8_cub,fft-fp32-fwd-log8,cuButterfly-cuFFTDx,0,3,0.084838000,0.084787000,0.085094000,0.003619,0.003619,stable,1,fft,fp32,forward,none,in-place,8,256,16384,1,256,,,,,temporal-tile,auto,cufftdx-block,shared,table,193.121007,49.438978,declared-reference,cuFFT,0.084224001,0.992763,parity
fwht15_warp,fwht-fp32-fwd-log15,cuButterfly-warp-register,0,3,0.069478000,0.069376000,0.069530000,0.002217,0.002217,stable,1,fwht,fp32,forward,none,out-of-place,15,32768,128,1,32768,,,,,temporal-tile,radix2,scalar,warp-register,table,1.842310,60.368807,group-fastest,cuButterfly-warp-register,0.069478000,1.000000,parity
fwht15_online,fwht-fp32-fwd-log15,cuButterfly-online-radix4,0,3,0.369920000,0.369869000,0.370022000,0.000414,0.000414,stable,1,fwht,fp32,forward,none,out-of-place,15,32768,128,1,32768,,,,,online-reorder,radix4,scalar,shared,table,0.346021,11.338408,group-fastest,cuButterfly-warp-register,0.069478000,0.187819,slower
fwht20_online,fwht-fp32-fwd-log20,cuButterfly-online-radix4,0,3,0.372890000,0.372838000,0.374118000,0.003433,0.003433,stable,1,fwht,fp32,forward,none,out-of-place,20,1048576,4,1,1048576,,,,,online-reorder,radix4,scalar,shared,table,0.010727,11.248100,group-fastest,cuButterfly-online-radix4,0.372890000,1.000000,parity
fwht20_hier,fwht-fp32-fwd-log20,cuButterfly-hierarchical-radix4,0,3,0.495002000,0.495002000,0.495206000,0.000412,0.000412,stable,1,fwht,fp32,forward,none,out-of-place,20,1048576,4,1,1048576,,,,,hierarchical,radix4,scalar,shared,table,0.008081,8.473307,group-fastest,cuButterfly-online-radix4,0.372890000,0.753310,slower
fwht8_warp,fwht-fp32-fwd-log8,cuButterfly-warp-register,0,3,0.043264000,0.043110000,0.043315000,0.004738,0.004738,stable,1,fwht,fp32,forward,none,out-of-place,8,256,16384,1,256,,,,,temporal-tile,radix2,scalar,warp-register,table,378.698225,96.946746,group-fastest,cuButterfly-warp-register,0.043264000,1.000000,parity
fwht8_shared,fwht-fp32-fwd-log8,cuButterfly-shared-radix4,0,3,0.051456000,0.051405000,0.051558000,0.002973,0.002973,stable,1,fwht,fp32,forward,none,out-of-place,8,256,16384,1,256,,,,,temporal-tile,radix4,scalar,shared,table,318.407960,81.512438,group-fastest,cuButterfly-warp-register,0.043264000,0.840796,slower
ntt12_30_hybrid,ntt-u30-natural-log12,cuNTT-Hybrid2D-radix4,0,3,0.157901000,0.157747000,0.157901000,0.000975,0.000975,stable,1,ntt,uint32,forward,,,12,4096,1024,1,4096,32,30,0,natural,hybrid2d,radix4,,,fused,6.485076,26.562872,declared-reference,cuNTT-Hybrid2D-radix2,0.184627000,1.169258,faster
ntt12_30_r2,ntt-u30-natural-log12,cuNTT-Hybrid2D-radix2,1,3,0.184627000,0.184422000,0.184781000,0.001944,0.001944,stable,1,ntt,uint32,forward,,,12,4096,1024,1,4096,32,30,0,natural,hybrid2d,radix2,,,fused,5.546318,22.717717,declared-reference,cuNTT-Hybrid2D-radix2,0.184627000,1.000000,parity
ntt20_60_compact,ntt-u60-bitrev-log20,cuNTT-compact-stage,0,3,0.349901000,0.349850000,0.350208000,0.001023,0.001023,stable,1,ntt,uint64,forward,,,20,1048576,4,1,1048576,64,60,0,bit-reversed,compact-stage,radix2,,,fused,0.011432,11.987116,group-fastest,cuNTT-compact-stage,0.349901000,1.000000,parity
ntt16_60_r4,ntt-u60-natural-log16,cuNTT-Hybrid2D-radix4,0,3,0.306074000,0.305510000,0.306227000,0.002343,0.002343,stable,1,ntt,uint64,forward,,,16,65536,64,1,65536,64,60,0,natural,hybrid2d,radix4,,,fused,0.209100,13.703562,group-fastest,cuNTT-Hybrid2D-radix4,0.306074000,1.000000,parity
ntt16_60_r2,ntt-u60-natural-log16,cuNTT-Hybrid2D-radix2,0,3,0.332288000,0.332032000,0.332339000,0.000924,0.000924,stable,1,ntt,uint64,forward,,,16,65536,64,1,65536,64,60,0,natural,hybrid2d,radix2,,,fused,0.192604,12.622496,group-fastest,cuNTT-Hybrid2D-radix4,0.306074000,0.921111,slower
xor20_online,xor-u32-fwd-log20,cuButterfly-online-radix4,0,3,0.372480000,0.372429000,0.372736000,0.000824,0.000824,stable,1,xor-zeta,uint32,forward,none,out-of-place,20,1048576,4,1,1048576,,,,,online-reorder,radix4,scalar,shared,table,0.010739,11.260481,group-fastest,cuButterfly-online-radix4,0.372480000,1.000000,parity
xor20_hier,xor-u32-fwd-log20,cuButterfly-hierarchical-radix4,0,3,0.493875000,0.493773000,0.494029000,0.000518,0.000518,stable,1,xor-zeta,uint32,forward,none,out-of-place,20,1048576,4,1,1048576,,,,,hierarchical,radix4,scalar,shared,table,0.008099,8.492643,group-fastest,cuButterfly-online-radix4,0.372480000,0.754199,slower
xor8_r4,xor-u32-fwd-log8,cuButterfly-radix4,0,3,0.050227000,0.050227000,0.050278000,0.001015,0.001015,stable,1,xor-zeta,uint32,forward,none,out-of-place,8,256,16384,1,256,,,,,temporal-tile,radix4,scalar,shared,table,326.199056,83.506958,group-fastest,cuButterfly-radix4,0.050227000,1.000000,parity
xor8_r2,xor-u32-fwd-log8,cuButterfly-radix2,0,3,0.052531000,0.052378000,0.052634000,0.004873,0.004873,stable,1,xor-zeta,uint32,forward,none,out-of-place,8,256,16384,1,256,,,,,temporal-tile,radix2,scalar,shared,table,311.892026,79.844359,group-fastest,cuButterfly-radix4,0.050227000,0.956140,slower
