suite_case_id,suite_group,suite_tier,suite_runner,implementation,reference,trial,performance_batch,preflight_correct,preflight_max_error,device,compute_capability,operator,precision,direction,normalization,placement,auto_select,backend,compute_unit,complex_multiply,cross_twiddle,direct_boundary,decomposition_count,stages_per_decomposition,segment_threads,segment_ept,boundary_twiddles,boundary_layouts,boundary_residencies,execution_group_count,group_threads,group_ept,local_exchange,fft_core,stage_space,stage_handoff,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct,output_order,library,library_version,plan_ms,max_abs_error,relative_l2_error
fft20_cub,fft-fp32-fwd-log20,quick,butterfly,cuButterfly-auto-vectorized,0,2,4,1,0.001242,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,1,online-reorder,auto,four-mul,recurrence,direct-strided,2,10x10,512x512,8x8,recurrence,direct-strided,global-scratch,2,512x512,8x8,shared,cufftdx-block,0,named-barrier,128,512,512,8,8,4,4,10,1,0,0,20,1048576,4,1,1048576,1000,100,5.465248,0.218593,5.098752,18298.825062,191.877088,19187708788.714798,0.000000,-1,,,,,,
fft20_cufft,fft-fp32-fwd-log20,quick,fft-library,cuFFT,1,3,4,1,,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,1048576,4,1,1048576,1000,100,,0.210216954,,19027.960957570,199.522631890,19952263189.044689178,,-1,,cufft,10900,1.956618000,0.000000000,0.000000000
fft18_cufft,fft-fp32-fwd-log18,quick,fft-library,cuFFT,1,1,16,1,,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,262144,16,1,262144,1000,100,,0.211097598,,75794.325211837,178.821248295,19869027588.331924438,,-1,,cufft,10900,2.179070000,0.000000000,0.000000000
fft18_cufft,fft-fp32-fwd-log18,quick,fft-library,cuFFT,1,5,16,1,,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,262144,16,1,262144,1000,100,,0.211507201,,75647.542540486,178.474944526,19830549391.733188629,,-1,,cufft,10900,1.796108000,0.000000000,0.000000000
fft20_vkfft,fft-fp32-fwd-log20,quick,fft-library,VkFFT,0,4,4,1,,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,1048576,4,1,1048576,1000,100,,0.206397444,,19380.084957886,203.214919648,20321491964.799903870,,-1,,vkfft,10304,1011.167215000,0.000000000,0.000000000
fft20_cub,fft-fp32-fwd-log20,quick,butterfly,cuButterfly-auto-vectorized,0,5,4,1,0.001242,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,1,online-reorder,auto,four-mul,recurrence,direct-strided,2,10x10,512x512,8x8,recurrence,direct-strided,global-scratch,2,512x512,8x8,shared,cufftdx-block,0,named-barrier,128,512,512,8,8,4,4,10,1,0,0,20,1048576,4,1,1048576,1000,100,5.523328,0.214999,5.113824,18604.733378,195.084769,19508476906.816875,0.000000,-1,,,,,,
fft20_cufft,fft-fp32-fwd-log20,quick,fft-library,cuFFT,1,2,4,1,,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,1048576,4,1,1048576,1000,100,,0.210329607,,19017.769559874,199.415767340,19941576734.014450073,,-1,,cufft,10900,2.362124000,0.000000000,0.000000000
fft20_cub,fft-fp32-fwd-log20,quick,butterfly,cuButterfly-auto-vectorized,0,3,4,1,0.001242,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,1,online-reorder,auto,four-mul,recurrence,direct-strided,2,10x10,512x512,8x8,recurrence,direct-strided,global-scratch,2,512x512,8x8,shared,cufftdx-block,0,named-barrier,128,512,512,8,8,4,4,10,1,0,0,20,1048576,4,1,1048576,1000,100,5.460288,0.214733,5.092544,18627.801972,195.326661,19532666080.980820,0.000000,-1,,,,,,
fft20_cub,fft-fp32-fwd-log20,quick,butterfly,cuButterfly-auto-vectorized,0,1,4,1,0.001242,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,1,online-reorder,auto,four-mul,recurrence,direct-strided,2,10x10,512x512,8x8,recurrence,direct-strided,global-scratch,2,512x512,8x8,shared,cufftdx-block,0,named-barrier,128,512,512,8,8,4,4,10,1,0,0,20,1048576,4,1,1048576,1000,100,5.459776,0.214170,5.091712,18676.787722,195.840314,19584031362.189842,0.000000,-1,,,,,,
fft18_cufft,fft-fp32-fwd-log18,quick,fft-library,cuFFT,1,4,16,1,,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,in-place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,262144,16,1,262144,1000,100,,0.211097598,,75794.325211837,178.821248295,19869027588.331924438,,-1,,cufft,10900,1.964931000,0.000000000,0.000000000
