trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,stage_space,stage_handoff,tile_threads,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,0,named-barrier,32,0,0,4,16,262144,1,16,10,50,2.796480,0.426967,2.597120,613967745.689934,19.646968,9823483931.038944,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,0,named-barrier,64,0,0,4,16,262144,1,16,10,50,2.797568,0.427028,2.609504,613879434.279932,19.644142,9822070948.478920,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,0,named-barrier,128,0,0,4,16,262144,1,16,10,50,2.808736,0.427090,2.605632,613791105.440884,19.641315,9820657687.054140,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,0,named-barrier,256,0,0,4,16,262144,1,16,10,50,2.800928,0.512512,2.597696,511488483.327547,16.367631,8183815733.240760,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix4,0,named-barrier,32,0,0,4,16,262144,1,16,10,50,2.829248,0.426721,2.606016,614321374.275180,19.658284,9829141988.402887,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix4,0,named-barrier,64,0,0,4,16,262144,1,16,10,50,2.790688,0.426721,2.599392,614321374.275180,19.658284,9829141988.402887,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix4,0,named-barrier,128,0,0,4,16,262144,1,16,10,50,2.897216,0.426803,2.716928,614203452.826483,19.654510,9827255245.223722,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix4,0,named-barrier,256,0,0,4,16,262144,1,16,10,50,2.821472,0.434196,2.683104,603745117.253255,19.319844,9659921876.052080,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,inverse,inverse,out-of-place,temporal-tile,radix2,0,named-barrier,32,0,0,4,16,262144,1,16,10,50,2.825888,0.427008,2.679840,613908825.746935,19.645082,9822541211.950966,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,inverse,inverse,out-of-place,temporal-tile,radix2,0,named-barrier,64,0,0,4,16,262144,1,16,10,50,2.804992,0.427008,2.693856,613908825.746935,19.645082,9822541211.950966,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,inverse,inverse,out-of-place,temporal-tile,radix2,0,named-barrier,128,0,0,4,16,262144,1,16,10,50,2.812768,0.427131,2.667712,613732262.216359,19.639432,9819716195.461750,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,inverse,inverse,out-of-place,temporal-tile,radix2,0,named-barrier,256,0,0,4,16,262144,1,16,10,50,2.808928,0.513556,2.669824,510448236.953183,16.334344,8167171791.250930,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,inverse,inverse,out-of-place,temporal-tile,radix4,0,named-barrier,32,0,0,4,16,262144,1,16,10,50,2.798176,0.426721,2.682592,614321374.275180,19.658284,9829141988.402887,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,inverse,inverse,out-of-place,temporal-tile,radix4,0,named-barrier,64,0,0,4,16,262144,1,16,10,50,2.840416,0.426803,2.813984,614203452.826483,19.654510,9827255245.223722,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,inverse,inverse,out-of-place,temporal-tile,radix4,0,named-barrier,128,0,0,4,16,262144,1,16,10,50,2.824896,0.426783,2.661728,614232918.221296,19.655453,9827726691.540743,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,inverse,inverse,out-of-place,temporal-tile,radix4,0,named-barrier,256,0,0,4,16,262144,1,16,10,50,2.775072,0.434708,2.677088,603034020.343888,19.297089,9648544325.502201,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,0,named-barrier,32,0,0,8,256,16384,1,256,10,50,2.866208,0.072561,2.709312,225797352.515740,231.216489,57804122244.029419,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,0,named-barrier,64,0,0,8,256,16384,1,256,10,50,2.813536,0.058757,2.684736,278842807.681778,285.535035,71383758766.535202,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,0,named-barrier,128,0,0,8,256,16384,1,256,10,50,2.858144,0.055869,2.678624,293255124.199300,300.293247,75073311795.020706,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,0,named-barrier,256,0,0,8,256,16384,1,256,10,50,2.778144,0.063427,3.092992,258314491.166595,264.514039,66128509738.648415,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix4,0,named-barrier,32,0,0,8,256,16384,1,256,10,50,2.884768,0.061932,2.684096,264550261.558162,270.899468,67724866958.889389,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix4,0,named-barrier,64,0,0,8,256,16384,1,256,10,50,2.948896,0.052470,2.602688,312256048.892617,319.750194,79937548516.510056,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix4,0,named-barrier,128,0,0,8,256,16384,1,256,10,50,2.769728,0.051220,2.595040,319872048.977289,327.548978,81887244538.186081,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix4,0,named-barrier,256,0,0,8,256,16384,1,256,10,50,2.805024,0.052060,2.613216,314712819.796615,322.265927,80566481867.933502,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,warp-hybrid,radix2,0,named-barrier,0,0,0,8,256,16384,1,256,10,50,2.764992,0.069345,2.596192,236266979.890121,241.937387,60484346851.871086,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,warp-hybrid,radix2,0,named-barrier,0,1,0,8,256,16384,1,256,10,50,2.782816,0.066580,2.597152,246078123.052755,251.983998,62995999501.505371,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,warp-hybrid,radix2,0,named-barrier,0,2,0,8,256,16384,1,256,10,50,2.768896,0.063570,2.592224,257731965.757055,263.917533,65979383233.806023,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,warp-hybrid,radix2,0,named-barrier,0,3,0,8,256,16384,1,256,10,50,2.796480,0.061092,2.596416,268186404.721446,274.622878,68655719608.690048,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,warp-hybrid,radix2,0,named-barrier,0,4,0,8,256,16384,1,256,10,50,2.769696,0.056443,2.595200,290275766.394764,297.242385,74310596197.059647,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,warp-hybrid,radix2,0,named-barrier,0,5,0,8,256,16384,1,256,10,50,2.765248,0.054600,2.613120,300075018.718943,307.276819,76819204792.049393,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,stage-pipeline,radix2,1,named-barrier,0,0,4,8,256,16384,1,256,10,50,2.799456,0.360817,2.595168,45408103.139028,46.497898,11624474403.591047,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,stage-pipeline,radix2,2,named-barrier,0,0,4,8,256,16384,1,256,10,50,2.825184,0.321126,2.608160,51020407.936956,52.244898,13061224431.860750,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,stage-pipeline,radix2,4,named-barrier,0,0,4,8,256,16384,1,256,10,50,2.819584,0.306729,2.596288,53415236.855861,54.697203,13674300635.100498,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,stage-pipeline,radix2,1,named-barrier,0,0,8,8,256,16384,1,256,10,50,2.781600,0.356536,2.596192,45953241.442423,47.056119,11764029809.260164,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,stage-pipeline,radix2,2,named-barrier,0,0,8,8,256,16384,1,256,10,50,2.785472,0.226263,2.610144,72411294.157317,74.149165,18537291304.273060,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,stage-pipeline,radix2,4,named-barrier,0,0,8,8,256,16384,1,256,10,50,2.767840,0.190095,2.604896,86188319.193947,88.256839,22064209713.650547,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,stage-pipeline,radix2,8,named-barrier,0,0,8,8,256,16384,1,256,10,50,2.834080,0.200622,2.600160,81665985.401737,83.625969,20906492262.844784,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,inverse,inverse,out-of-place,temporal-tile,radix2,0,named-barrier,32,0,0,8,256,16384,1,256,10,50,2.767520,0.072806,2.599840,225035152.345038,230.435996,57608999000.329720,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,inverse,inverse,out-of-place,temporal-tile,radix2,0,named-barrier,64,0,0,8,256,16384,1,256,10,50,2.799456,0.059023,2.601248,277585002.635010,284.247043,71061760674.562546,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,inverse,inverse,out-of-place,temporal-tile,radix2,0,named-barrier,128,0,0,8,256,16384,1,256,10,50,2.839552,0.056054,2.604128,292290841.537771,299.305822,74826455433.669418,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,inverse,inverse,out-of-place,temporal-tile,radix2,0,named-barrier,256,0,0,8,256,16384,1,256,10,50,2.770112,0.063836,2.597280,256657052.794930,262.816822,65704205515.501976,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,inverse,inverse,out-of-place,temporal-tile,radix4,0,named-barrier,32,0,0,8,256,16384,1,256,10,50,2.791872,0.062116,2.608672,263765246.321869,270.095612,67523903058.398491,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,inverse,inverse,out-of-place,temporal-tile,radix4,0,named-barrier,64,0,0,8,256,16384,1,256,10,50,2.803040,0.052572,2.600256,311647832.256726,319.127380,79781845057.721848,0.000000,-1
