rank,operator,precision,direction,normalization,placement,logN,N,batch,element_stride,batch_stride,backend,compute_unit,stage_space,tile_threads,warp_stages,pipeline_warps,stage_handoff,trials,median_kernel_ms,min_kernel_ms,max_kernel_ms,median_Gbutterfly_s,slowdown_vs_best
1,fft,fp32,forward,inverse,out-of-place,10,1024,4096,1,1024,cufft,auto,0,0,0,0,named-barrier,1,0.086036,0.086036,0.086036,243.751485,1.000000
2,fft,fp32,forward,inverse,out-of-place,10,1024,4096,1,1024,temporal-tile,radix4,0,256,0,0,named-barrier,1,0.111718,0.111718,0.111718,187.717701,1.298503
3,fft,fp32,forward,inverse,out-of-place,10,1024,4096,1,1024,temporal-tile,radix2,0,256,0,0,named-barrier,1,0.132731,0.132731,0.132731,158.000301,1.542738
4,fft,fp32,forward,inverse,out-of-place,10,1024,4096,1,1024,temporal-tile,radix4,0,128,0,0,named-barrier,1,0.152392,0.152392,0.152392,137.615905,1.771259
5,fft,fp32,forward,inverse,out-of-place,10,1024,4096,1,1024,temporal-tile,radix2,0,128,0,0,named-barrier,1,0.162611,0.162611,0.162611,128.967253,1.890034
6,fft,fp32,forward,inverse,out-of-place,10,1024,4096,1,1024,temporal-tile,radix4,0,64,0,0,named-barrier,1,0.217170,0.217170,0.217170,96.567337,2.524176
7,fft,fp32,forward,inverse,out-of-place,10,1024,4096,1,1024,temporal-tile,radix2,0,64,0,0,named-barrier,1,0.244163,0.244163,0.244163,85.891629,2.837917
8,fft,fp32,forward,inverse,out-of-place,10,1024,4096,1,1024,temporal-tile,radix4,0,32,0,0,named-barrier,1,0.370135,0.370135,0.370135,56.659105,4.302094
9,fft,fp32,forward,inverse,out-of-place,10,1024,4096,1,1024,temporal-tile,radix2,0,32,0,0,named-barrier,1,0.444027,0.444027,0.444027,47.230296,5.160944
1,fft,fp32,forward,inverse,out-of-place,4,16,262144,1,16,cufft,auto,0,0,0,0,named-barrier,1,0.084623,0.084623,0.084623,99.128752,1.000000
2,fft,fp32,forward,inverse,out-of-place,4,16,262144,1,16,temporal-tile,radix4,0,32,0,0,named-barrier,1,0.428831,0.428831,0.428831,19.561584,5.067547
3,fft,fp32,forward,inverse,out-of-place,4,16,262144,1,16,temporal-tile,radix4,0,64,0,0,named-barrier,1,0.429036,0.429036,0.429036,19.552245,5.069969
4,fft,fp32,forward,inverse,out-of-place,4,16,262144,1,16,temporal-tile,radix4,0,128,0,0,named-barrier,1,0.429117,0.429117,0.429117,19.548513,5.070926
5,fft,fp32,forward,inverse,out-of-place,4,16,262144,1,16,temporal-tile,radix2,0,64,0,0,named-barrier,1,0.429240,0.429240,0.429240,19.542917,5.072380
6,fft,fp32,forward,inverse,out-of-place,4,16,262144,1,16,temporal-tile,radix2,0,32,0,0,named-barrier,1,0.429302,0.429302,0.429302,19.540120,5.073113
7,fft,fp32,forward,inverse,out-of-place,4,16,262144,1,16,temporal-tile,radix2,0,128,0,0,named-barrier,1,0.429486,0.429486,0.429486,19.531734,5.075287
8,fft,fp32,forward,inverse,out-of-place,4,16,262144,1,16,temporal-tile,radix4,0,256,0,0,named-barrier,1,0.509174,0.509174,0.509174,16.474942,6.016969
9,fft,fp32,forward,inverse,out-of-place,4,16,262144,1,16,temporal-tile,radix2,0,256,0,0,named-barrier,1,0.581693,0.581693,0.581693,14.421011,6.873935
1,fft,fp32,forward,inverse,out-of-place,8,256,16384,1,256,cufft,auto,0,0,0,0,named-barrier,1,0.084132,0.084132,0.084132,199.415764,1.000000
2,fft,fp32,forward,inverse,out-of-place,8,256,16384,1,256,temporal-tile,radix4,0,128,0,0,named-barrier,1,0.110367,0.110367,0.110367,152.013365,1.311831
3,fft,fp32,forward,inverse,out-of-place,8,256,16384,1,256,temporal-tile,radix4,0,64,0,0,named-barrier,1,0.111964,0.111964,0.111964,149.844523,1.330813
4,fft,fp32,forward,inverse,out-of-place,8,256,16384,1,256,temporal-tile,radix4,0,256,0,0,named-barrier,1,0.112210,0.112210,0.112210,149.516330,1.333737
5,fft,fp32,forward,inverse,out-of-place,8,256,16384,1,256,warp-hybrid,radix2,0,0,5,0,named-barrier,1,0.117166,0.117166,0.117166,143.191750,1.392645
6,fft,fp32,forward,inverse,out-of-place,8,256,16384,1,256,warp-hybrid,radix2,0,0,4,0,named-barrier,1,0.118968,0.118968,0.118968,141.022548,1.414064
