trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,stage_space,stage_handoff,tile_threads,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,0,named-barrier,32,0,0,8,256,16384,1,256,20,100,2.797728,0.072632,2.671680,225574509.380836,230.988298,57747074401.493965,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,0,named-barrier,32,0,0,8,256,16384,1,256,20,100,2.792256,0.072571,2.701408,225765477.584620,231.183849,57795962261.662804,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,0,named-barrier,32,0,0,8,256,16384,1,256,20,100,2.829888,0.072540,2.662240,225861106.189238,231.281773,57820443184.444817,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,0,named-barrier,32,0,0,8,256,16384,1,256,20,100,2.810432,0.072581,2.670112,225733634.823505,231.151242,57787810514.817314,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,0,named-barrier,32,0,0,8,256,16384,1,256,20,100,2.817856,0.072591,2.705280,225701777.878134,231.118621,57779655136.802361,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,0,named-barrier,64,0,0,8,256,16384,1,256,20,100,2.787776,0.058665,2.688896,279280839.194105,285.983579,71495894833.690842,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,0,named-barrier,64,0,0,8,256,16384,1,256,20,100,2.806784,0.058839,2.666912,278454586.493867,285.137497,71284374142.429977,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,0,named-barrier,64,0,0,8,256,16384,1,256,20,100,2.815296,0.058767,2.688448,278794198.752425,285.485260,71371314880.620804,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,0,named-barrier,64,0,0,8,256,16384,1,256,20,100,2.794048,0.058819,2.644896,278551531.589962,285.236768,71309192087.030289,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,0,named-barrier,64,0,0,8,256,16384,1,256,20,100,2.795008,0.058829,2.856384,278503041.787426,285.187115,71296778697.581055,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,0,named-barrier,128,0,0,8,256,16384,1,256,20,100,2.790784,0.055839,2.664608,293416473.199577,300.458469,75114617139.091812,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,0,named-barrier,128,0,0,8,256,16384,1,256,20,100,2.791168,0.055880,2.676672,293201400.172146,300.238234,75059558444.069290,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,0,named-barrier,128,0,0,8,256,16384,1,256,20,100,2.814336,0.055798,2.666048,293631861.985137,300.679027,75169756668.195160,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,0,named-barrier,128,0,0,8,256,16384,1,256,20,100,2.766048,0.055788,2.679072,293685763.503058,300.734222,75183555456.782974,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,0,named-barrier,128,0,0,8,256,16384,1,256,20,100,2.782752,0.055788,2.666304,293685763.503058,300.734222,75183555456.782974,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,0,named-barrier,256,0,0,8,256,16384,1,256,20,100,2.788800,0.063457,2.665920,258189444.889406,264.385992,66096497891.687912,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,inverse,out-of-place,temporal-tile,radix2,0,named-barrier,256,0,0,8,256,16384,1,256,20,100,2.799296,0.063488,2.636576,258064519.619796,264.258068,66064517022.667778,0.000000,-1
