rank,operator,precision,direction,normalization,placement,logN,N,batch,element_stride,batch_stride,backend,compute_unit,stage_space,tile_threads,warp_stages,pipeline_warps,stage_handoff,trials,median_kernel_ms,min_kernel_ms,max_kernel_ms,median_Gbutterfly_s,slowdown_vs_best
1,fft,fp32,forward,inverse,out-of-place,8,256,16384,1,256,cufft,auto,0,0,0,0,named-barrier,5,0.083794,0.083743,0.083845,200.219978,1.000000
2,fft,fp32,forward,inverse,out-of-place,8,256,16384,1,256,temporal-tile,radix4,0,128,0,0,named-barrier,5,0.110346,0.110234,0.110510,152.041570,1.316872
3,fft,fp32,forward,inverse,out-of-place,8,256,16384,1,256,temporal-tile,radix4,0,64,0,0,named-barrier,5,0.111821,0.111718,0.111872,150.036627,1.334475
4,fft,fp32,forward,inverse,out-of-place,8,256,16384,1,256,temporal-tile,radix4,0,256,0,0,named-barrier,5,0.112241,0.112118,0.112343,149.475410,1.339487
5,fft,fp32,forward,inverse,out-of-place,8,256,16384,1,256,warp-hybrid,radix2,0,0,5,0,named-barrier,5,0.117176,0.117105,0.117371,143.179231,1.398382
6,fft,fp32,forward,inverse,out-of-place,8,256,16384,1,256,warp-hybrid,radix2,0,0,4,0,named-barrier,5,0.118979,0.118856,0.119020,141.010414,1.419899
7,fft,fp32,forward,inverse,out-of-place,8,256,16384,1,256,warp-hybrid,radix2,0,0,3,0,named-barrier,5,0.126515,0.126454,0.126546,132.610285,1.509834
8,fft,fp32,forward,inverse,out-of-place,8,256,16384,1,256,temporal-tile,radix2,0,128,0,0,named-barrier,5,0.130171,0.130150,0.130181,128.886090,1.553464
9,fft,fp32,forward,inverse,out-of-place,8,256,16384,1,256,temporal-tile,radix2,0,64,0,0,named-barrier,5,0.130294,0.130212,0.130355,128.764543,1.554932
10,fft,fp32,forward,inverse,out-of-place,8,256,16384,1,256,warp-hybrid,radix2,0,0,2,0,named-barrier,5,0.132311,0.132250,0.132321,126.801325,1.579003
11,fft,fp32,forward,inverse,out-of-place,8,256,16384,1,256,temporal-tile,radix2,0,256,0,0,named-barrier,5,0.132342,0.132260,0.132413,126.771900,1.579373
12,fft,fp32,forward,inverse,out-of-place,8,256,16384,1,256,warp-hybrid,radix2,0,0,1,0,named-barrier,5,0.138762,0.138721,0.138793,120.906210,1.655990
13,fft,fp32,forward,inverse,out-of-place,8,256,16384,1,256,temporal-tile,radix2,0,32,0,0,named-barrier,5,0.140288,0.140227,0.140390,119.591245,1.674201
14,fft,fp32,forward,inverse,out-of-place,8,256,16384,1,256,warp-hybrid,radix2,0,0,0,0,named-barrier,5,0.146391,0.146289,0.146504,114.605489,1.747034
15,fft,fp32,forward,inverse,out-of-place,8,256,16384,1,256,temporal-tile,radix4,0,32,0,0,named-barrier,5,0.161249,0.159273,0.161608,104.045215,1.924350
16,fft,fp32,forward,inverse,out-of-place,8,256,16384,1,256,stage-pipeline,radix2,4,0,0,4,named-barrier,5,0.315341,0.315126,0.316867,53.203439,3.763289
17,fft,fp32,forward,inverse,out-of-place,8,256,16384,1,256,stage-pipeline,radix2,4,0,0,8,named-barrier,5,0.332022,0.329482,0.332073,50.530474,3.962360
18,fft,fp32,forward,inverse,out-of-place,8,256,16384,1,256,stage-pipeline,radix2,8,0,0,8,named-barrier,5,0.347361,0.337162,0.347464,48.299037,4.145416
19,fft,fp32,forward,inverse,out-of-place,8,256,16384,1,256,stage-pipeline,radix2,2,0,0,4,named-barrier,5,0.398930,0.398725,0.399155,42.055550,4.760842
20,fft,fp32,forward,inverse,out-of-place,8,256,16384,1,256,stage-pipeline,radix2,2,0,0,8,named-barrier,5,0.403456,0.403098,0.403538,41.583756,4.814855
21,fft,fp32,forward,inverse,out-of-place,8,256,16384,1,256,stage-pipeline,radix2,1,0,0,8,named-barrier,5,0.741673,0.740977,0.742257,22.620772,8.851147
