trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,stage_space,stage_handoff,tile_threads,local_stages,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,temporal-tile,radix4,0,named-barrier,128,0,0,0,8,256,16384,1,256,50,100,2.805664,0.051374,2.608096,318915700.341333,326.569677,81642419287.381348,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,temporal-tile,radix4,0,named-barrier,128,0,0,0,8,256,16384,1,256,50,100,2.778528,0.051231,2.603872,319808107.791790,327.483502,81870875594.698196,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,temporal-tile,radix4,0,named-barrier,128,0,0,0,8,256,16384,1,256,50,100,2.776032,0.051261,2.599168,319616460.749799,327.287256,81821813951.948441,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,temporal-tile,radix4,0,named-barrier,128,0,0,0,8,256,16384,1,256,50,100,2.762336,0.051323,2.591808,319233831.743484,326.895444,81723860926.331879,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,temporal-tile,radix4,0,named-barrier,128,0,0,0,8,256,16384,1,256,50,100,2.777056,0.051323,2.599392,319233831.743484,326.895444,81723860926.331879,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,temporal-tile,radix4,0,named-barrier,256,0,0,0,8,256,16384,1,256,50,100,2.781536,0.052060,2.603488,314712819.796615,322.265927,80566481867.933502,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,temporal-tile,radix4,0,named-barrier,256,0,0,0,8,256,16384,1,256,50,100,2.788960,0.052050,2.604288,314774739.551636,322.329333,80582333325.218842,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,temporal-tile,radix4,0,named-barrier,256,0,0,0,8,256,16384,1,256,50,100,2.776416,0.052019,2.597440,314960622.540085,322.519677,80629919370.261871,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,temporal-tile,radix4,0,named-barrier,256,0,0,0,8,256,16384,1,256,50,100,2.776256,0.052060,2.607456,314712819.796615,322.265927,80566481867.933502,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,temporal-tile,radix4,0,named-barrier,256,0,0,0,8,256,16384,1,256,50,100,2.762464,0.052040,2.596928,314836683.676878,322.392764,80598191021.280884,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,128,6,0,0,8,256,16384,1,256,50,100,2.817568,0.198001,2.678048,82747207.416720,84.733140,21183285098.680439,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,128,6,0,0,8,256,16384,1,256,50,100,2.811392,0.197960,4.765440,82764330.085799,84.750674,21187668501.964607,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,128,6,0,0,8,256,16384,1,256,50,100,2.768608,0.197919,3.149408,82781459.842645,84.768215,21192053719.717213,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,128,6,0,0,8,256,16384,1,256,50,100,2.765280,0.197898,3.145760,82790024.263433,84.776985,21194246211.438740,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,128,6,0,0,8,256,16384,1,256,50,100,2.769184,0.197908,3.139360,82785741.831536,84.772600,21193149908.873100,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,6,0,0,8,256,16384,1,256,50,100,2.798336,0.219863,3.596480,74519123.104289,76.307582,19076895514.698105,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,6,0,0,8,256,16384,1,256,50,100,2.779296,0.219791,3.474848,74543424.002308,76.332466,19083116544.590935,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,6,0,0,8,256,16384,1,256,50,100,2.767872,0.219853,3.100352,74522592.969493,76.311135,19077783800.190197,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,6,0,0,8,256,16384,1,256,50,100,2.795808,0.219843,3.258112,74526058.106394,76.314684,19078670875.236835,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,6,0,0,8,256,16384,1,256,50,100,2.771520,0.219863,3.720800,74519123.104289,76.307582,19076895514.698105,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,temporal-tile,radix4,0,named-barrier,128,0,0,0,10,1024,4096,1,1024,50,100,2.766400,0.056965,3.353248,71903644.235387,368.146658,73629331697.035843,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,temporal-tile,radix4,0,named-barrier,128,0,0,0,10,1024,4096,1,1024,50,100,2.796480,0.057037,3.555040,71813282.722279,367.684008,73536801507.613892,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,temporal-tile,radix4,0,named-barrier,128,0,0,0,10,1024,4096,1,1024,50,100,2.772352,0.057006,4.212448,71851989.980168,367.882189,73576437739.691910,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,temporal-tile,radix4,0,named-barrier,128,0,0,0,10,1024,4096,1,1024,50,100,2.766496,0.057027,3.153984,71826183.635039,367.750060,73550012042.280243,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,temporal-tile,radix4,0,named-barrier,128,0,0,0,10,1024,4096,1,1024,50,100,2.764256,0.057037,2.888800,71813282.722279,367.684008,73536801507.613892,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,temporal-tile,radix4,0,named-barrier,256,0,0,0,10,1024,4096,1,1024,50,100,2.764416,0.056863,3.298528,72033131.337579,368.809632,73761926489.681091,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,temporal-tile,radix4,0,named-barrier,256,0,0,0,10,1024,4096,1,1024,50,100,2.772672,0.056863,4.401984,72033131.337579,368.809632,73761926489.681091,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,temporal-tile,radix4,0,named-barrier,256,0,0,0,10,1024,4096,1,1024,50,100,2.785568,0.056822,4.473088,72085060.637417,369.075510,73815102092.714630,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,temporal-tile,radix4,0,named-barrier,256,0,0,0,10,1024,4096,1,1024,50,100,2.769088,0.056812,3.275360,72098054.663321,369.142040,73828407975.240753,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,temporal-tile,radix4,0,named-barrier,256,0,0,0,10,1024,4096,1,1024,50,100,2.763808,0.056873,2.815168,72020165.418385,368.743247,73748649388.426163,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,128,6,0,0,10,1024,4096,1,1024,50,100,2.770656,0.285450,3.177760,14349260.514876,73.468214,14693642767.232531,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,128,6,0,0,10,1024,4096,1,1024,50,100,2.764256,0.285389,3.239808,14352350.321985,73.484034,14696806729.712923,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,128,6,0,0,10,1024,4096,1,1024,50,100,2.765504,0.285420,3.362304,14350805.252117,73.476123,14695224578.168108,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,128,6,0,0,10,1024,4096,1,1024,50,100,2.770336,0.285440,4.314592,14349775.889750,73.470853,14694170511.103777,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,128,6,0,0,10,1024,4096,1,1024,50,100,2.768288,0.285420,2.901760,14350805.252117,73.476123,14695224578.168108,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,6,0,0,10,1024,4096,1,1024,50,100,2.770304,0.307610,3.176672,13315579.751135,68.175768,13635153665.162354,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,6,0,0,10,1024,4096,1,1024,50,100,2.805920,0.307620,3.956512,13315135.984865,68.173496,13634699248.501720,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,6,0,0,10,1024,4096,1,1024,50,100,2.764224,0.307620,2.991680,13315135.984865,68.173496,13634699248.501720,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,6,0,0,10,1024,4096,1,1024,50,100,2.776800,0.307558,3.290080,13317795.154782,68.187111,13637422238.496550,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,6,0,0,10,1024,4096,1,1024,50,100,2.768256,0.307579,2.890848,13316908.646803,68.182572,13636514454.326502,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,128,8,0,0,10,1024,4096,1,1024,50,100,2.764320,0.139407,3.205120,29381520.792170,150.433386,30086677291.181877,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,128,8,0,0,10,1024,4096,1,1024,50,100,2.701280,0.139469,3.114528,29368574.781403,150.367103,30073420576.157101,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,128,8,0,0,10,1024,4096,1,1024,50,100,2.765664,0.139346,3.290240,29394471.934792,150.499696,30099939261.226860,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,128,8,0,0,10,1024,4096,1,1024,50,100,2.765600,0.139428,3.161728,29377203.140717,150.411280,30082256016.094318,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,128,8,0,0,10,1024,4096,1,1024,50,100,2.768640,0.139397,3.105120,29383678.523348,150.444434,30088886807.908085,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,8,0,0,10,1024,4096,1,1024,50,100,2.771136,0.138547,4.170944,29563932.646464,151.367335,30273467029.979416,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,8,0,0,10,1024,4096,1,1024,50,100,2.794336,0.138547,3.994592,29563932.646464,151.367335,30273467029.979416,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,8,0,0,10,1024,4096,1,1024,50,100,2.766432,0.138578,3.077504,29557377.582567,151.333773,30266754644.548641,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,8,0,0,10,1024,4096,1,1024,50,100,2.767424,0.138660,3.189952,29539916.905885,151.244375,30248874911.626316,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,8,0,0,10,1024,4096,1,1024,50,100,2.764800,0.138598,3.147744,29553011.272870,151.311418,30262283543.418411,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,128,6,0,0,12,4096,1024,1,4096,50,100,2.769920,0.372951,3.979968,2745668.556446,67.477550,11246258407.201889,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,128,6,0,0,12,4096,1024,1,4096,50,100,2.774496,0.361595,3.101248,2831898.460997,69.596737,11599456096.241762,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,128,6,0,0,12,4096,1024,1,4096,50,100,2.770080,0.355697,3.186720,2878857.601620,70.750804,11791800736.236404,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,128,6,0,0,12,4096,1024,1,4096,50,100,2.764768,0.355717,3.113152,2878691.901716,70.746732,11791122029.426889,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,128,6,0,0,12,4096,1024,1,4096,50,100,2.772320,0.355809,3.296704,2877946.126549,70.728404,11788067334.344755,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,6,0,0,12,4096,1024,1,4096,50,100,2.768864,0.378491,3.121120,2705481.410697,66.489911,11081651858.215946,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,6,0,0,12,4096,1024,1,4096,50,100,2.764672,0.378132,3.191872,2708045.728806,66.552932,11092155305.187727,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,6,0,0,12,4096,1024,1,4096,50,100,2.763808,0.378132,3.095520,2708045.728806,66.552932,11092155305.187727,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,6,0,0,12,4096,1024,1,4096,50,100,2.765312,0.378112,3.180704,2708192.365409,66.556536,11092755928.714725,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,6,0,0,12,4096,1024,1,4096,50,100,2.763584,0.378153,3.128480,2707898.894671,66.549323,11091553872.571423,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,128,8,0,0,12,4096,1024,1,4096,50,100,2.773696,0.222198,4.124160,4608507.383895,113.258677,18876446244.433952,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,128,8,0,0,12,4096,1024,1,4096,50,100,2.768544,0.222054,3.147648,4611482.446270,113.331793,18888632099.923908,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,128,8,0,0,12,4096,1024,1,4096,50,100,2.767488,0.221993,3.135776,4612758.693425,113.363158,18893859608.268017,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,128,8,0,0,12,4096,1024,1,4096,50,100,2.763872,0.222065,3.196640,4611269.858640,113.326568,18887761340.988960,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,128,8,0,0,12,4096,1024,1,4096,50,100,2.767072,0.222034,2.731168,4611907.989856,113.342251,18890375126.449654,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,8,0,0,12,4096,1024,1,4096,50,100,2.766080,0.220764,3.118592,4638434.061377,113.994155,18999025915.399502,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,8,0,0,12,4096,1024,1,4096,50,100,2.778624,0.220795,4.163296,4637788.568952,113.978292,18996381978.427101,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,8,0,0,12,4096,1024,1,4096,50,100,2.768256,0.220785,3.141312,4638003.608788,113.983577,18997262781.597435,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,8,0,0,12,4096,1024,1,4096,50,100,2.768576,0.220713,3.183040,4639510.072648,114.020600,19003433257.564175,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,8,0,0,12,4096,1024,1,4096,50,100,2.765472,0.220795,3.233920,4637788.568952,113.978292,18996381978.427101,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,128,10,0,0,12,4096,1024,1,4096,50,100,2.766400,0.140872,3.169376,7269026.996094,178.643607,29773934576.001156,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,128,10,0,0,12,4096,1024,1,4096,50,100,2.772288,0.140913,4.190432,7266913.890539,178.591676,29765279295.647106,0.000000,-1
