rank,operator,precision,direction,normalization,placement,logN,N,batch,element_stride,batch_stride,backend,compute_unit,stage_space,tile_threads,local_stages,warp_stages,pipeline_warps,stage_handoff,trials,median_kernel_ms,min_kernel_ms,max_kernel_ms,median_Gbutterfly_s,slowdown_vs_best
1,fwht,fp32,forward,none,out-of-place,10,1024,4096,1,1024,temporal-tile,radix4,0,256,0,0,0,named-barrier,5,0.056863,0.056812,0.056873,368.809632,1.000000
2,fwht,fp32,forward,none,out-of-place,10,1024,4096,1,1024,temporal-tile,radix4,0,128,0,0,0,named-barrier,5,0.057027,0.056965,0.057037,367.750060,1.002884
3,fwht,fp32,forward,none,out-of-place,10,1024,4096,1,1024,hierarchical,radix4,0,256,8,0,0,named-barrier,5,0.138578,0.138547,0.138660,151.333773,2.437050
4,fwht,fp32,forward,none,out-of-place,10,1024,4096,1,1024,hierarchical,radix4,0,128,8,0,0,named-barrier,5,0.139407,0.139346,0.139469,150.433386,2.451629
5,fwht,fp32,forward,none,out-of-place,10,1024,4096,1,1024,hierarchical,radix4,0,128,6,0,0,named-barrier,5,0.285420,0.285389,0.285450,73.476123,5.019433
6,fwht,fp32,forward,none,out-of-place,10,1024,4096,1,1024,hierarchical,radix4,0,256,6,0,0,named-barrier,5,0.307610,0.307558,0.307620,68.175768,5.409669
1,fwht,fp32,forward,none,out-of-place,12,4096,1024,1,4096,hierarchical,radix4,0,256,10,0,0,named-barrier,5,0.140534,0.140462,0.140616,179.073156,1.000000
2,fwht,fp32,forward,none,out-of-place,12,4096,1024,1,4096,hierarchical,radix4,0,128,10,0,0,named-barrier,5,0.140872,0.140841,0.140913,178.643607,1.002405
3,fwht,fp32,forward,none,out-of-place,12,4096,1024,1,4096,hierarchical,radix4,0,256,8,0,0,named-barrier,5,0.220785,0.220713,0.220795,113.983577,1.571043
4,fwht,fp32,forward,none,out-of-place,12,4096,1024,1,4096,hierarchical,radix4,0,128,8,0,0,named-barrier,5,0.222054,0.221993,0.222198,113.331793,1.580073
5,fwht,fp32,forward,none,out-of-place,12,4096,1024,1,4096,hierarchical,radix4,0,128,6,0,0,named-barrier,5,0.355809,0.355697,0.372951,70.728404,2.531836
6,fwht,fp32,forward,none,out-of-place,12,4096,1024,1,4096,hierarchical,radix4,0,256,6,0,0,named-barrier,5,0.378132,0.378112,0.378491,66.552932,2.690680
1,fwht,fp32,forward,none,out-of-place,14,16384,256,1,16384,hierarchical,radix4,0,256,10,0,0,named-barrier,5,0.227369,0.227308,0.227441,129.129883,1.000000
2,fwht,fp32,forward,none,out-of-place,14,16384,256,1,16384,hierarchical,radix4,0,128,10,0,0,named-barrier,5,0.227799,0.227717,0.227820,128.886099,1.001891
3,fwht,fp32,forward,none,out-of-place,14,16384,256,1,16384,hierarchical,radix4,0,256,8,0,0,named-barrier,5,0.307651,0.307640,0.307722,95.433363,1.353091
4,fwht,fp32,forward,none,out-of-place,14,16384,256,1,16384,hierarchical,radix4,0,128,8,0,0,named-barrier,5,0.308941,0.308869,0.309064,95.034803,1.358765
5,fwht,fp32,forward,none,out-of-place,14,16384,256,1,16384,hierarchical,radix4,0,128,6,0,0,named-barrier,5,0.442286,0.442235,0.442327,66.382664,1.945234
6,fwht,fp32,forward,none,out-of-place,14,16384,256,1,16384,hierarchical,radix4,0,256,6,0,0,named-barrier,5,0.465009,0.464845,0.465060,63.138890,2.045173
1,fwht,fp32,forward,none,out-of-place,15,32768,128,1,32768,hierarchical,radix4,0,256,10,0,0,named-barrier,5,0.270643,0.270612,0.270766,116.231553,1.000000
2,fwht,fp32,forward,none,out-of-place,15,32768,128,1,32768,hierarchical,radix4,0,128,10,0,0,named-barrier,5,0.271022,0.270961,0.271176,116.069067,1.001400
3,fwht,fp32,forward,none,out-of-place,15,32768,128,1,32768,hierarchical,radix4,0,256,8,0,0,named-barrier,5,0.351007,0.350945,0.351191,89.620158,1.296937
4,fwht,fp32,forward,none,out-of-place,15,32768,128,1,32768,hierarchical,radix4,0,128,8,0,0,named-barrier,5,0.352256,0.352205,0.352338,89.302326,1.301552
5,fwht,fp32,forward,none,out-of-place,15,32768,128,1,32768,hierarchical,radix4,0,128,6,0,0,named-barrier,5,0.485714,0.485673,0.485734,64.765036,1.794667
6,fwht,fp32,forward,none,out-of-place,15,32768,128,1,32768,hierarchical,radix4,0,256,6,0,0,named-barrier,5,0.507290,0.507218,0.507812,62.010498,1.874388
1,fwht,fp32,forward,none,out-of-place,8,256,16384,1,256,temporal-tile,radix4,0,128,0,0,0,named-barrier,5,0.051323,0.051231,0.051374,326.895444,1.000000
2,fwht,fp32,forward,none,out-of-place,8,256,16384,1,256,temporal-tile,radix4,0,256,0,0,0,named-barrier,5,0.052050,0.052019,0.052060,322.329333,1.014165
3,fwht,fp32,forward,none,out-of-place,8,256,16384,1,256,hierarchical,radix4,0,128,6,0,0,named-barrier,5,0.197919,0.197898,0.198001,84.768215,3.856341
4,fwht,fp32,forward,none,out-of-place,8,256,16384,1,256,hierarchical,radix4,0,256,6,0,0,named-barrier,5,0.219853,0.219791,0.219863,76.311135,4.283713
