trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,stage_space,stage_handoff,tile_threads,local_stages,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix2,0,named-barrier,128,6,0,0,12,4096,1024,1,4096,10,20,2.781088,0.373197,2.655840,2743860.753916,67.433122,11238853648.039202,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix2,0,named-barrier,256,6,0,0,12,4096,1024,1,4096,10,20,2.785280,0.420864,2.657728,2433089.932886,59.795618,9965936365.102228,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,128,6,0,0,12,4096,1024,1,4096,10,20,2.845344,0.382413,2.672992,2677734.697752,65.808008,10968001321.991789,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,6,0,0,12,4096,1024,1,4096,10,20,2.782944,0.394957,2.668288,2592688.635418,63.717916,10619652650.672916,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix2,0,named-barrier,128,8,0,0,12,4096,1024,1,4096,10,20,2.801056,0.231629,2.672864,4420866.386788,108.647212,18107868720.282990,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix2,0,named-barrier,256,8,0,0,12,4096,1024,1,4096,10,20,2.848512,0.238080,2.680992,4301075.360647,105.703228,17617204677.208221,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,128,8,0,0,12,4096,1024,1,4096,10,20,2.789632,0.226918,3.052000,4512635.095973,110.902520,18483753353.106865,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,8,0,0,12,4096,1024,1,4096,10,20,2.832992,0.226253,2.691872,4525910.954263,111.228788,18538131268.662018,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix2,0,named-barrier,128,10,0,0,12,4096,1024,1,4096,10,20,2.785536,0.153344,3.058880,6677796.094392,164.113517,27352252802.631336,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix2,0,named-barrier,256,10,0,0,12,4096,1024,1,4096,10,20,2.788896,0.149299,3.696864,6858710.362600,168.559666,28093277645.210346,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,128,10,0,0,12,4096,1024,1,4096,10,20,2.789056,0.144640,2.708192,7079646.082583,173.989382,28998230354.260689,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,10,0,0,12,4096,1024,1,4096,10,20,2.846048,0.144384,2.720832,7092198.742426,174.297876,29049646048.974937,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix2,0,named-barrier,128,6,0,0,14,16384,256,1,16384,10,20,2.808864,0.460954,2.855232,555370.404299,63.694321,9099188704.037367,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix2,0,named-barrier,256,6,0,0,14,16384,256,1,16384,10,20,2.794912,0.508365,3.497408,503575.388565,57.754054,8250579166.249147,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,128,6,0,0,14,16384,256,1,16384,10,20,2.781312,0.461056,2.664352,555247.092138,63.680179,9097168357.586504,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,6,0,0,14,16384,256,1,16384,10,20,2.783680,0.482970,2.676832,530054.052473,60.790839,8684405595.718216,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix2,0,named-barrier,128,8,0,0,14,16384,256,1,16384,10,20,2.801216,0.319590,2.677920,801025.338144,91.867994,13123999140.157373,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix2,0,named-barrier,256,8,0,0,14,16384,256,1,16384,10,20,2.807328,0.325427,2.671680,786658.265080,90.220263,12888609015.074190,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,128,8,0,0,14,16384,256,1,16384,10,20,2.799968,0.314726,2.683904,813404.881186,93.287779,13326825573.353296,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,8,0,0,14,16384,256,1,16384,10,20,2.795264,0.313907,2.756832,815527.630647,93.531233,13361604700.525152,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix2,0,named-barrier,128,10,0,0,14,16384,256,1,16384,10,20,2.786208,0.240845,2.678336,1062925.165353,121.904761,17414965909.147667,0.000000,-1
