trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,stage_space,stage_handoff,tile_threads,local_stages,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,10,0,0,12,4096,1024,1,4096,50,100,2.781920,0.144282,2.600288,7097232.278937,174.421580,29070263414.527580,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,10,0,0,12,4096,1024,1,4096,50,100,2.781280,0.144241,2.601792,7099247.841361,174.471115,29078519158.213707,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,10,0,0,12,4096,1024,1,4096,50,100,2.776896,0.144374,2.601952,7092701.628351,174.310235,29051705869.725525,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,10,0,0,12,4096,1024,1,4096,50,100,2.760800,0.144230,2.591136,7099750.993968,174.483480,29080580071.291054,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,10,0,0,12,4096,1024,1,4096,50,100,2.785632,0.144312,2.604640,7095721.174859,174.384444,29064073932.221714,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,10,0,0,14,16384,256,1,16384,50,100,2.766848,0.232008,2.591488,1103411.738078,126.548085,18078297916.671867,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,10,0,0,14,16384,256,1,16384,50,100,2.767456,0.231864,2.597504,1104093.988805,126.626331,18089475912.583111,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,10,0,0,14,16384,256,1,16384,50,100,2.761920,0.231987,2.590144,1103509.120463,126.559254,18079893429.667973,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,10,0,0,14,16384,256,1,16384,50,100,2.764928,0.231844,2.594752,1104191.562627,126.637522,18091074562.077122,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,10,0,0,14,16384,256,1,16384,50,100,2.764000,0.231997,2.589312,1103460.497997,126.553678,18079096799.185871,0.000000,-1
