rank,operator,precision,direction,normalization,placement,logN,N,batch,element_stride,batch_stride,backend,compute_unit,stage_space,tile_threads,local_stages,warp_stages,pipeline_warps,stage_handoff,trials,median_kernel_ms,min_kernel_ms,max_kernel_ms,median_Gbutterfly_s,slowdown_vs_best
1,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,cufft,auto,0,0,0,0,0,named-barrier,5,0.088883,0.088832,0.088914,283.133644,1.000000
2,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,hierarchical,radix4,0,256,10,0,0,named-barrier,5,0.293396,0.293263,0.293560,85.774119,3.300924
1,fft,fp32,forward,none,out-of-place,14,16384,256,1,16384,cufft,auto,0,0,0,0,0,named-barrier,5,0.122747,0.122552,0.123320,239.192464,1.000000
2,fft,fp32,forward,none,out-of-place,14,16384,256,1,16384,hierarchical,radix4,0,256,10,0,0,named-barrier,5,0.456888,0.456868,0.456940,64.261061,3.722193
1,fft,fp32,forward,none,out-of-place,16,65536,64,1,65536,cufft,auto,0,0,0,0,0,named-barrier,5,0.179333,0.179118,0.179610,187.106720,1.000000
2,fft,fp32,forward,none,out-of-place,16,65536,64,1,65536,hierarchical,radix4,0,256,10,0,0,named-barrier,5,0.627507,0.627261,0.627630,53.472584,3.499116
1,fft,fp32,forward,none,out-of-place,18,262144,16,1,262144,cufft,auto,0,0,0,0,0,named-barrier,5,0.211948,0.211640,0.212163,178.104168,1.000000
2,fft,fp32,forward,none,out-of-place,18,262144,16,1,262144,hierarchical,radix4,0,256,10,0,0,named-barrier,5,0.812268,0.812114,0.812339,46.473279,3.832393
1,fft,fp32,forward,none,out-of-place,20,1048576,4,1,1048576,cufft,auto,0,0,0,0,0,named-barrier,5,0.209715,0.209213,0.209971,200.000012,1.000000
2,fft,fp32,forward,none,out-of-place,20,1048576,4,1,1048576,hierarchical,radix4,0,256,10,0,0,named-barrier,5,1.199647,1.198961,1.199954,34.962827,5.720368
1,fwht,fp32,forward,none,out-of-place,12,4096,1024,1,4096,hierarchical,radix4,0,256,10,0,0,named-barrier,5,0.144282,0.144230,0.144374,174.421580,1.000000
1,fwht,fp32,forward,none,out-of-place,14,16384,256,1,16384,hierarchical,radix4,0,256,10,0,0,named-barrier,5,0.231987,0.231844,0.232008,126.559254,1.000000
1,fwht,fp32,forward,none,out-of-place,16,65536,64,1,65536,hierarchical,radix4,0,256,10,0,0,named-barrier,5,0.319386,0.318157,0.319498,105.059308,1.000000
1,fwht,fp32,forward,none,out-of-place,18,262144,16,1,262144,hierarchical,radix4,0,256,10,0,0,named-barrier,5,0.405535,0.400753,0.405637,93.083859,1.000000
1,fwht,fp32,forward,none,out-of-place,20,1048576,4,1,1048576,hierarchical,radix4,0,256,10,0,0,named-barrier,5,0.488049,0.487854,0.492411,85.940286,1.000000
1,xor-zeta,uint32,forward,none,out-of-place,12,4096,1024,1,4096,hierarchical,radix4,0,256,10,0,0,named-barrier,5,0.139551,0.139551,0.139674,180.334592,1.000000
1,xor-zeta,uint32,forward,none,out-of-place,14,16384,256,1,16384,hierarchical,radix4,0,256,10,0,0,named-barrier,5,0.226478,0.226345,0.230758,129.637832,1.000000
1,xor-zeta,uint32,forward,none,out-of-place,16,65536,64,1,65536,hierarchical,radix4,0,256,10,0,0,named-barrier,5,0.318188,0.318136,0.318239,105.454892,1.000000
1,xor-zeta,uint32,forward,none,out-of-place,18,262144,16,1,262144,hierarchical,radix4,0,256,10,0,0,named-barrier,5,0.399882,0.399708,0.405668,94.399634,1.000000
1,xor-zeta,uint32,forward,none,out-of-place,20,1048576,4,1,1048576,hierarchical,radix4,0,256,10,0,0,named-barrier,5,0.486922,0.486871,0.487045,86.139094,1.000000
