rank,operator,precision,direction,normalization,placement,logN,N,batch,element_stride,batch_stride,backend,compute_unit,stage_space,tile_threads,local_stages,warp_stages,pipeline_warps,stage_handoff,trials,median_kernel_ms,min_kernel_ms,max_kernel_ms,median_Gbutterfly_s,slowdown_vs_best
1,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,cufft,auto,0,0,0,0,0,named-barrier,1,0.089856,0.089856,0.089856,280.068380,1.000000
2,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,hierarchical,radix4,0,256,10,0,0,named-barrier,1,0.309043,0.309043,0.309043,81.431412,3.439314
3,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,hierarchical,radix2,0,256,10,0,0,named-barrier,1,0.328192,0.328192,0.328192,76.680188,3.652422
4,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,hierarchical,radix4,0,128,10,0,0,named-barrier,1,0.333107,0.333107,0.333107,75.548724,3.707120
5,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,hierarchical,radix2,0,128,10,0,0,named-barrier,1,0.349594,0.349594,0.349594,71.985944,3.890603
6,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,hierarchical,radix4,0,128,8,0,0,named-barrier,1,0.461210,0.461210,0.461210,54.564832,5.132768
7,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,hierarchical,radix4,0,256,8,0,0,named-barrier,1,0.464691,0.464691,0.464691,54.156013,5.171508
8,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,hierarchical,radix2,0,128,8,0,0,named-barrier,1,0.477901,0.477901,0.477901,52.659095,5.318521
9,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,hierarchical,radix2,0,256,8,0,0,named-barrier,1,0.479744,0.479744,0.479744,52.456775,5.339031
10,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,hierarchical,radix4,0,128,6,0,0,named-barrier,1,0.632627,0.632627,0.632627,39.779865,7.040454
11,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,hierarchical,radix2,0,128,6,0,0,named-barrier,1,0.648653,0.648653,0.648653,38.797064,7.218806
12,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,hierarchical,radix4,0,256,6,0,0,named-barrier,1,0.680448,0.680448,0.680448,36.984199,7.572650
13,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,hierarchical,radix2,0,256,6,0,0,named-barrier,1,0.701440,0.701440,0.701440,35.877373,7.806268
1,fft,fp32,forward,none,out-of-place,14,16384,256,1,16384,cufft,auto,0,0,0,0,0,named-barrier,1,0.135322,0.135322,0.135322,216.965566,1.000000
2,fft,fp32,forward,none,out-of-place,14,16384,256,1,16384,hierarchical,radix4,0,256,10,0,0,named-barrier,1,0.473958,0.473958,0.473958,61.946635,3.502446
3,fft,fp32,forward,none,out-of-place,14,16384,256,1,16384,hierarchical,radix2,0,256,10,0,0,named-barrier,1,0.492442,0.492442,0.492442,59.621544,3.639039
4,fft,fp32,forward,none,out-of-place,14,16384,256,1,16384,hierarchical,radix4,0,128,10,0,0,named-barrier,1,0.494950,0.494950,0.494950,59.319336,3.657572
5,fft,fp32,forward,none,out-of-place,14,16384,256,1,16384,hierarchical,radix2,0,128,10,0,0,named-barrier,1,0.515533,0.515533,0.515533,56.951039,3.809676
6,fft,fp32,forward,none,out-of-place,14,16384,256,1,16384,hierarchical,radix4,0,128,8,0,0,named-barrier,1,0.628634,0.628634,0.628634,46.704674,4.645468
7,fft,fp32,forward,none,out-of-place,14,16384,256,1,16384,hierarchical,radix4,0,256,8,0,0,named-barrier,1,0.633088,0.633088,0.633088,46.376062,4.678382
8,fft,fp32,forward,none,out-of-place,14,16384,256,1,16384,hierarchical,radix2,0,128,8,0,0,named-barrier,1,0.645171,0.645171,0.645171,45.507498,4.767673
9,fft,fp32,forward,none,out-of-place,14,16384,256,1,16384,hierarchical,radix2,0,256,8,0,0,named-barrier,1,0.648653,0.648653,0.648653,45.263242,4.793404
10,fft,fp32,forward,none,out-of-place,14,16384,256,1,16384,hierarchical,radix4,0,128,6,0,0,named-barrier,1,0.799795,0.799795,0.799795,36.709557,5.910310
11,fft,fp32,forward,none,out-of-place,14,16384,256,1,16384,hierarchical,radix2,0,128,6,0,0,named-barrier,1,0.816282,0.816282,0.816282,35.968136,6.032146
12,fft,fp32,forward,none,out-of-place,14,16384,256,1,16384,hierarchical,radix4,0,256,6,0,0,named-barrier,1,0.841574,0.841574,0.841574,34.887146,6.219048
13,fft,fp32,forward,none,out-of-place,14,16384,256,1,16384,hierarchical,radix2,0,256,6,0,0,named-barrier,1,0.860826,0.860826,0.860826,34.106939,6.361316
1,fft,fp32,forward,none,out-of-place,16,65536,64,1,65536,cufft,auto,0,0,0,0,0,named-barrier,1,0.180992,0.180992,0.180992,185.391804,1.000000
2,fft,fp32,forward,none,out-of-place,16,65536,64,1,65536,hierarchical,radix4,0,256,10,0,0,named-barrier,1,0.644454,0.644454,0.644454,52.066421,3.560677
3,fft,fp32,forward,none,out-of-place,16,65536,64,1,65536,hierarchical,radix2,0,256,10,0,0,named-barrier,1,0.662886,0.662886,0.662886,50.618678,3.662515
4,fft,fp32,forward,none,out-of-place,16,65536,64,1,65536,hierarchical,radix4,0,128,10,0,0,named-barrier,1,0.670362,0.670362,0.670362,50.054225,3.703821
5,fft,fp32,forward,none,out-of-place,16,65536,64,1,65536,hierarchical,radix2,0,128,10,0,0,named-barrier,1,0.688333,0.688333,0.688333,48.747397,3.803113
6,fft,fp32,forward,none,out-of-place,16,65536,64,1,65536,hierarchical,radix4,0,128,8,0,0,named-barrier,1,0.796774,0.796774,0.796774,42.112840,4.402261
7,fft,fp32,forward,none,out-of-place,16,65536,64,1,65536,hierarchical,radix4,0,256,8,0,0,named-barrier,1,0.802150,0.802150,0.802150,41.830598,4.431964
8,fft,fp32,forward,none,out-of-place,16,65536,64,1,65536,hierarchical,radix2,0,128,8,0,0,named-barrier,1,0.814285,0.814285,0.814285,41.207243,4.499011
9,fft,fp32,forward,none,out-of-place,16,65536,64,1,65536,hierarchical,radix2,0,256,8,0,0,named-barrier,1,0.817920,0.817920,0.817920,41.024099,4.519095
10,fft,fp32,forward,none,out-of-place,16,65536,64,1,65536,hierarchical,radix4,0,128,6,0,0,named-barrier,1,0.967629,0.967629,0.967629,34.676968,5.346253
11,fft,fp32,forward,none,out-of-place,16,65536,64,1,65536,hierarchical,radix2,0,128,6,0,0,named-barrier,1,0.984013,0.984013,0.984013,34.099590,5.436776
12,fft,fp32,forward,none,out-of-place,16,65536,64,1,65536,hierarchical,radix4,0,256,6,0,0,named-barrier,1,1.011046,1.011046,1.011046,33.187826,5.586136
13,fft,fp32,forward,none,out-of-place,16,65536,64,1,65536,hierarchical,radix2,0,256,6,0,0,named-barrier,1,1.029939,1.029939,1.029939,32.579042,5.690522
1,fft,fp32,forward,none,out-of-place,18,262144,16,1,262144,cufft,auto,0,0,0,0,0,named-barrier,1,0.227379,0.227379,0.227379,166.016661,1.000000
2,fft,fp32,forward,none,out-of-place,18,262144,16,1,262144,hierarchical,radix4,0,256,10,0,0,named-barrier,1,0.828314,0.828314,0.828314,45.572998,3.642878
3,fft,fp32,forward,none,out-of-place,18,262144,16,1,262144,hierarchical,radix2,0,256,10,0,0,named-barrier,1,0.847309,0.847309,0.847309,44.551332,3.726417
4,fft,fp32,forward,none,out-of-place,18,262144,16,1,262144,hierarchical,radix4,0,128,10,0,0,named-barrier,1,0.858368,0.858368,0.858368,43.977332,3.775054
5,fft,fp32,forward,none,out-of-place,18,262144,16,1,262144,hierarchical,radix2,0,128,10,0,0,named-barrier,1,0.873165,0.873165,0.873165,43.232085,3.840130
6,fft,fp32,forward,none,out-of-place,18,262144,16,1,262144,hierarchical,radix4,0,128,8,0,0,named-barrier,1,0.989082,0.989082,0.989082,38.165443,4.349927
7,fft,fp32,forward,none,out-of-place,18,262144,16,1,262144,hierarchical,radix4,0,256,8,0,0,named-barrier,1,1.005875,1.005875,1.005875,37.528249,4.423781
8,fft,fp32,forward,none,out-of-place,18,262144,16,1,262144,hierarchical,radix2,0,128,8,0,0,named-barrier,1,1.007411,1.007411,1.007411,37.471029,4.430537
9,fft,fp32,forward,none,out-of-place,18,262144,16,1,262144,hierarchical,radix2,0,256,8,0,0,named-barrier,1,1.023693,1.023693,1.023693,36.875061,4.502144
10,fft,fp32,forward,none,out-of-place,18,262144,16,1,262144,hierarchical,radix4,0,128,6,0,0,named-barrier,1,1.179546,1.179546,1.179546,32.002777,5.187577
11,fft,fp32,forward,none,out-of-place,18,262144,16,1,262144,hierarchical,radix2,0,128,6,0,0,named-barrier,1,1.195622,1.195622,1.195622,31.572455,5.258278
12,fft,fp32,forward,none,out-of-place,18,262144,16,1,262144,hierarchical,radix4,0,256,6,0,0,named-barrier,1,1.204275,1.204275,1.204275,31.345605,5.296333
13,fft,fp32,forward,none,out-of-place,18,262144,16,1,262144,hierarchical,radix2,0,256,6,0,0,named-barrier,1,1.227213,1.227213,1.227213,30.759732,5.397213
1,fft,fp32,forward,none,out-of-place,20,1048576,4,1,1048576,cufft,auto,0,0,0,0,0,named-barrier,1,0.213094,0.213094,0.213094,196.828449,1.000000
2,fft,fp32,forward,none,out-of-place,20,1048576,4,1,1048576,hierarchical,radix2,0,256,10,0,0,named-barrier,1,1.194342,1.194342,1.194342,35.118104,5.604766
3,fft,fp32,forward,none,out-of-place,20,1048576,4,1,1048576,hierarchical,radix4,0,256,10,0,0,named-barrier,1,1.200384,1.200384,1.200384,34.941351,5.633120
4,fft,fp32,forward,none,out-of-place,20,1048576,4,1,1048576,hierarchical,radix4,0,128,10,0,0,named-barrier,1,1.207040,1.207040,1.207040,34.748672,5.664355
5,fft,fp32,forward,none,out-of-place,20,1048576,4,1,1048576,hierarchical,radix2,0,128,10,0,0,named-barrier,1,1.217587,1.217587,1.217587,34.447667,5.713849
6,fft,fp32,forward,none,out-of-place,20,1048576,4,1,1048576,hierarchical,radix2,0,128,8,0,0,named-barrier,1,1.400013,1.400013,1.400013,29.959042,6.569932
7,fft,fp32,forward,none,out-of-place,20,1048576,4,1,1048576,hierarchical,radix4,0,128,8,0,0,named-barrier,1,1.400371,1.400371,1.400371,29.951373,6.571612
8,fft,fp32,forward,none,out-of-place,20,1048576,4,1,1048576,hierarchical,radix4,0,256,8,0,0,named-barrier,1,1.424691,1.424691,1.424691,29.440092,6.685740
9,fft,fp32,forward,none,out-of-place,20,1048576,4,1,1048576,hierarchical,radix2,0,256,8,0,0,named-barrier,1,1.430221,1.430221,1.430221,29.326268,6.711691
10,fft,fp32,forward,none,out-of-place,20,1048576,4,1,1048576,hierarchical,radix4,0,256,6,0,0,named-barrier,1,1.595955,1.595955,1.595955,26.280839,7.489441
11,fft,fp32,forward,none,out-of-place,20,1048576,4,1,1048576,hierarchical,radix2,0,256,6,0,0,named-barrier,1,1.597850,1.597850,1.597850,26.249679,7.498334
12,fft,fp32,forward,none,out-of-place,20,1048576,4,1,1048576,hierarchical,radix4,0,128,6,0,0,named-barrier,1,1.599386,1.599386,1.599386,26.224470,7.505542
13,fft,fp32,forward,none,out-of-place,20,1048576,4,1,1048576,hierarchical,radix2,0,128,6,0,0,named-barrier,1,1.599642,1.599642,1.599642,26.220274,7.506744
1,fwht,fp32,forward,none,out-of-place,12,4096,1024,1,4096,hierarchical,radix4,0,256,10,0,0,named-barrier,1,0.144384,0.144384,0.144384,174.297876,1.000000
2,fwht,fp32,forward,none,out-of-place,12,4096,1024,1,4096,hierarchical,radix4,0,128,10,0,0,named-barrier,1,0.144640,0.144640,0.144640,173.989382,1.001773
3,fwht,fp32,forward,none,out-of-place,12,4096,1024,1,4096,hierarchical,radix2,0,256,10,0,0,named-barrier,1,0.149299,0.149299,0.149299,168.559666,1.034041
4,fwht,fp32,forward,none,out-of-place,12,4096,1024,1,4096,hierarchical,radix2,0,128,10,0,0,named-barrier,1,0.153344,0.153344,0.153344,164.113517,1.062057
5,fwht,fp32,forward,none,out-of-place,12,4096,1024,1,4096,hierarchical,radix4,0,256,8,0,0,named-barrier,1,0.226253,0.226253,0.226253,111.228788,1.567023
6,fwht,fp32,forward,none,out-of-place,12,4096,1024,1,4096,hierarchical,radix4,0,128,8,0,0,named-barrier,1,0.226918,0.226918,0.226918,110.902520,1.571628
7,fwht,fp32,forward,none,out-of-place,12,4096,1024,1,4096,hierarchical,radix2,0,128,8,0,0,named-barrier,1,0.231629,0.231629,0.231629,108.647212,1.604257
