trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,stage_space,stage_handoff,tile_threads,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,in-place,temporal-tile,radix2,0,named-barrier,32,0,0,8,256,4096,2,524,5,20,2.887392,0.108237,3.059744,37842950.140350,38.751181,9687795235.929489,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,in-place,temporal-tile,radix2,0,named-barrier,64,0,0,8,256,4096,2,524,5,20,2.879680,0.089856,2.781216,45584046.215888,46.678063,11669515831.267431,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,in-place,temporal-tile,radix2,0,named-barrier,128,0,0,8,256,4096,2,524,5,20,2.775936,0.048998,2.710784,83594565.382499,85.600835,21400208737.919857,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,in-place,temporal-tile,radix2,0,named-barrier,256,0,0,8,256,4096,2,524,5,20,2.866752,0.049818,4.659360,82219939.397628,84.193218,21048304485.792889,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,in-place,temporal-tile,radix4,0,named-barrier,32,0,0,8,256,4096,2,524,5,20,2.856032,0.106752,2.888256,38369304.287106,39.290168,9822541897.499102,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,in-place,temporal-tile,radix4,0,named-barrier,64,0,0,8,256,4096,2,524,5,20,2.864608,0.089395,3.231264,45819013.509194,46.918670,11729667458.353727,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,in-place,temporal-tile,radix4,0,named-barrier,128,0,0,8,256,4096,2,524,5,20,2.859008,0.048435,3.063840,84566596.184429,86.596194,21649048623.213921,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,in-place,temporal-tile,radix4,0,named-barrier,256,0,0,8,256,4096,2,524,5,20,2.861344,0.047872,3.114432,85561498.322483,87.614974,21903743570.555702,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,in-place,warp-hybrid,radix2,0,named-barrier,0,0,0,8,256,4096,2,524,5,20,2.858944,0.050688,3.236736,80808083.146412,82.747477,20686869285.481541,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,in-place,warp-hybrid,radix2,0,named-barrier,0,1,0,8,256,4096,2,524,5,20,2.858432,0.049203,3.095808,83246620.807892,85.244540,21311134926.820293,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,in-place,warp-hybrid,radix2,0,named-barrier,0,2,0,8,256,4096,2,524,5,20,2.869664,0.048589,3.383968,84299260.342267,86.322443,21580610647.620472,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,in-place,warp-hybrid,radix2,0,named-barrier,0,3,0,8,256,4096,2,524,5,20,2.880576,0.048384,2.832736,84656085.328120,86.687831,21671957843.998695,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,in-place,warp-hybrid,radix2,0,named-barrier,0,4,0,8,256,4096,2,524,5,20,2.894336,0.047155,2.721696,86862103.762578,88.946794,22236698563.220089,0.000000,-1
