rank,operator,precision,direction,normalization,placement,logN,N,batch,element_stride,batch_stride,backend,compute_unit,stage_space,tile_threads,warp_stages,pipeline_warps,stage_handoff,trials,median_kernel_ms,min_kernel_ms,max_kernel_ms,median_Gbutterfly_s,slowdown_vs_best
1,fft,fp32,forward,inverse,in-place,10,1024,1024,2,2060,cufft,auto,0,0,0,0,named-barrier,1,0.046541,0.046541,0.046541,112.651264,1.000000
2,fft,fp32,forward,inverse,in-place,10,1024,1024,2,2060,temporal-tile,radix4,0,256,0,0,named-barrier,1,0.084429,0.084429,0.084429,62.098240,1.814078
3,fft,fp32,forward,inverse,in-place,10,1024,1024,2,2060,temporal-tile,radix2,0,256,0,0,named-barrier,1,0.085043,0.085043,0.085043,61.649609,1.827271
4,fft,fp32,forward,inverse,in-place,10,1024,1024,2,2060,temporal-tile,radix4,0,128,0,0,named-barrier,1,0.099635,0.099635,0.099635,52.620761,2.140801
5,fft,fp32,forward,inverse,in-place,10,1024,1024,2,2060,temporal-tile,radix2,0,128,0,0,named-barrier,1,0.106086,0.106086,0.106086,49.420851,2.279410
6,fft,fp32,forward,inverse,in-place,10,1024,1024,2,2060,temporal-tile,radix4,0,64,0,0,named-barrier,1,0.116326,0.116326,0.116326,45.070420,2.499431
7,fft,fp32,forward,inverse,in-place,10,1024,1024,2,2060,temporal-tile,radix2,0,64,0,0,named-barrier,1,0.128102,0.128102,0.128102,40.927261,2.752455
8,fft,fp32,forward,inverse,in-place,10,1024,1024,2,2060,temporal-tile,radix4,0,32,0,0,named-barrier,1,0.128410,0.128410,0.128410,40.829348,2.759073
9,fft,fp32,forward,inverse,in-place,10,1024,1024,2,2060,temporal-tile,radix2,0,32,0,0,named-barrier,1,0.151040,0.151040,0.151040,34.711864,3.245311
1,fft,fp32,forward,inverse,in-place,8,256,4096,2,524,cufft,auto,0,0,0,0,named-barrier,1,0.046797,0.046797,0.046797,89.628011,1.000000
2,fft,fp32,forward,inverse,in-place,8,256,4096,2,524,warp-hybrid,radix2,0,0,5,0,named-barrier,1,0.047053,0.047053,0.047053,89.140369,1.005470
3,fft,fp32,forward,inverse,in-place,8,256,4096,2,524,warp-hybrid,radix2,0,0,4,0,named-barrier,1,0.047155,0.047155,0.047155,88.946794,1.007650
4,fft,fp32,forward,inverse,in-place,8,256,4096,2,524,temporal-tile,radix4,0,256,0,0,named-barrier,1,0.047872,0.047872,0.047872,87.614974,1.022972
5,fft,fp32,forward,inverse,in-place,8,256,4096,2,524,warp-hybrid,radix2,0,0,3,0,named-barrier,1,0.048384,0.048384,0.048384,86.687831,1.033912
6,fft,fp32,forward,inverse,in-place,8,256,4096,2,524,temporal-tile,radix4,0,128,0,0,named-barrier,1,0.048435,0.048435,0.048435,86.596194,1.035002
7,fft,fp32,forward,inverse,in-place,8,256,4096,2,524,warp-hybrid,radix2,0,0,2,0,named-barrier,1,0.048589,0.048589,0.048589,86.322443,1.038293
8,fft,fp32,forward,inverse,in-place,8,256,4096,2,524,temporal-tile,radix2,0,128,0,0,named-barrier,1,0.048998,0.048998,0.048998,85.600835,1.047033
9,fft,fp32,forward,inverse,in-place,8,256,4096,2,524,warp-hybrid,radix2,0,0,1,0,named-barrier,1,0.049203,0.049203,0.049203,85.244540,1.051414
10,fft,fp32,forward,inverse,in-place,8,256,4096,2,524,temporal-tile,radix2,0,256,0,0,named-barrier,1,0.049818,0.049818,0.049818,84.193218,1.064555
11,fft,fp32,forward,inverse,in-place,8,256,4096,2,524,warp-hybrid,radix2,0,0,0,0,named-barrier,1,0.050688,0.050688,0.050688,82.747477,1.083146
12,fft,fp32,forward,inverse,in-place,8,256,4096,2,524,temporal-tile,radix4,0,64,0,0,named-barrier,1,0.089395,0.089395,0.089395,46.918670,1.910272
13,fft,fp32,forward,inverse,in-place,8,256,4096,2,524,temporal-tile,radix2,0,64,0,0,named-barrier,1,0.089856,0.089856,0.089856,46.678063,1.920123
14,fft,fp32,forward,inverse,in-place,8,256,4096,2,524,temporal-tile,radix4,0,32,0,0,named-barrier,1,0.106752,0.106752,0.106752,39.290168,2.281172
15,fft,fp32,forward,inverse,in-place,8,256,4096,2,524,temporal-tile,radix2,0,32,0,0,named-barrier,1,0.108237,0.108237,0.108237,38.751181,2.312905
16,fft,fp32,forward,inverse,in-place,8,256,4096,2,524,stage-pipeline,radix2,8,0,0,8,named-barrier,1,0.115302,0.115302,0.115302,36.376555,2.463876
17,fft,fp32,forward,inverse,in-place,8,256,4096,2,524,stage-pipeline,radix2,4,0,0,4,named-barrier,1,0.126874,0.126874,0.126874,33.058919,2.711157
18,fft,fp32,forward,inverse,in-place,8,256,4096,2,524,stage-pipeline,radix2,4,0,0,8,named-barrier,1,0.128973,0.128973,0.128973,32.520842,2.756010
19,fft,fp32,forward,inverse,in-place,8,256,4096,2,524,stage-pipeline,radix2,2,0,0,4,named-barrier,1,0.212173,0.212173,0.212173,19.768341,4.533902
20,fft,fp32,forward,inverse,in-place,8,256,4096,2,524,stage-pipeline,radix2,2,0,0,8,named-barrier,1,0.214067,0.214067,0.214067,19.593400,4.574374
21,fft,fp32,forward,inverse,in-place,8,256,4096,2,524,stage-pipeline,radix2,1,0,0,8,named-barrier,1,0.407142,0.407142,0.407142,10.301811,8.700173
22,fft,fp32,forward,inverse,in-place,8,256,4096,2,524,stage-pipeline,radix2,1,0,0,4,named-barrier,1,0.425933,0.425933,0.425933,9.847338,9.101716
1,fft,fp32,forward,inverse,out-of-place,10,1024,1024,2,2060,cufft,auto,0,0,0,0,named-barrier,1,0.046848,0.046848,0.046848,111.912570,1.000000
2,fft,fp32,forward,inverse,out-of-place,10,1024,1024,2,2060,temporal-tile,radix2,0,256,0,0,named-barrier,1,0.084941,0.084941,0.084941,61.723931,1.813119
3,fft,fp32,forward,inverse,out-of-place,10,1024,1024,2,2060,temporal-tile,radix4,0,256,0,0,named-barrier,1,0.085914,0.085914,0.085914,61.025031,1.833888
4,fft,fp32,forward,inverse,out-of-place,10,1024,1024,2,2060,temporal-tile,radix4,0,128,0,0,named-barrier,1,0.099840,0.099840,0.099840,52.512820,2.131148
5,fft,fp32,forward,inverse,out-of-place,10,1024,1024,2,2060,temporal-tile,radix2,0,128,0,0,named-barrier,1,0.105574,0.105574,0.105574,49.660521,2.253543
6,fft,fp32,forward,inverse,out-of-place,10,1024,1024,2,2060,temporal-tile,radix4,0,64,0,0,named-barrier,1,0.116378,0.116378,0.116378,45.050591,2.484162
7,fft,fp32,forward,inverse,out-of-place,10,1024,1024,2,2060,temporal-tile,radix4,0,32,0,0,named-barrier,1,0.128768,0.128768,0.128768,40.715707,2.748634
8,fft,fp32,forward,inverse,out-of-place,10,1024,1024,2,2060,temporal-tile,radix2,0,64,0,0,named-barrier,1,0.129485,0.129485,0.129485,40.490312,2.763939
