trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,stage_space,stage_handoff,tile_threads,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,8,0,0,0,16,65536,64,1,65536,50,100,2.826944,0.394281,2.691072,162320.793683,85.102844,10637855534.778940,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,8,0,0,0,16,65536,64,1,65536,50,100,2.823680,0.394322,2.698400,162303.925200,85.094000,10636750041.914259,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,8,0,0,0,16,65536,64,1,65536,50,100,2.833472,0.394301,2.694368,162312.365137,85.098425,10637303161.621643,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,8,0,0,0,16,65536,64,1,65536,50,100,2.817536,0.394312,2.653344,162308.157326,85.096219,10637027398.530592,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,8,0,0,0,16,65536,64,1,65536,50,100,2.821120,0.394209,2.683712,162350.306623,85.118318,10639789694.863621,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,8,1,0,0,16,65536,64,1,65536,50,100,2.797760,0.310159,2.644608,206345.541043,108.184491,13523061377.799896,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,8,1,0,0,16,65536,64,1,65536,50,100,2.815072,0.310159,2.646144,206345.541043,108.184491,13523061377.799896,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,8,1,0,0,16,65536,64,1,65536,50,100,2.771936,0.310139,2.599968,206359.163195,108.191633,13523954119.145529,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,8,1,0,0,16,65536,64,1,65536,50,100,2.760480,0.310149,2.604480,206352.361808,108.188067,13523508383.478348,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,8,1,0,0,16,65536,64,1,65536,50,100,2.769248,0.310139,2.605120,206359.163195,108.191633,13523954119.145529,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,10,0,0,0,16,65536,64,1,65536,50,100,2.762560,0.314020,2.612320,203808.785568,106.854501,13356812571.014782,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,10,0,0,0,16,65536,64,1,65536,50,100,2.764960,0.313989,2.600256,203828.710444,106.864947,13358118367.657780,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,10,0,0,0,16,65536,64,1,65536,50,100,2.774144,0.314061,2.603008,203782.192897,106.840558,13355069793.709929,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,10,0,0,0,16,65536,64,1,65536,50,100,2.773632,0.314020,2.602432,203808.785568,106.854501,13356812571.014782,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,hierarchical,radix4,0,named-barrier,256,10,0,0,0,16,65536,64,1,65536,50,100,2.776736,0.314102,2.607872,203755.626497,106.826630,13353328738.114292,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,1,0,0,16,65536,64,1,65536,50,100,2.773248,0.355471,2.607584,180042.642806,94.394197,11799274638.956461,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,1,0,0,16,65536,64,1,65536,50,100,2.761856,0.351017,2.602112,182327.368035,95.592051,11949006391.510401,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,1,0,0,16,65536,64,1,65536,50,100,2.778752,0.351078,2.609472,182295.453648,95.575319,11946914850.297834,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,1,0,0,16,65536,64,1,65536,50,100,2.776896,0.351140,2.609504,182263.565902,95.558600,11944825054.953455,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,1,0,0,16,65536,64,1,65536,50,100,2.761024,0.350956,2.599776,182359.293597,95.608789,11951098665.181627,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,8,0,0,16,65536,64,1,65536,50,100,2.765664,0.317153,2.596608,201795.173004,105.798788,13224848457.984470,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,8,0,0,16,65536,64,1,65536,50,100,2.763168,0.317112,2.596256,201821.230609,105.812449,13226556169.163097,0.000000,-1
