trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,stage_space,stage_handoff,tile_threads,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,32,6,1,0,0,12,4096,1024,1,4096,10,30,2.773728,0.314027,2.592064,3260869.389703,80.139126,13356521020.224094,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,64,6,1,0,0,12,4096,1024,1,4096,10,30,2.771360,0.314129,2.593504,3259806.710585,80.113010,13352168286.557028,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,128,6,1,0,0,12,4096,1024,1,4096,10,30,2.761984,0.315221,2.592064,3248511.035898,79.835407,13305901203.038685,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,6,1,0,0,12,4096,1024,1,4096,10,30,2.787840,0.354065,2.605696,2892123.832326,71.076835,11846139217.205542,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,32,6,2,0,0,12,4096,1024,1,4096,10,30,2.796064,0.314948,2.609152,3251327.686174,79.904629,13317438202.570612,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,64,6,2,0,0,12,4096,1024,1,4096,10,30,2.782144,0.314743,2.603712,3253443.304342,79.956623,13326103774.584278,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,128,6,2,0,0,12,4096,1024,1,4096,10,30,2.780032,0.314163,2.613280,3259452.328913,80.104300,13350716739.229687,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,6,2,0,0,12,4096,1024,1,4096,10,30,2.764160,0.370654,2.605824,2762685.544411,67.895760,11315959989.908241,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,32,6,4,0,0,12,4096,1024,1,4096,10,30,2.782080,0.368060,2.616512,2782157.165385,68.374294,11395715749.415123,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,64,6,4,0,0,12,4096,1024,1,4096,10,30,2.782656,0.366490,2.615424,2794076.639926,68.667228,11444537917.138895,0.000000,-1
