rank,operator,precision,direction,normalization,placement,logN,N,batch,element_stride,batch_stride,backend,compute_unit,stage_space,tile_threads,local_stages,reorder_columns,warp_stages,pipeline_warps,stage_handoff,trials,median_kernel_ms,min_kernel_ms,max_kernel_ms,median_Gbutterfly_s,slowdown_vs_best
1,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,radix4,0,128,10,16,0,0,named-barrier,1,0.299076,0.299076,0.299076,84.145174,1.000000
2,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,radix4,0,128,9,16,0,0,named-barrier,1,0.302080,0.302080,0.302080,83.308473,1.010044
3,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,radix4,0,64,10,16,0,0,named-barrier,1,0.310613,0.310613,0.310613,81.019780,1.038575
4,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,radix4,0,64,9,16,0,0,named-barrier,1,0.319556,0.319556,0.319556,78.752403,1.068478
5,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,radix4,0,64,8,4,0,0,named-barrier,1,0.325564,0.325564,0.325564,77.299218,1.088566
6,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,radix4,0,32,8,4,0,0,named-barrier,1,0.330923,0.330923,0.330923,76.047448,1.106485
7,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,radix4,0,256,9,16,0,0,named-barrier,1,0.331401,0.331401,0.331401,75.937794,1.108083
8,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,radix4,0,128,9,8,0,0,named-barrier,1,0.332493,0.332493,0.332493,75.688328,1.111734
9,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,radix4,0,64,9,8,0,0,named-barrier,1,0.338773,0.338773,0.338773,74.285137,1.132732
10,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,radix4,0,32,9,16,0,0,named-barrier,1,0.339797,0.339797,0.339797,74.061273,1.136156
