trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,stage_space,stage_handoff,tile_threads,local_stages,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix2,0,named-barrier,32,5,0,0,12,4096,1024,1,4096,10,30,2.774560,0.406494,2.591840,2519103.348395,61.909484,10318247315.025070,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix2,0,named-barrier,64,5,0,0,12,4096,1024,1,4096,10,30,2.765440,0.405504,2.592704,2525252.412733,62.060603,10343433882.555025,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix2,0,named-barrier,128,5,0,0,12,4096,1024,1,4096,10,30,2.764928,0.405982,2.596032,2522280.129824,61.987556,10331259411.757217,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix2,0,named-barrier,256,5,0,0,12,4096,1024,1,4096,10,30,2.764480,0.504081,2.593504,2031419.269802,49.924160,8320693329.109337,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,32,5,0,0,12,4096,1024,1,4096,10,30,2.763744,0.405641,2.590752,2524402.500970,62.039716,10339952643.973810,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,64,5,0,0,12,4096,1024,1,4096,10,30,2.771200,0.404958,2.593216,2528658.162627,62.144303,10357383834.121706,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,128,5,0,0,12,4096,1024,1,4096,10,30,2.765504,0.405265,2.598944,2526741.368476,62.097196,10349532645.278477,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,5,0,0,12,4096,1024,1,4096,10,30,2.770848,0.473668,2.596096,2161850.631720,53.129641,8854940187.525486,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix2,0,named-barrier,32,6,0,0,12,4096,1024,1,4096,10,30,2.764128,0.364305,2.594080,2810831.203965,69.078988,11513164611.441593,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix2,0,named-barrier,64,6,0,0,12,4096,1024,1,4096,10,30,2.771552,0.364407,2.598944,2810041.112948,69.059570,11509928398.636318,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix2,0,named-barrier,128,6,0,0,12,4096,1024,1,4096,10,30,2.783040,0.365261,2.592544,2803476.465223,68.898238,11483039601.554750,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix2,0,named-barrier,256,6,0,0,12,4096,1024,1,4096,10,30,2.765152,0.405163,2.594400,2527379.976893,62.112890,10352148385.353647,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,32,6,0,0,12,4096,1024,1,4096,10,30,2.763040,0.363725,2.593440,2815315.331074,69.189190,11531531596.077833,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,64,6,0,0,12,4096,1024,1,4096,10,30,2.764736,0.363895,2.592640,2813994.863683,69.156738,11526122961.646334,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,128,6,0,0,12,4096,1024,1,4096,10,30,2.764480,0.364373,2.592672,2810304.503883,69.066043,11511007247.903133,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,6,0,0,12,4096,1024,1,4096,10,30,2.770240,0.380553,2.592864,2690824.099975,66.129693,11021615513.496552,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix2,0,named-barrier,32,7,0,0,12,4096,1024,1,4096,10,30,2.762688,0.406391,2.593952,2519737.916514,61.925079,10320846506.042761,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix2,0,named-barrier,64,7,0,0,12,4096,1024,1,4096,10,30,2.765376,0.405504,2.595232,2525252.412733,62.060603,10343433882.555025,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix2,0,named-barrier,128,7,0,0,12,4096,1024,1,4096,10,30,2.763264,0.405948,2.595296,2522492.150776,61.992767,10332127849.577274,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix2,0,named-barrier,256,7,0,0,12,4096,1024,1,4096,10,30,2.765504,0.514014,2.594976,1992164.077645,48.959424,8159904062.035396,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,32,7,0,0,12,4096,1024,1,4096,10,30,2.762304,0.405641,2.593152,2524402.500970,62.039716,10339952643.973810,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,64,7,0,0,12,4096,1024,1,4096,10,30,2.762720,0.404992,2.595104,2528444.917857,62.139062,10356510383.541965,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,128,7,0,0,12,4096,1024,1,4096,10,30,2.781984,0.405333,2.611136,2526315.746875,62.086736,10347789299.201441,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,7,0,0,12,4096,1024,1,4096,10,30,2.781984,0.482918,2.611648,2120441.132132,52.111961,8685326877.211206,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix2,0,named-barrier,32,8,0,0,12,4096,1024,1,4096,10,30,2.780512,0.577809,2.605408,1772211.632151,43.553873,7258978845.291554,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix2,0,named-barrier,64,8,0,0,12,4096,1024,1,4096,10,30,2.783872,0.573645,2.608128,1785076.705787,43.870045,7311674186.904773,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix2,0,named-barrier,128,8,0,0,12,4096,1024,1,4096,10,30,2.778144,0.572587,2.609024,1788375.407215,43.951114,7325185667.952786,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix2,0,named-barrier,256,8,0,0,12,4096,1024,1,4096,10,30,2.777216,0.681335,2.609472,1502930.753382,36.936026,6156004365.851474,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,32,8,0,0,12,4096,1024,1,4096,10,30,2.780352,0.576375,2.608352,1776619.813805,43.662209,7277034757.345701,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,64,8,0,0,12,4096,1024,1,4096,10,30,2.766240,0.572996,2.603328,1787097.183251,43.919700,7319950062.597145,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,128,8,0,0,12,4096,1024,1,4096,10,30,2.763840,0.571904,2.604544,1790510.284100,44.003581,7333930123.674759,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,8,0,0,12,4096,1024,1,4096,10,30,2.767104,0.599040,2.603104,1709401.619705,42.010254,7001709034.312469,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix2,0,named-barrier,32,9,0,0,12,4096,1024,1,4096,10,30,2.763456,1.001813,2.603936,1022146.549325,25.120274,4186712266.034288,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix2,0,named-barrier,64,9,0,0,12,4096,1024,1,4096,10,30,2.765632,0.989525,2.599264,1034839.553411,25.432217,4238702810.771160,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix2,0,named-barrier,128,9,0,0,12,4096,1024,1,4096,10,30,2.779904,0.983689,2.616768,1040979.909117,25.583122,4263853707.741393,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix2,0,named-barrier,256,9,0,0,12,4096,1024,1,4096,10,30,2.764256,1.086532,2.600000,942447.878560,23.161599,3860266510.581773,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,32,9,0,0,12,4096,1024,1,4096,10,30,2.780608,0.996147,2.609472,1027960.510459,25.263158,4210526250.838754,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,64,9,0,0,12,4096,1024,1,4096,10,30,2.764832,0.988160,2.598432,1036269.415210,25.467357,4244559524.701220,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,128,9,0,0,12,4096,1024,1,4096,10,30,2.762720,0.982801,2.602464,1041919.897219,25.606223,4267703899.009416,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,9,0,0,12,4096,1024,1,4096,10,30,2.777728,1.006319,2.608224,1017570.049333,25.007802,4167966922.067874,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix2,0,named-barrier,32,10,0,0,12,4096,1024,1,4096,10,30,2.763520,1.846306,2.602816,554620.930946,13.630364,2271727333.156422,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix2,0,named-barrier,64,10,0,0,12,4096,1024,1,4096,10,30,2.766624,1.810193,2.603872,565685.480824,13.902286,2317047729.455665,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix2,0,named-barrier,128,10,0,0,12,4096,1024,1,4096,10,30,2.765696,1.644681,2.597920,622613.328231,15.301345,2550224192.432617,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix2,0,named-barrier,256,10,0,0,12,4096,1024,1,4096,10,30,2.761856,1.605325,2.605024,637877.119277,15.676468,2612744680.560513,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,32,10,0,0,12,4096,1024,1,4096,10,30,2.764736,1.578769,2.596544,648606.568192,15.940155,2656692503.314375,0.000000,-1
