rank,operator,precision,direction,normalization,placement,logN,N,batch,element_stride,batch_stride,backend,compute_unit,stage_space,tile_threads,local_stages,warp_stages,pipeline_warps,stage_handoff,trials,median_kernel_ms,min_kernel_ms,max_kernel_ms,median_Gbutterfly_s,slowdown_vs_best
1,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,radix4,0,32,6,0,0,named-barrier,1,0.379870,0.379870,0.379870,66.248538,1.000000
2,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,radix4,0,32,5,0,0,named-barrier,1,0.388403,0.388403,0.388403,64.793039,1.022463
3,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,radix4,0,64,6,0,0,named-barrier,1,0.389188,0.389188,0.389188,64.662341,1.024529
4,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,radix4,0,128,6,0,0,named-barrier,1,0.392294,0.392294,0.392294,64.150351,1.032706
5,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,radix4,0,64,5,0,0,named-barrier,1,0.395435,0.395435,0.395435,63.640913,1.040975
6,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,radix2,0,32,6,0,0,named-barrier,1,0.397892,0.397892,0.397892,63.247834,1.047443
7,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,radix4,0,128,5,0,0,named-barrier,1,0.400623,0.400623,0.400623,62.816733,1.054632
8,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,radix4,0,32,7,0,0,named-barrier,1,0.402125,0.402125,0.402125,62.582125,1.058586
9,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,radix4,0,64,7,0,0,named-barrier,1,0.402739,0.402739,0.402739,62.486652,1.060202
10,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,radix2,0,32,7,0,0,named-barrier,1,0.404992,0.404992,0.404992,62.139062,1.066133
11,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,radix2,0,64,7,0,0,named-barrier,1,0.405606,0.405606,0.405606,62.044940,1.067749
12,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,radix4,0,128,7,0,0,named-barrier,1,0.407415,0.407415,0.407415,61.769440,1.072512
13,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,radix2,0,64,6,0,0,named-barrier,1,0.408951,0.408951,0.408951,61.537435,1.076555
14,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,radix2,0,128,6,0,0,named-barrier,1,0.411648,0.411648,0.411648,61.134332,1.083655
15,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,radix2,0,32,5,0,0,named-barrier,1,0.411989,0.411989,0.411989,61.083679,1.084553
16,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,radix2,0,64,5,0,0,named-barrier,1,0.419021,0.419021,0.419021,60.058651,1.103064
17,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,radix2,0,128,7,0,0,named-barrier,1,0.421376,0.421376,0.421376,59.722962,1.109264
18,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,radix4,0,256,6,0,0,named-barrier,1,0.424107,0.424107,0.424107,59.338432,1.116453
19,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,radix2,0,128,5,0,0,named-barrier,1,0.432026,0.432026,0.432026,58.250773,1.137300
20,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,radix2,0,256,6,0,0,named-barrier,1,0.452779,0.452779,0.452779,55.580852,1.191931
21,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,radix4,0,256,5,0,0,named-barrier,1,0.470562,0.470562,0.470562,53.480343,1.238745
