trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,stage_space,stage_handoff,tile_threads,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,64,10,16,0,0,12,4096,1024,1,4096,20,100,2.787104,0.194990,2.605056,5251549.110726,129.062071,21510345157.533993,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,64,10,16,0,0,12,4096,1024,1,4096,20,100,2.776928,0.194939,2.601856,5252928.421808,129.095969,21515994815.724995,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,64,10,16,0,0,12,4096,1024,1,4096,20,100,2.781952,0.194908,2.602912,5253756.516959,129.116320,21519386693.464901,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,128,10,16,0,0,12,4096,1024,1,4096,20,100,2.779936,0.185938,2.629568,5507214.268089,135.345298,22557549642.092937,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,128,10,16,0,0,12,4096,1024,1,4096,20,100,2.777760,0.185846,2.605376,5509945.377680,135.412418,22568736266.978451,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,128,10,16,0,0,12,4096,1024,1,4096,20,100,2.774368,0.185917,2.600256,5507821.192577,135.360214,22560035604.797035,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,16,0,0,12,4096,1024,1,4096,20,100,2.787968,0.217825,2.604576,4701015.448686,115.532156,19255359277.817833,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,16,0,0,12,4096,1024,1,4096,20,100,2.793472,0.217887,2.603744,4699689.904002,115.499579,19249929846.790859,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,256,10,16,0,0,12,4096,1024,1,4096,20,100,2.775392,0.217846,2.600320,4700573.303030,115.521289,19253548249.211628,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,64,10,32,0,0,12,4096,1024,1,4096,20,100,2.775904,0.141507,2.602400,7236414.006906,177.842111,29640351772.287949,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,64,10,32,0,0,12,4096,1024,1,4096,20,100,2.774816,0.141681,2.600832,7227522.254196,177.623587,29603931153.188354,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,64,10,32,0,0,12,4096,1024,1,4096,20,100,2.780864,0.141670,2.602528,7228044.514659,177.636422,29606070332.044083,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,128,10,32,0,0,12,4096,1024,1,4096,20,100,2.777408,0.132321,2.600928,7738739.944714,190.187273,31697878813.546635,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,online-reorder,radix4,0,named-barrier,128,10,32,0,0,12,4096,1024,1,4096,20,100,2.776864,0.132383,2.603200,7735148.473433,190.099009,31683168147.183258,0.000000,-1
