rank,operator,precision,direction,normalization,placement,logN,N,batch,element_stride,batch_stride,backend,compute_unit,stage_space,tile_threads,local_stages,reorder_columns,warp_stages,pipeline_warps,stage_handoff,trials,median_kernel_ms,min_kernel_ms,max_kernel_ms,median_Gbutterfly_s,slowdown_vs_best
1,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,radix4,0,256,10,64,0,0,named-barrier,3,0.282860,0.282808,0.282870,88.969342,1.000000
2,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,radix4,0,256,10,256,0,0,named-barrier,3,0.283771,0.283771,0.283873,88.683600,1.003221
3,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,radix4,0,256,10,128,0,0,named-barrier,3,0.284815,0.284795,0.284846,88.358377,1.006912
4,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,radix4,0,256,10,32,0,0,named-barrier,3,0.297595,0.297472,0.297615,84.564037,1.052093
5,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,radix4,0,128,10,32,0,0,named-barrier,3,0.299612,0.299336,0.299684,83.994667,1.059224
6,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,radix4,0,128,10,128,0,0,named-barrier,3,0.301967,0.301803,0.302141,83.339552,1.067549
7,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,radix4,0,128,10,64,0,0,named-barrier,3,0.302674,0.302264,0.302715,83.145007,1.070049
8,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,radix4,0,128,10,256,0,0,named-barrier,3,0.306043,0.305910,0.306176,82.229732,1.081959
9,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,radix4,0,64,10,32,0,0,named-barrier,3,0.311603,0.311316,0.312105,80.762408,1.101616
10,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,radix4,0,64,10,64,0,0,named-barrier,3,0.312955,0.312791,0.313303,80.413587,1.106395
11,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,radix4,0,64,10,128,0,0,named-barrier,3,0.318505,0.318362,0.318618,79.012346,1.126016
12,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,radix4,0,64,10,256,0,0,named-barrier,3,0.331510,0.331295,0.331530,75.912774,1.171993
13,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,radix4,0,128,10,16,0,0,named-barrier,3,0.335258,0.334653,0.335544,75.064137,1.185244
14,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,radix4,0,64,10,16,0,0,named-barrier,3,0.350331,0.350290,0.351222,71.834442,1.238531
15,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,radix4,0,256,10,16,0,0,named-barrier,3,0.378399,0.378266,0.389151,66.506103,1.337761
1,fft,fp32,forward,none,out-of-place,14,16384,256,1,16384,online-reorder,radix4,0,256,10,64,0,0,named-barrier,3,0.347167,0.347156,0.347249,84.570688,1.000000
2,fft,fp32,forward,none,out-of-place,14,16384,256,1,16384,online-reorder,radix4,0,256,10,32,0,0,named-barrier,3,0.348201,0.348150,0.348293,84.319495,1.002978
3,fft,fp32,forward,none,out-of-place,14,16384,256,1,16384,online-reorder,radix4,0,256,10,16,0,0,named-barrier,3,0.355574,0.355543,0.355850,82.571129,1.024216
4,fft,fp32,forward,none,out-of-place,14,16384,256,1,16384,online-reorder,radix4,0,128,10,32,0,0,named-barrier,3,0.355666,0.355604,0.355676,82.549736,1.024481
5,fft,fp32,forward,none,out-of-place,14,16384,256,1,16384,online-reorder,radix4,0,128,10,16,0,0,named-barrier,3,0.359537,0.358932,0.367032,81.661023,1.035631
6,fft,fp32,forward,none,out-of-place,14,16384,256,1,16384,online-reorder,radix4,0,128,10,64,0,0,named-barrier,3,0.367186,0.367124,0.367258,79.959835,1.057664
7,fft,fp32,forward,none,out-of-place,14,16384,256,1,16384,online-reorder,radix4,0,64,10,32,0,0,named-barrier,3,0.372654,0.372460,0.372736,78.786546,1.073414
8,fft,fp32,forward,none,out-of-place,14,16384,256,1,16384,online-reorder,radix4,0,64,10,16,0,0,named-barrier,3,0.377037,0.370299,0.386519,77.870727,1.086039
9,fft,fp32,forward,none,out-of-place,14,16384,256,1,16384,online-reorder,radix4,0,64,10,64,0,0,named-barrier,3,0.406630,0.406589,0.406692,72.203476,1.171281
1,fwht,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,radix4,0,256,10,128,0,0,named-barrier,3,0.114125,0.114094,0.114135,220.511431,1.000000
2,fwht,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,radix4,0,256,10,256,0,0,named-barrier,3,0.114186,0.114125,0.114207,220.392786,1.000535
3,fwht,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,radix4,0,128,10,64,0,0,named-barrier,3,0.119470,0.119439,0.119511,210.645406,1.046835
4,fwht,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,radix4,0,256,10,64,0,0,named-barrier,3,0.119962,0.119880,0.119982,209.782336,1.051146
5,fwht,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,radix4,0,128,10,128,0,0,named-barrier,3,0.120330,0.120228,0.120351,209.139653,1.054370
6,fwht,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,radix4,0,128,10,256,0,0,named-barrier,3,0.121303,0.121262,0.121405,207.462427,1.062896
7,fwht,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,radix4,0,64,10,64,0,0,named-barrier,3,0.127416,0.127355,0.127498,197.508628,1.116460
8,fwht,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,radix4,0,64,10,128,0,0,named-barrier,3,0.128123,0.128092,0.128164,196.419436,1.122655
9,fwht,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,radix4,0,128,10,32,0,0,named-barrier,3,0.132321,0.132239,0.132383,190.187273,1.159439
10,fwht,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,radix4,0,64,10,256,0,0,named-barrier,3,0.133069,0.133007,0.133120,189.118892,1.165993
11,fwht,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,radix4,0,64,10,32,0,0,named-barrier,3,0.141670,0.141507,0.141681,177.636422,1.241358
12,fwht,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,radix4,0,256,10,32,0,0,named-barrier,3,0.151747,0.151706,0.151828,165.841154,1.329656
13,fwht,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,radix4,0,128,10,16,0,0,named-barrier,3,0.185917,0.185846,0.185938,135.360214,1.629065
14,fwht,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,radix4,0,64,10,16,0,0,named-barrier,3,0.194939,0.194908,0.194990,129.095969,1.708118
15,fwht,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,radix4,0,256,10,16,0,0,named-barrier,3,0.217846,0.217825,0.217887,115.521289,1.908837
1,fwht,fp32,forward,none,out-of-place,14,16384,256,1,16384,online-reorder,radix4,0,256,10,16,0,0,named-barrier,3,0.237937,0.237834,0.237978,123.394729,1.000000
2,fwht,fp32,forward,none,out-of-place,14,16384,256,1,16384,online-reorder,radix4,0,256,10,32,0,0,named-barrier,3,0.238449,0.238418,0.238510,123.129780,1.002152
3,fwht,fp32,forward,none,out-of-place,14,16384,256,1,16384,online-reorder,radix4,0,256,10,64,0,0,named-barrier,3,0.241910,0.241777,0.241951,121.368102,1.016698
4,fwht,fp32,forward,none,out-of-place,14,16384,256,1,16384,online-reorder,radix4,0,128,10,16,0,0,named-barrier,3,0.242360,0.242330,0.242371,121.142469,1.018589
5,fwht,fp32,forward,none,out-of-place,14,16384,256,1,16384,online-reorder,radix4,0,128,10,32,0,0,named-barrier,3,0.244408,0.244398,0.244460,120.127365,1.027196
6,fwht,fp32,forward,none,out-of-place,14,16384,256,1,16384,online-reorder,radix4,0,128,10,64,0,0,named-barrier,3,0.250020,0.249928,0.250040,117.431189,1.050782
