trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,logN,N,batch,element_stride,batch_stride,kernel_ms,transforms_s,Gbutterfly_s,max_roundtrip_error,correct
1,Tesla V100-SXM2-16GB,7.0,fwht,fp16,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,8,256,16384,1,256,0.030362,539629006.442145,552.580103,0.000977,1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp16,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,8,256,16384,1,256,0.030269,541272003.114701,554.262531,0.000977,1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp16,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,8,256,16384,1,256,0.030249,541638473.081774,554.637796,0.000977,1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp16,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,8,256,16384,1,256,0.030259,541455176.089309,554.450100,0.000977,1
5,Tesla V100-SXM2-16GB,7.0,fwht,fp16,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,8,256,16384,1,256,0.030249,541638473.081774,554.637796,0.000977,1
1,Tesla V100-SXM2-16GB,7.0,fwht,bf16,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,8,256,16384,1,256,0.030362,539629006.442145,552.580103,0.007812,1
2,Tesla V100-SXM2-16GB,7.0,fwht,bf16,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,8,256,16384,1,256,0.030341,539993254.244778,552.953092,0.007812,1
3,Tesla V100-SXM2-16GB,7.0,fwht,bf16,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,8,256,16384,1,256,0.030351,539811068.897683,552.766535,0.007812,1
4,Tesla V100-SXM2-16GB,7.0,fwht,bf16,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,8,256,16384,1,256,0.030362,539629006.442145,552.580103,0.007812,1
5,Tesla V100-SXM2-16GB,7.0,fwht,bf16,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,8,256,16384,1,256,0.030413,538720533.193144,551.649826,0.007812,1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,8,256,16384,1,256,0.043172,379506643.879895,388.614803,0.000000,1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,8,256,16384,1,256,0.043203,379236765.496344,388.338448,0.000000,1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,8,256,16384,1,256,0.043151,379686762.312509,388.799245,0.000000,1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,8,256,16384,1,256,0.043244,378877593.795799,387.970656,0.000000,1
5,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,8,256,16384,1,256,0.043162,379596660.761294,388.706981,0.000000,1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp16,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,10,1024,4096,1,1024,0.026644,153727900.296228,787.086850,0.000977,1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp16,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,10,1024,4096,1,1024,0.026624,153846153.427334,787.692306,0.000977,1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp16,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,10,1024,4096,1,1024,0.026644,153727900.296228,787.086850,0.000977,1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp16,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,10,1024,4096,1,1024,0.026614,153905348.242617,787.995383,0.000977,1
5,Tesla V100-SXM2-16GB,7.0,fwht,fp16,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,10,1024,4096,1,1024,0.026614,153905348.242617,787.995383,0.000977,1
1,Tesla V100-SXM2-16GB,7.0,fwht,bf16,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,10,1024,4096,1,1024,0.026900,152264942.165914,779.596504,0.007812,1
2,Tesla V100-SXM2-16GB,7.0,fwht,bf16,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,10,1024,4096,1,1024,0.026860,152497143.621536,780.785375,0.007812,1
3,Tesla V100-SXM2-16GB,7.0,fwht,bf16,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,10,1024,4096,1,1024,0.026849,152555304.684922,781.083160,0.007812,1
4,Tesla V100-SXM2-16GB,7.0,fwht,bf16,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,10,1024,4096,1,1024,0.026860,152497143.621536,780.785375,0.007812,1
5,Tesla V100-SXM2-16GB,7.0,fwht,bf16,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,10,1024,4096,1,1024,0.026849,152555304.684922,781.083160,0.007812,1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,10,1024,4096,1,1024,0.043950,93196643.072583,477.166813,0.000000,1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,10,1024,4096,1,1024,0.043940,93218367.392119,477.278041,0.000000,1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,10,1024,4096,1,1024,0.043960,93174938.982967,477.055688,0.000000,1
4,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,10,1024,4096,1,1024,0.043971,93153234.898135,476.944563,0.000000,1
5,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,10,1024,4096,1,1024,0.044012,93066539.745620,476.500683,0.000000,1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp16,forward,none,out-of-place,dao-fast-hadamard-transform-sm70-local,upstream-warp-register,12,4096,1024,1,4096,0.027341,37453182.476521,920.449413,0.000977,1
