search_stage,trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,complex_multiply,cross_twiddle,local_exchange,fft_core,stage_space,stage_handoff,tile_threads,prefix_threads,suffix_threads,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
confirm,1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,0,0,0,0,16,65536,64,1,65536,10,30,5.492256,0.180907,5.108288,353773.581701,185.479244,23184905450.358517,0.000000,-1
confirm,2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,0,0,0,0,16,65536,64,1,65536,10,30,5.506464,0.180702,5.099232,354174.537057,185.689460,23211182460.537769,0.000000,-1
confirm,3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,0,0,0,0,16,65536,64,1,65536,10,30,5.514144,0.180634,5.109664,354308.410372,185.759648,23219955982.157898,0.000000,-1
confirm,4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,0,0,0,0,16,65536,64,1,65536,10,30,5.459552,0.181043,5.104320,353506.801498,185.339374,23167421742.970203,0.000000,-1
confirm,5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,0,0,0,0,16,65536,64,1,65536,10,30,5.459904,0.180668,5.106304,354241.461066,185.724547,23215568392.435555,0.000000,-1
confirm,1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,32,128,512,6,1,0,0,16,65536,64,1,65536,10,30,5.529600,0.212821,5.104032,300721.730367,157.664795,19708099321.312866,0.000000,-1
confirm,2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,32,128,512,6,1,0,0,16,65536,64,1,65536,10,30,5.542304,0.212685,5.112672,300914.766557,157.766001,19720750141.081127,0.000000,-1
confirm,3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,32,128,512,6,1,0,0,16,65536,64,1,65536,10,30,5.571776,0.213026,5.124736,300432.640006,157.513228,19689153495.433144,0.000000,-1
confirm,4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,32,128,512,6,1,0,0,16,65536,64,1,65536,10,30,5.524704,0.212412,5.110592,301301.625638,157.968827,19746103337.819992,0.000000,-1
confirm,5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,32,128,512,6,1,0,0,16,65536,64,1,65536,10,30,5.525856,0.212139,5.113344,301689.459508,158.172163,19771520418.326424,0.000000,-1
