search_stage,trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,complex_multiply,cross_twiddle,local_exchange,fft_core,stage_space,stage_handoff,tile_threads,prefix_threads,suffix_threads,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
coarse,1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,table,shared,cufftdx-block,0,named-barrier,32,512,512,6,1,0,0,16,65536,64,1,65536,10,30,5.602112,0.254191,5.113984,251779.221883,132.004825,16500603085.333464,0.000000,-1
coarse,1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,32,512,512,6,1,0,0,16,65536,64,1,65536,10,30,5.567648,0.225485,5.107456,283832.875023,148.810170,18601271297.501213,0.000000,-1
coarse,1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,table,shared,cufftdx-block,0,named-barrier,32,512,512,7,1,0,0,16,65536,64,1,65536,10,30,5.572416,0.289963,5.119456,220718.059952,115.719830,14464978777.021261,0.000000,-1
coarse,1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,32,512,512,7,1,0,0,16,65536,64,1,65536,10,30,5.542016,0.281293,5.113760,227520.935052,119.286496,14910811999.564342,0.000000,-1
coarse,1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,table,shared,cufftdx-block,0,named-barrier,32,512,512,8,1,0,0,16,65536,64,1,65536,10,30,5.572896,0.304538,5.118464,210154.657195,110.181565,13772695613.916876,0.000000,-1
coarse,1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,32,512,512,8,1,0,0,16,65536,64,1,65536,10,30,5.528768,0.300476,5.105664,212995.581560,111.671027,13958878433.130880,0.000000,-1
coarse,1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,table,shared,cufftdx-block,0,named-barrier,32,512,512,9,1,0,0,16,65536,64,1,65536,10,30,5.559872,0.283546,5.115936,225713.267028,118.338757,14792344667.921282,0.000000,-1
coarse,1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,32,512,512,9,1,0,0,16,65536,64,1,65536,10,30,5.521824,0.267708,5.106880,239066.681911,125.339793,15667474065.696135,0.000000,-1
coarse,1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,table,shared,cufftdx-block,0,named-barrier,32,512,512,10,1,0,0,16,65536,64,1,65536,10,30,5.543264,0.258799,5.116832,247296.233894,129.654448,16206805984.502497,0.000000,-1
coarse,1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,32,512,512,10,1,0,0,16,65536,64,1,65536,10,30,5.524768,0.237022,5.103584,270017.284758,141.566822,17695852773.928867,0.000000,-1
