logN,batch,backend,local_stages,remaining_stages,cross_twiddle,prefix_threads,suffix_threads,trials,median_kernel_ms,min_kernel_ms,max_kernel_ms
16,64,cufft,0,0,table,0,0,5,0.180702,0.180634,0.181043
16,64,online-reorder,6,10,recurrence,128,512,5,0.212685,0.212139,0.213026
16,64,online-reorder,6,10,recurrence,256,512,5,0.215552,0.215347,0.216917
16,64,online-reorder,6,10,recurrence,512,512,5,0.226441,0.226236,0.227328
18,16,cufft,0,0,table,0,0,5,0.226748,0.226475,0.227260
18,16,online-reorder,9,9,recurrence,256,256,5,0.212275,0.211797,0.212924
18,16,online-reorder,9,9,recurrence,256,512,5,0.215927,0.215518,0.216405
18,16,online-reorder,9,9,recurrence,256,128,5,0.229922,0.229581,0.230161
20,4,cufft,0,0,table,0,0,5,0.223232,0.222754,0.223334
20,4,online-reorder,10,10,recurrence,512,512,5,0.245180,0.244907,0.247706
20,4,online-reorder,10,10,recurrence,512,256,5,0.257638,0.257229,0.258492
20,4,online-reorder,10,10,recurrence,256,512,5,0.267435,0.266581,0.267742
