search_stage,trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,complex_multiply,cross_twiddle,local_exchange,fft_core,stage_space,stage_handoff,tile_threads,prefix_threads,suffix_threads,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
confirm,1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,0,0,0,0,18,262144,16,1,262144,20,100,5.502592,0.227062,5.113344,70465.408883,166.248757,18472084146.127373,0.000000,-1
confirm,2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,0,0,0,0,18,262144,16,1,262144,20,100,5.504608,0.226939,5.110688,70503.566670,166.338783,18482086981.259270,0.000000,-1
confirm,3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,0,0,0,0,18,262144,16,1,262144,20,100,5.532544,0.226877,5.116224,70522.658750,166.383827,18487091855.298687,0.000000,-1
confirm,4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,0,0,0,0,18,262144,16,1,262144,20,100,5.539424,0.226314,5.119520,70698.156376,166.797878,18533097504.917534,0.000000,-1
confirm,5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,0,0,0,0,18,262144,16,1,262144,20,100,5.539808,0.226130,5.100992,70755.785215,166.933841,18548204559.392941,0.000000,-1
confirm,6,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,0,0,0,0,18,262144,16,1,262144,20,100,5.504736,0.226161,5.111136,70746.172331,166.911161,18545684599.576317,0.000000,-1
confirm,7,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,0,0,0,0,18,262144,16,1,262144,20,100,5.516928,0.227144,5.115776,70439.993295,166.188794,18465421602.439621,0.000000,-1
confirm,1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,32,256,256,9,1,0,0,18,262144,16,1,262144,20,100,5.496480,0.212019,5.110080,75464.867050,178.043959,19782662108.072979,0.000000,-1
confirm,2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,32,256,256,9,1,0,0,18,262144,16,1,262144,20,100,5.507456,0.211784,5.111552,75548.787333,178.241952,19804661306.712753,0.000000,-1
confirm,3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,32,256,256,9,1,0,0,18,262144,16,1,262144,20,100,5.551392,0.212152,5.110080,75417.507053,177.932223,19770246968.888908,0.000000,-1
confirm,4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,32,256,256,9,1,0,0,18,262144,16,1,262144,20,100,5.505024,0.212214,5.106432,75395.673116,177.880710,19764523333.209705,0.000000,-1
confirm,5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,32,256,256,9,1,0,0,18,262144,16,1,262144,20,100,5.504160,0.211988,5.115264,75475.794526,178.069740,19785526680.301220,0.000000,-1
confirm,6,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,32,256,256,9,1,0,0,18,262144,16,1,262144,20,100,5.531456,0.212009,5.123744,75468.510959,178.052556,19783617336.814999,0.000000,-1
confirm,7,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,32,256,256,9,1,0,0,18,262144,16,1,262144,20,100,5.531680,0.212408,5.135616,75326.616521,177.717785,19746420561.411953,0.000000,-1
