trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,complex_multiply,local_exchange,fft_core,stage_space,stage_handoff,tile_threads,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,128,0,0,0,0,3,8,524288,1,8,20,100,5.529984,0.096758,5.189600,5418563108.610826,65.022757,43348504868.886604,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,128,0,0,0,0,3,8,524288,1,8,20,100,5.462144,0.096666,5.177984,5423728900.409636,65.084747,43389831203.277084,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,128,0,0,0,0,3,8,524288,1,8,20,100,5.495968,0.096788,5.596032,5416842947.060250,65.002115,43334743576.482002,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,128,0,0,0,0,3,8,524288,1,8,20,100,5.462048,0.096696,5.975488,5422005875.755026,65.064071,43376047006.040207,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,128,0,0,0,0,3,8,524288,1,8,20,100,5.383968,0.096768,5.932960,5417989460.999674,65.015874,43343915687.997391,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,128,0,0,0,0,4,16,262144,1,16,20,100,5.472384,0.108749,5.184672,2410546116.028229,77.137476,38568737856.451660,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,128,0,0,0,0,4,16,262144,1,16,20,100,5.504672,0.108861,5.998304,2408051947.287600,77.057662,38528831156.601593,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,128,0,0,0,0,4,16,262144,1,16,20,100,5.488320,0.108861,6.019840,2408051947.287600,77.057662,38528831156.601593,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,128,0,0,0,0,4,16,262144,1,16,20,100,5.458528,0.108831,6.064288,2408731648.117493,77.079413,38539706369.879890,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,128,0,0,0,0,4,16,262144,1,16,20,100,5.458240,0.108882,5.174816,2407598971.555542,77.043167,38521583544.888680,0.000000,-1
