trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,complex_multiply,local_exchange,fft_core,stage_space,stage_handoff,tile_threads,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,32,0,0,0,0,3,8,524288,1,8,20,100,5.393696,0.093481,5.114272,5608500411.313098,67.302005,44868003290.504784,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,32,0,0,0,0,3,8,524288,1,8,20,100,5.469408,0.093276,5.102944,5620814701.002307,67.449776,44966517608.018456,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,32,0,0,0,0,3,8,524288,1,8,20,100,5.490560,0.093522,5.102400,5606043846.758284,67.272526,44848350774.066269,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,32,0,0,0,0,3,8,524288,1,8,20,100,5.470336,0.093420,5.111168,5612188849.949228,67.346266,44897510799.593826,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,32,0,0,0,0,3,8,524288,1,8,20,100,5.460224,0.093399,5.107296,5613419557.086672,67.361035,44907356456.693375,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,64,0,0,0,0,3,8,524288,1,8,20,100,5.468992,0.093583,5.116672,5602363032.252019,67.228356,44818904258.016151,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,64,0,0,0,0,3,8,524288,1,8,20,100,5.470464,0.093594,5.115936,5601750701.936009,67.221008,44814005615.488075,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,64,0,0,0,0,3,8,524288,1,8,20,100,5.459712,0.093553,5.110752,5604203504.602186,67.250442,44833628036.817490,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,64,0,0,0,0,3,8,524288,1,8,20,100,5.468416,0.093635,5.116640,5599300045.376386,67.191601,44794400363.011086,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,64,0,0,0,0,3,8,524288,1,8,20,100,5.458048,0.093686,5.107232,5596239960.877632,67.154880,44769919687.021057,0.000000,-1
