trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,complex_multiply,local_exchange,fft_core,stage_space,stage_handoff,tile_threads,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,32,0,0,0,0,3,8,524288,1,8,20,100,5.472512,0.092109,5.111456,5692051077.275603,68.304613,45536408618.204826,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,32,0,0,0,0,3,8,524288,1,8,20,100,5.452000,0.092140,5.100448,5690153382.787744,68.281841,45521227062.301949,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,32,0,0,0,0,3,8,524288,1,8,20,100,5.457312,0.092252,5.099968,5683205829.300005,68.198470,45465646634.400040,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,32,0,0,0,0,3,8,524288,1,8,20,100,5.453952,0.092201,5.099968,5686361787.359890,68.236341,45490894298.879120,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,32,0,0,0,0,3,8,524288,1,8,20,100,5.470240,0.092170,5.099328,5688256953.237280,68.259083,45506055625.898239,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,64,0,0,0,0,3,8,524288,1,8,20,100,5.495072,0.093092,5.110880,5631943797.821374,67.583326,45055550382.570992,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,64,0,0,0,0,3,8,524288,1,8,20,100,5.470144,0.093174,5.106048,5626991696.553800,67.523900,45015933572.430397,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,64,0,0,0,0,3,8,524288,1,8,20,100,5.502720,0.093112,5.100288,5630704955.530000,67.568459,45045639644.239998,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,64,0,0,0,0,3,8,524288,1,8,20,100,5.498304,0.093071,5.108928,5633183185.361692,67.598198,45065465482.893539,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,64,0,0,0,0,3,8,524288,1,8,20,100,5.467072,0.093041,5.109984,5635043064.177936,67.620517,45080344513.423485,0.000000,-1
