trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,complex_multiply,local_exchange,fft_core,stage_space,stage_handoff,tile_threads,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,32,0,0,0,0,3,8,524288,1,8,20,100,5.469152,0.093850,5.102976,5586470305.333321,67.037644,44691762442.666565,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,32,0,0,0,0,3,8,524288,1,8,20,100,5.456544,0.093911,5.099456,5582815583.677165,66.993787,44662524669.417320,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,32,0,0,0,0,3,8,524288,1,8,20,100,5.463264,0.093737,5.100608,5593183219.297549,67.118199,44745465754.380394,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,32,0,0,0,0,3,8,524288,1,8,20,100,5.490112,0.094013,5.106144,5576734259.207461,66.920811,44613874073.659691,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,32,0,0,0,0,3,8,524288,1,8,20,100,5.484288,0.093778,5.109312,5590740051.583502,67.088881,44725920412.668015,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,64,0,0,0,0,3,8,524288,1,8,20,100,5.474752,0.093624,5.103456,5599912731.292102,67.198953,44799301850.336815,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,64,0,0,0,0,3,8,524288,1,8,20,100,5.476864,0.093501,5.113312,5607271859.978417,67.287262,44858174879.827339,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,64,0,0,0,0,3,8,524288,1,8,20,100,5.466496,0.093501,5.101888,5607271859.978417,67.287262,44858174879.827339,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,64,0,0,0,0,3,8,524288,1,8,20,100,5.472032,0.093635,5.108864,5599300045.376386,67.191601,44794400363.011086,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,64,0,0,0,0,3,8,524288,1,8,20,100,5.471456,0.093563,5.102080,5603589879.472013,67.243079,44828719035.776100,0.000000,-1
