trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,complex_multiply,local_exchange,fft_core,stage_space,stage_handoff,tile_threads,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,64,0,0,0,0,3,8,524288,1,8,20,100,5.441504,0.093747,5.188384,5592572449.438173,67.110869,44740579595.505386,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,64,0,0,0,0,3,8,524288,1,8,20,100,5.459264,0.093604,5.594912,5601137613.791924,67.213651,44809100910.335388,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,64,0,0,0,0,3,8,524288,1,8,20,100,5.500224,0.093665,5.538656,5597464127.518506,67.169570,44779713020.148048,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,64,0,0,0,0,3,8,524288,1,8,20,100,5.463008,0.093665,5.692480,5597464127.518506,67.169570,44779713020.148048,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,64,0,0,0,0,3,8,524288,1,8,20,100,5.463136,0.093635,5.210880,5599300045.376386,67.191601,44794400363.011086,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,128,0,0,0,0,3,8,524288,1,8,20,100,5.495104,0.096809,5.190848,5415697335.052555,64.988368,43325578680.420441,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,128,0,0,0,0,3,8,524288,1,8,20,100,5.495072,0.096748,5.638112,5419136043.047052,65.029633,43353088344.376419,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,128,0,0,0,0,3,8,524288,1,8,20,100,5.506176,0.096676,6.770368,5423154158.560228,65.077850,43385233268.481827,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,128,0,0,0,0,3,8,524288,1,8,20,100,5.503328,0.096911,6.191488,5409974456.320461,64.919693,43279795650.563690,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,128,0,0,0,0,3,8,524288,1,8,20,100,5.465824,0.096881,5.466560,5411690257.658116,64.940283,43293522061.264931,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,256,0,0,0,0,3,8,524288,1,8,20,100,5.497664,0.099389,5.738016,5275087505.095757,63.301050,42200700040.766052,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,256,0,0,0,0,3,8,524288,1,8,20,100,5.460064,0.099461,5.219872,5271286122.955974,63.255433,42170288983.647789,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,256,0,0,0,0,3,8,524288,1,8,20,100,5.467936,0.099430,5.670912,5272914672.097383,63.274976,42183317376.779068,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,256,0,0,0,0,3,8,524288,1,8,20,100,5.511200,0.099482,5.469696,5270200456.004725,63.242405,42161603648.037796,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,256,0,0,0,0,3,8,524288,1,8,20,100,5.478464,0.099338,5.179008,5277806758.598096,63.333681,42222454068.784767,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,64,0,0,0,0,4,16,262144,1,16,20,100,5.545728,0.105738,5.216992,2479178830.643239,79.333723,39666861290.291832,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,64,0,0,0,0,4,16,262144,1,16,20,100,5.511328,0.105800,5.236672,2477739006.000271,79.287648,39643824096.004333,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,64,0,0,0,0,4,16,262144,1,16,20,100,5.472992,0.105759,5.166080,2478698528.579407,79.318353,39659176457.270515,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,64,0,0,0,0,4,16,262144,1,16,20,100,5.506528,0.105748,7.642496,2478938656.346320,79.326037,39663018501.541115,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,64,0,0,0,0,4,16,262144,1,16,20,100,5.462144,0.105820,5.174784,2477259610.444907,79.272308,39636153767.118515,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,128,0,0,0,0,4,16,262144,1,16,20,100,5.469056,0.108677,5.184416,2412136081.375550,77.188355,38594177302.008804,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,128,0,0,0,0,4,16,262144,1,16,20,100,5.463744,0.108810,5.178336,2409184885.238448,77.093916,38546958163.815170,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,128,0,0,0,0,4,16,262144,1,16,20,100,5.494304,0.108861,5.610944,2408051947.287600,77.057662,38528831156.601593,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,128,0,0,0,0,4,16,262144,1,16,20,100,5.470112,0.108820,5.229568,2408958410.292684,77.086669,38543334564.682938,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,128,0,0,0,0,4,16,262144,1,16,20,100,5.464128,0.108892,5.193888,2407372465.231851,77.035919,38517959443.709618,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,256,0,0,0,0,4,16,262144,1,16,20,100,5.504160,0.112374,6.087968,2332786548.431496,74.649170,37324584774.903931,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,256,0,0,0,0,4,16,262144,1,16,20,100,5.471648,0.112445,5.376608,2331299437.140790,74.601582,37300790994.252647,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,256,0,0,0,0,4,16,262144,1,16,20,100,5.468224,0.112364,5.465312,2332999236.189008,74.655976,37327987779.024132,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,256,0,0,0,0,4,16,262144,1,16,20,100,5.464352,0.112404,5.219488,2332149026.938078,74.628769,37314384431.009247,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,256,0,0,0,0,4,16,262144,1,16,20,100,5.463328,0.112507,5.943168,2330026521.044551,74.560849,37280424336.712822,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,64,0,0,0,0,5,32,131072,1,32,20,100,5.465376,0.103485,5.178400,1266574279.268467,101.325942,40530376936.590958,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,64,0,0,0,0,5,32,131072,1,32,20,100,5.463584,0.103373,6.241184,1267954373.759619,101.436350,40574539960.307800,0.000000,-1
